comparison,update,level,subject,seed,difference,mean,median,sd
full_vs_stop_ess050,normalized,run,1.0,3654.0,0.04552062444009608,,,
full_vs_stop_ess050,normalized,run,1.0,6398.0,0.049298095995100155,,,
full_vs_stop_ess050,normalized,run,3.0,1788.0,0.04848389953103205,,,
full_vs_stop_ess050,normalized,run,3.0,3654.0,0.0494188661756525,,,
full_vs_stop_ess050,normalized,run,3.0,6398.0,0.04587433755552106,,,
full_vs_stop_ess050,normalized,run,8.0,1788.0,0.038646420794831715,,,
full_vs_stop_ess050,normalized,run,8.0,3654.0,0.03730167531596895,,,
full_vs_stop_ess050,normalized,run,8.0,6398.0,0.04235729409976874,,,
full_vs_stop_ess050,normalized,subject_mean,1.0,,0.04653696801924571,,,
full_vs_stop_ess050,normalized,subject_mean,3.0,,0.04792570108740187,,,
full_vs_stop_ess050,normalized,subject_mean,8.0,,0.039435130070189804,,,
full_vs_stop_ess050,normalized,grand,,,,0.04463259972561246,0.04552062444009608,0.004424611374131525
full_vs_sw_ess050,normalized,run,1.0,1788.0,0.08003572729187602,,,
full_vs_sw_ess050,normalized,run,1.0,3654.0,0.07857323720283882,,,
full_vs_sw_ess050,normalized,run,1.0,6398.0,0.08235272013871597,,,
full_vs_sw_ess050,normalized,run,3.0,1788.0,0.08890782486929405,,,
full_vs_sw_ess050,normalized,run,3.0,3654.0,0.08849604778437159,,,
full_vs_sw_ess050,normalized,run,3.0,6398.0,0.0839648727073673,,,
full_vs_sw_ess050,normalized,run,8.0,1788.0,0.06416151400257986,,,
full_vs_sw_ess050,normalized,run,8.0,3654.0,0.06368176022936867,,,
full_vs_sw_ess050,normalized,run,8.0,6398.0,0.0681983885359122,,,
full_vs_sw_ess050,normalized,subject_mean,1.0,,0.08032056154447693,,,
full_vs_sw_ess050,normalized,subject_mean,3.0,,0.08712291512034431,,,
full_vs_sw_ess050,normalized,subject_mean,8.0,,0.06534722092262024,,,
full_vs_sw_ess050,normalized,grand,,,,0.07759689919581383,0.08003572729187602,0.009869594645853543
full_vs_stop_ess075,normalized,run,1.0,1788.0,0.03689349836712419,,,
full_vs_stop_ess075,normalized,run,1.0,3654.0,0.039975532144923,,,
full_vs_stop_ess075,normalized,run,1.0,6398.0,0.03536957882356473,,,
