method,family,response,calibration,update,subject,seed,relative_LEW_AUC,LEW_initial,LEW_final,relative_LEW_final,LEW_reduction_pct,divergence,nan,solver_failure,optimization_ms,evaluation_ms,diagnostic_ms
ebsw_full_b1,ebsw,full,b1,normalized,1,1788,0.7118993862942405,7.00240537723237,4.396293693930881,0.6278262192910161,37.217378070898384,False,False,False,2064.5248217042536,240.662305848673,377.11544893682
ebsw_full_b1,ebsw,full,b1,normalized,3,1788,0.6414610820336673,10.198606317621376,5.480701113425585,0.5373970661026408,46.260293389735914,False,False,False,2109.888187609613,251.4774992596358,377.7299281209707
ebsw_full_b1,ebsw,full,b1,normalized,8,1788,0.6430611214034155,10.270850778196136,5.826136113372746,0.567249611467531,43.27503885324691,False,False,False,2035.4246217757463,245.73289137333632,381.6913673654199
ebsw_full_b1,ebsw,full,b1,normalized,1,3654,0.7191769013331151,7.00240537723237,4.465847201211602,0.6377590214545223,36.224097854547765,False,False,False,1924.3779247626665,234.77620212361217,367.7420374006033
ebsw_full_b1,ebsw,full,b1,normalized,3,3654,0.640545635818321,10.198606317621376,5.479818076021713,0.5373104819776761,46.2689518022324,False,False,False,2021.499238209799,248.8303494174033,409.7028321120888
ebsw_full_b1,ebsw,full,b1,normalized,8,3654,0.6440576847174438,10.270850778196136,5.890454479693424,0.5735118352803058,42.64881647196941,False,False,False,1998.1274295132607,236.76181794144213,378.6029410548508
ebsw_full_b1,ebsw,full,b1,normalized,1,6398,0.7105868905259958,7.00240537723237,4.369099865573622,0.6239427211368423,37.60572788631577,False,False,False,2588.76235736534,264.8771989624948,397.3033442161977
ebsw_full_b1,ebsw,full,b1,normalized,3,6398,0.6404217283571129,10.198606317621376,5.414849224002374,0.5309401162633838,46.905988373661614,False,False,False,1990.5305469874293,230.33519461750984,373.7044301815331
ebsw_full_b1,ebsw,full,b1,normalized,8,6398,0.6404977096035116,10.270850778196136,5.78788643745341,0.5635255114153195,43.64744885846805,False,False,False,2041.9804493431,245.56714529171583,352.72916057147086
ebsw_full_bscale,ebsw,full,bscale,normalized,1,1788,0.719058816299188,7.00240537723237,4.451484279393703,0.6357078803045685,36.42921196954315,False,False,False,1973.5845671966672,239.84752921387556,363.2807701360434
ebsw_full_bscale,ebsw,full,bscale,normalized,3,1788,0.6469231961690209,10.198606317621376,5.486650832582559,0.5379804516135311,46.20195483864689,False,False,False,2069.1244485788047,255.6179000530392,372.4346763920039
ebsw_full_bscale,ebsw,full,bscale,normalized,8,1788,0.6446252529622011,10.270850778196136,5.782818917624292,0.5630321228987737,43.696787710122635,False,False,False,1954.4666511937976,242.604203755036,372.1098017413169
ebsw_full_bscale,ebsw,full,bscale,normalized,1,3654,0.7197684398783901,7.00240537723237,4.485704404724725,0.6405947903715414,35.94052096284585,False,False,False,2005.6579834781587,247.7214268874377,376.76313309930265
ebsw_full_bscale,ebsw,full,bscale,normalized,3,3654,0.6502548420703073,10.198606317621376,5.552517284719471,0.5444388293649212,45.556117063507884,False,False,False,1978.9765984751284,244.2842565942556,377.7804053388536
ebsw_full_bscale,ebsw,full,bscale,normalized,8,3654,0.6503534896876128,10.270850778196136,5.883739523969702,0.5728580475981815,42.71419524018185,False,False,False,2004.5220979955047,248.43463255092504,348.0214481242001
ebsw_full_bscale,ebsw,full,bscale,normalized,1,6398,0.7157370416189403,7.00240537723237,4.436180298842183,0.6335223483727442,36.64776516272557,False,False,False,3629.829799756408,342.174879508093,515.8571731299162
ebsw_full_bscale,ebsw,full,bscale,normalized,3,6398,0.6470952180423759,10.198606317621376,5.49616322468151,0.5389131665162051,46.108683348379486,False,False,False,1968.6346834059805,235.678605735302,371.89328437671065
ebsw_full_bscale,ebsw,full,bscale,normalized,8,6398,0.6512803661316385,10.270850778196136,5.876523919065408,0.5721555152510451,42.784448474895484,False,False,False,1943.4455845039336,241.20204779319465,358.9696439448744
ebsw_full_ess025,ebsw,full,ess025,normalized,1,1788,0.8264850529383776,7.00240537723237,5.689276715469354,0.8124746296419051,18.752537035809496,False,False,False,3070.5921268090606,262.9026903305203,397.6468744222075
ebsw_full_ess025,ebsw,full,ess025,normalized,3,1788,0.7580754299295348,10.198606317621376,7.410366745725128,0.7266058238684371,27.339417613156286,False,False,False,3032.176616601646,283.77768071368337,409.387520281598
ebsw_full_ess025,ebsw,full,ess025,normalized,8,1788,0.7277568457696327,10.270850778196136,7.304796940220685,0.7112163439982936,28.87836560017064,False,False,False,2926.618254976347,263.8444530311972,399.8756441287696
ebsw_full_ess025,ebsw,full,ess025,normalized,1,3654,0.8232088896783023,7.00240537723237,5.644530369448436,0.8060844903097254,19.391550969027453,False,False,False,2989.0210337471217,274.760585045442,420.6615316215903
ebsw_full_ess025,ebsw,full,ess025,normalized,3,3654,0.75401806952368,10.198606317621376,7.341986407409473,0.7199009530080426,28.009904699195737,False,False,False,2917.0114560984075,265.78323845751584,402.2279910277575
ebsw_full_ess025,ebsw,full,ess025,normalized,8,3654,0.728498247561882,10.270850778196136,7.263573185360385,0.7072026789426379,29.279732105736212,False,False,False,3011.96052483283,278.3961882814765,411.81615903042257
ebsw_full_ess025,ebsw,full,ess025,normalized,1,6398,0.8260427823576847,7.00240537723237,5.662092697052976,0.8085925324264589,19.14074675735411,False,False,False,6379.584342939779,355.5240745190531,623.8454582635313
ebsw_full_ess025,ebsw,full,ess025,normalized,3,6398,0.7564806604078539,10.198606317621376,7.411434990629198,0.7267105680727727,27.328943192722736,False,False,False,2951.8925982993096,263.8549387920648,399.7391180600971
ebsw_full_ess025,ebsw,full,ess025,normalized,8,6398,0.7297625040151198,10.270850778196136,7.303045334143595,0.711045802519801,28.895419748019897,False,False,False,2864.6253489423543,255.99999609403312,378.00663243979216
ebsw_full_ess050,ebsw,full,ess050,normalized,1,1788,0.7948231133116805,7.00240537723237,5.352106175281856,0.7643239554059096,23.56760445940904,False,False,False,2907.916707918048,261.0671503935009,396.4303322136402
ebsw_full_ess050,ebsw,full,ess050,normalized,3,1788,0.7248098912157219,10.198606317621376,6.968959675813257,0.6833247071977017,31.66752928022984,False,False,False,2833.2598044071347,245.7571488339454,403.19912414997816
ebsw_full_ess050,ebsw,full,ess050,normalized,8,1788,0.7067087300361184,10.270850778196136,6.974453324814543,0.6790531257274738,32.09468742725262,False,False,False,2908.1796703394502,258.76203505322337,398.869609227404
ebsw_full_ess050,ebsw,full,ess050,normalized,1,3654,0.7940271432135251,7.00240537723237,5.403280004630434,0.771631991229566,22.836800877043395,False,False,False,2913.0234867334366,257.12638907134533,380.6725300382823
ebsw_full_ess050,ebsw,full,ess050,normalized,3,3654,0.7277153571090702,10.198606317621376,7.005973987683866,0.6869540572008148,31.30459427991852,False,False,False,2848.5990518238395,261.0535454005003,388.2339370902628
ebsw_full_ess050,ebsw,full,ess050,normalized,8,3654,0.70687487759034,10.270850778196136,6.941695950510473,0.6758637721859337,32.41362278140664,False,False,False,2854.4113975949585,263.231490040198,423.8633259665221
ebsw_full_ess050,ebsw,full,ess050,normalized,1,6398,0.7971061655257857,7.00240537723237,5.365573290904609,0.7662471682016927,23.37528317983073,False,False,False,6464.956757379696,368.9435699488968,646.0828690323979
ebsw_full_ess050,ebsw,full,ess050,normalized,3,6398,0.7247728536652198,10.198606317621376,6.935513215263214,0.6800451943399248,31.995480566007522,False,False,False,2831.978910136968,241.63770955055952,381.0059982351959
ebsw_full_ess050,ebsw,full,ess050,normalized,8,6398,0.7068778095545889,10.270850778196136,6.993216721593057,0.6808799847855711,31.91200152144289,False,False,False,2933.032043976709,260.97810198552907,369.0702819731087
ebsw_full_ess075,ebsw,full,ess075,normalized,1,1788,0.7640636625541568,7.00240537723237,5.04608854665291,0.7206221683565719,27.937783164342807,False,False,False,2891.692786477506,243.86101122945547,369.259741390124
ebsw_full_ess075,ebsw,full,ess075,normalized,3,1788,0.6922948614064345,10.198606317621376,6.453453320327824,0.6327779619434281,36.722203805657195,False,False,False,2850.957050221041,236.58627271652225,361.40513559803367
ebsw_full_ess075,ebsw,full,ess075,normalized,8,1788,0.6803999397847007,10.270850778196136,6.535063775277908,0.6362728771360514,36.37271228639486,False,False,False,2951.7271330114454,262.6609434373677,352.5778071489185
ebsw_full_ess075,ebsw,full,ess075,normalized,1,3654,0.7651640336319054,7.00240537723237,5.066769705247946,0.7235756047089258,27.642439529107417,False,False,False,2866.046705748886,242.06181848421693,351.9550929777324
ebsw_full_ess075,ebsw,full,ess075,normalized,3,3654,0.6920045438473745,10.198606317621376,6.412244777738134,0.6287373566581266,37.12626433418735,False,False,False,2870.637689484284,258.33596964366734,371.0291755851358
ebsw_full_ess075,ebsw,full,ess075,normalized,8,3654,0.6797055843319073,10.270850778196136,6.523461363518077,0.6351432324736578,36.48567675263422,False,False,False,2870.0735848397017,254.4546935241669,381.1974367126823
ebsw_full_ess075,ebsw,full,ess075,normalized,1,6398,0.7606906608530329,7.00240537723237,5.036824810613387,0.7192992320881801,28.070076791181986,False,False,False,6953.841819195077,351.4449864160269,596.6206060256809
ebsw_full_ess075,ebsw,full,ess075,normalized,3,6398,0.6955125719899112,10.198606317621376,6.472651588598064,0.63466040231541,36.533959768459,False,False,False,2892.9434660822158,239.9725574068725,359.8926439881325
ebsw_full_ess075,ebsw,full,ess075,normalized,8,6398,0.6816255670523556,10.270850778196136,6.5731630784774,0.639982336461502,36.001766353849796,False,False,False,2840.5285202898085,239.6095443982631,366.73807306215167
ebsw_full_essmatch,ebsw,full,essmatch,normalized,1,1788,0.8068964479920104,7.00240537723237,5.493772931722935,0.7845551115314454,21.54448884685546,False,False,False,3017.391230678186,285.7555588707328,393.8410943374038
ebsw_full_essmatch,ebsw,full,essmatch,normalized,3,1788,0.7400027980012893,10.198606317621376,7.183829633099768,0.7043932679985293,29.56067320014707,False,False,False,2972.835070686415,262.40748004056513,425.8670697454363
ebsw_full_essmatch,ebsw,full,essmatch,normalized,8,1788,0.7159187165750976,10.270850778196136,7.101694481306238,0.6914416959870878,30.85583040129121,False,False,False,3074.8812796082348,277.3319708649069,406.3259388785809
ebsw_full_essmatch,ebsw,full,essmatch,normalized,1,3654,0.8069027647931152,7.00240537723237,5.446540274430567,0.777809906884205,22.21900931157949,False,False,False,2888.6496166232973,253.90842836350205,358.46023028716445
ebsw_full_essmatch,ebsw,full,essmatch,normalized,3,3654,0.7416032739127822,10.198606317621376,7.184934939310267,0.7045016461608071,29.549835383919284,False,False,False,2937.686746707186,259.16540157049894,388.9433841686696
ebsw_full_essmatch,ebsw,full,essmatch,normalized,8,3654,0.7180074291839785,10.270850778196136,7.102110680370084,0.6914822183423275,30.851778165767257,False,False,False,2937.59824661538,263.78021109849215,406.6045260988176
ebsw_full_essmatch,ebsw,full,essmatch,normalized,1,6398,0.8073932174536715,7.00240537723237,5.5118311485656655,0.7871339706334113,21.286602936658873,False,False,False,6993.381678592414,391.5556108113378,654.3169107753783
ebsw_full_essmatch,ebsw,full,essmatch,normalized,3,6398,0.7392676522555403,10.198606317621376,7.224541273758265,0.7083851507509947,29.161484924900535,False,False,False,3013.6421779170632,263.6517875362188,370.48072600737214
ebsw_full_essmatch,ebsw,full,essmatch,normalized,8,6398,0.7177863919764274,10.270850778196136,7.09291535959492,0.6905869350815984,30.94130649184016,False,False,False,2885.3192317765206,262.2228260152042,394.1251302603632
ebsw_stop_b1,ebsw,stop,b1,normalized,1,1788,0.7170974607711609,7.00240537723237,4.469413594208369,0.6382683311566374,36.17316688433626,False,False,False,2014.578321250156,248.6147277522832,0.0
ebsw_stop_b1,ebsw,stop,b1,normalized,3,1788,0.6425656608968001,10.198606317621376,5.541901738932852,0.5433979473604577,45.660205263954225,False,False,False,1993.983834516257,242.62498831376436,0.0
ebsw_stop_b1,ebsw,stop,b1,normalized,8,1788,0.6431166356128952,10.270850778196136,5.781778307975885,0.5629308061071193,43.70691938928807,False,False,False,1893.432135693729,250.00212504528463,0.0
ebsw_stop_b1,ebsw,stop,b1,normalized,1,3654,0.7173310288141145,7.00240537723237,4.421043725950788,0.6313607236058306,36.863927639416936,False,False,False,1931.567823281512,237.00019298121333,0.0
ebsw_stop_b1,ebsw,stop,b1,normalized,3,3654,0.644727385103309,10.198606317621376,5.538539781903776,0.543068298688436,45.69317013115641,False,False,False,1974.918740335852,239.5931601058692,0.0
ebsw_stop_b1,ebsw,stop,b1,normalized,8,3654,0.6424355276666776,10.270850778196136,5.805308425324345,0.565221766988219,43.4778233011781,False,False,False,1996.963365469128,253.6492741201073,0.0
ebsw_stop_b1,ebsw,stop,b1,normalized,1,6398,0.716011164108249,7.00240537723237,4.457958163676801,0.6366324032269556,36.336759677304435,False,False,False,5187.633475055918,383.3503967616707,0.0
ebsw_stop_b1,ebsw,stop,b1,normalized,3,6398,0.6400950842524101,10.198606317621376,5.42987987847364,0.5324139112117481,46.75860887882519,False,False,False,1877.0569008775053,235.6020910665393,0.0
ebsw_stop_b1,ebsw,stop,b1,normalized,8,6398,0.6415097204280472,10.270850778196136,5.779013473595297,0.562661613764606,43.7338386235394,False,False,False,1898.9931251853704,235.6556297745556,0.0
ebsw_stop_bscale,ebsw,stop,bscale,normalized,1,1788,0.7144869913385304,7.00240537723237,4.400689855231034,0.6284540266034073,37.15459733965927,False,False,False,1880.3116322960705,228.05379214696583,0.0
ebsw_stop_bscale,ebsw,stop,bscale,normalized,3,1788,0.6417434249649149,10.198606317621376,5.461091630833415,0.5354743050918263,46.452569490817375,False,False,False,1954.534089192748,238.7101722415537,0.0
ebsw_stop_bscale,ebsw,stop,bscale,normalized,8,1788,0.6386077123901418,10.270850778196136,5.687059114515755,0.5537086690606725,44.62913309393276,False,False,False,1902.579746209085,246.5447273571044,0.0
ebsw_stop_bscale,ebsw,stop,bscale,normalized,1,3654,0.7201855479920353,7.00240537723237,4.472348256731334,0.6386874246487833,36.13125753512167,False,False,False,1946.6473292559383,241.2233620416373,0.0
ebsw_stop_bscale,ebsw,stop,bscale,normalized,3,3654,0.6438631453857877,10.198606317621376,5.459953719986232,0.5353627299597205,46.46372700402795,False,False,False,1968.842526897788,233.73681982047856,0.0
ebsw_stop_bscale,ebsw,stop,bscale,normalized,8,3654,0.6467900758967448,10.270850778196136,5.822563647076779,0.5669017857252321,43.309821427476784,False,False,False,1996.6246753465384,248.04096133448184,0.0
ebsw_stop_bscale,ebsw,stop,bscale,normalized,1,6398,0.7126166107785838,7.00240537723237,4.385452180048692,0.6262779636134116,37.37220363865884,False,False,False,3630.319530609995,307.6461981981993,0.0
ebsw_stop_bscale,ebsw,stop,bscale,normalized,3,6398,0.6457735762411146,10.198606317621376,5.516446933162227,0.5409020371372497,45.90979628627503,False,False,False,2022.6229613181204,247.5096140988171,0.0
ebsw_stop_bscale,ebsw,stop,bscale,normalized,8,6398,0.6456273465442532,10.270850778196136,5.840107223686573,0.568609879532518,43.139012046748206,False,False,False,1872.372979996726,234.8579426761717,0.0
ebsw_stop_ess025,ebsw,stop,ess025,normalized,1,1788,0.7782240153740011,7.00240537723237,5.1814066547130055,0.7399466862572449,26.005331374275507,False,False,False,2906.9744457956403,270.4527829773724,0.0
ebsw_stop_ess025,ebsw,stop,ess025,normalized,3,1788,0.7077572802730367,10.198606317621376,6.699409413975153,0.6568945996473818,34.310540035261816,False,False,False,2909.1605052817613,246.28173978999257,0.0
ebsw_stop_ess025,ebsw,stop,ess025,normalized,8,1788,0.6923513344133008,10.270850778196136,6.784745606641127,0.6605826287579195,33.941737124208046,False,False,False,2900.494540343061,256.9462873507291,0.0
ebsw_stop_ess025,ebsw,stop,ess025,normalized,1,3654,0.7806142171688266,7.00240537723237,5.192846260074939,0.7415803542249876,25.841964577501244,False,False,False,2780.2703753113747,258.2303574308753,0.0
ebsw_stop_ess025,ebsw,stop,ess025,normalized,3,3654,0.7038752905986486,10.198606317621376,6.626454578572914,0.6497411873937696,35.02588126062303,False,False,False,2814.829051028937,248.6104317940772,0.0
ebsw_stop_ess025,ebsw,stop,ess025,normalized,8,3654,0.690118311625622,10.270850778196136,6.711920944253641,0.6534922071404539,34.65077928595462,False,False,False,2927.870920859277,250.8055241778493,0.0
ebsw_stop_ess025,ebsw,stop,ess025,normalized,1,6398,0.773778426964101,7.00240537723237,5.133462126348967,0.733099820675894,26.690017932410598,False,False,False,4125.412775436416,293.7703679781407,0.0
ebsw_stop_ess025,ebsw,stop,ess025,normalized,3,6398,0.70930578382268,10.198606317621376,6.701027422077032,0.6570532495698799,34.29467504301201,False,False,False,2843.710630433634,251.2013225350529,0.0
ebsw_stop_ess025,ebsw,stop,ess025,normalized,8,6398,0.6899961643802062,10.270850778196136,6.69976249370099,0.6523084249187842,34.76915750812158,False,False,False,2981.850675074384,257.74575187824667,0.0
ebsw_stop_ess050,ebsw,stop,ess050,normalized,1,1788,0.7500309296891396,7.00240537723237,4.905058477708098,0.7004819363438186,29.951806365618136,False,False,False,2870.839182520285,236.7596672847867,0.0
ebsw_stop_ess050,ebsw,stop,ess050,normalized,3,1788,0.6763259916846899,10.198606317621376,6.174308760856354,0.6054071084387528,39.45928915612472,False,False,False,2686.7900150828063,230.39826191961765,0.0
ebsw_stop_ess050,ebsw,stop,ess050,normalized,8,1788,0.6680623092412867,10.270850778196136,6.322159963551799,0.6155439408167662,38.44560591832338,False,False,False,2806.44863541238,243.2239733170718,0.0
ebsw_stop_ess050,ebsw,stop,ess050,normalized,1,3654,0.748506518773429,7.00240537723237,4.839810544362133,0.6911640048858495,30.883599511415046,False,False,False,2834.7393795847893,245.59083627536893,0.0
ebsw_stop_ess050,ebsw,stop,ess050,normalized,3,3654,0.6782964909334177,10.198606317621376,6.17711080039111,0.6056818557373043,39.43181442626958,False,False,False,2879.983827471733,243.6857137363404,0.0
ebsw_stop_ess050,ebsw,stop,ess050,normalized,8,3654,0.669573202274371,10.270850778196136,6.33504403972046,0.6167983720656371,38.32016279343628,False,False,False,2798.0648884549737,251.7536880914122,0.0
ebsw_stop_ess050,ebsw,stop,ess050,normalized,1,6398,0.7478080695306856,7.00240537723237,4.889292803582949,0.6982304708436334,30.176952915636654,False,False,False,3809.220157098025,293.2619450148195,0.0
ebsw_stop_ess050,ebsw,stop,ess050,normalized,3,6398,0.6788985161096988,10.198606317621376,6.197910465067657,0.6077213172116244,39.22786827883757,False,False,False,2879.2830519378185,248.14513279125092,0.0
ebsw_stop_ess050,ebsw,stop,ess050,normalized,8,6398,0.6645205154548202,10.270850778196136,6.263310851300817,0.6098142195383778,39.01857804616222,False,False,False,2856.411868473515,248.38857166469097,0.0
ebsw_stop_ess075,ebsw,stop,ess075,normalized,1,1788,0.7271701641870326,7.00240537723237,4.621478836826477,0.6599844750280752,34.00155249719248,False,False,False,2995.2503088861704,242.9494271054864,0.0
ebsw_stop_ess075,ebsw,stop,ess075,normalized,3,1788,0.6457476561606961,10.198606317621376,5.630462995300378,0.5520816099717409,44.7918390028259,False,False,False,2745.9252232220024,245.12655148282647,0.0
