method,calibration,update,subject,seed,epoch,beta_t,effective_coeff_sum,effective_coeff_l1,negative_coeff_fraction,negative_coeff_mass,positive_coeff_mass,min_effective_coeff,max_effective_coeff,bank_seed,bank_hash
ebsw_full_b1,b1,normalized,8,1788,25,1.0,1.0000000000000002,1.0000000000000002,0.0,-0.0,1.0000000000000002,0.0019990572330202,0.0020026579286476,2113,5df2e1802a297f5230b57ec5628c652c3a4d34270d9454b63beb6f4248ad2060
ebsw_full_b1,b1,normalized,8,1788,50,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019991906589099,0.0020033587668937,3063,0072e7e6e518d75fb9fe53f0bd6a9fb8f0b1cadbbe76e1f45b3a34e62c0632ed
ebsw_full_b1,b1,normalized,8,1788,100,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992526250836,0.0020022109281625,6838,e6855f361350fa477f6ac3b1e57e6a3fa84b70533c217669d08452241da95361
ebsw_full_b1,b1,normalized,8,1788,200,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019992928541884,0.0020018520525837,21888,0464f2c2ee4e5555c04dbc1130dc2aff0e36ad7b218200ee1fab11a130ecfddc
ebsw_full_b1,b1,normalized,8,1788,300,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019993219042857,0.0020018630286371,46938,4f466c72e19b902d2fe8eb21bd838b6a22278efdfefbeb662b9545d45653c740
ebsw_full_b1,b1,normalized,8,1788,400,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019993493857991,0.0020017662344771,81988,1abdefbaee6ef8fed2ee44ec3938e77a7d8e930a7000037f5df5226ad7ba1e97
ebsw_full_b1,b1,normalized,8,1788,500,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019993237912002,0.0020021273539133,127038,4b256f4b903147f9a73a25d128798c6b57eb09dcead0db5a72276572741e6836
ebsw_full_b1,b1,normalized,1,3654,0,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019816723618192,0.002180900824966,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd
ebsw_full_b1,b1,normalized,1,3654,25,1.0,1.0,1.0,0.0,-0.0,1.0,0.001999318940626,0.0020021785193498,3979,fdba3dea77616db68f5fb87618194a6815c80962b90d11ecedf2ea613074d925
ebsw_full_b1,b1,normalized,1,3654,50,1.0,1.0,1.0,0.0,-0.0,1.0,0.0019993058090502,0.0020026143208072,4929,e59f94a7c28ecd419d8ca1fe92dd44d1e53b364a17464497afcdfbe7f1a0bedc
