method,calibration,update,subject,seed,epoch,beta_t,target_rho,ess_over_N,response_ratio,cosine_full_stop,cosine_full_vs_sw,cosine_stop_vs_sw,full_gradient_norm,stop_gradient_norm,sw_gradient_norm,bank_seed,bank_hash,diagnostic_ms
ebsw_full_b1,b1,normalized,1,1788,0,1.0,,0.9999677949435036,0.0083683237045555,0.9999904361732548,0.9999615509169985,0.9999903389796624,0.0045705700515111,0.0045382353540519,0.0045215092543993,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,56.140603963285685
ebsw_full_b1,b1,normalized,1,1788,25,1.0,,0.999999986463926,0.0001570373815848,0.9999999895610756,0.9999999582458948,0.999999989561872,0.0027096663861767,0.0027094997661254,0.0027094148931515,2113,5df2e1802a297f5230b57ec5628c652c3a4d34270d9454b63beb6f4248ad2060,55.60443201102317
ebsw_full_b1,b1,normalized,1,1788,50,1.0,,0.9999999891922838,0.000129826285959,0.999999992842438,0.9999999713700332,0.9999999928425786,0.0026962217513477,0.0026960858991402,0.0026960168374834,3063,0072e7e6e518d75fb9fe53f0bd6a9fb8f0b1cadbbe76e1f45b3a34e62c0632ed,62.99882009625435
ebsw_full_b1,b1,normalized,1,1788,100,1.0,,0.999999991374433,0.0001183122008825,0.9999999939783084,0.9999999759136012,0.9999999939784924,0.0026927449005856,0.0026926258797847,0.0026925652970969,6838,e6855f361350fa477f6ac3b1e57e6a3fa84b70533c217669d08452241da95361,57.59198288433254
ebsw_full_b1,b1,normalized,1,1788,200,1.0,,0.999999992316117,0.000109694463504,0.9999999947487822,0.9999999789957462,0.9999999947490912,0.0026937768570056,0.0026936714924814,0.0026936189428719,21888,0464f2c2ee4e5555c04dbc1130dc2aff0e36ad7b218200ee1fab11a130ecfddc,42.819841066375375
ebsw_full_b1,b1,normalized,1,1788,300,1.0,,0.9999999919631042,0.0001174106452374,0.9999999940132208,0.9999999760535632,0.9999999940135608,0.0026930162728241,0.0026929016680518,0.002692843710992,46938,4f466c72e19b902d2fe8eb21bd838b6a22278efdfefbeb662b9545d45653c740,57.85689107142389
ebsw_full_b1,b1,normalized,1,1788,400,1.0,,0.9999999942491034,8.92821852094236e-05,0.999999996496778,0.9999999859871403,0.9999999964967924,0.0026737126952179,0.0026736296555765,0.0026735880968325,81988,1abdefbaee6ef8fed2ee44ec3938e77a7d8e930a7000037f5df5226ad7ba1e97,44.10287784412503
ebsw_full_b1,b1,normalized,1,1788,500,1.0,,0.9999999935087924,9.798378880940122e-05,0.9999999958190556,0.9999999832763852,0.9999999958191368,0.0026947658211669,0.0026946709840655,0.0026946219047478,127038,4b256f4b903147f9a73a25d128798c6b57eb09dcead0db5a72276572741e6836,51.10528599470854
ebsw_full_b1,b1,normalized,3,1788,0,1.0,,0.999866339075458,0.0189253138072188,0.9999429808222168,0.9997702969283412,0.9999421582250854,0.0046721172971735,0.0046004980429761,0.0045636037752966,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,68.91727889887989
ebsw_full_b1,b1,normalized,3,1788,25,1.0,,0.999999967867237,0.0002365306623749,0.9999999768362404,0.9999999073454724,0.999999976836495,0.0027313631862052,0.00273109538991,0.0027309583448985,2113,5df2e1802a297f5230b57ec5628c652c3a4d34270d9454b63beb6f4248ad2060,59.73290815018117
ebsw_full_b1,b1,normalized,3,1788,50,1.0,,0.999999980652841,0.0001652632069492,0.9999999883970324,0.9999999535878572,0.999999988396896,0.0027282387071927,0.0027280639299193,0.0027279759782738,3063,0072e7e6e518d75fb9fe53f0bd6a9fb8f0b1cadbbe76e1f45b3a34e62c0632ed,49.49424392543733
ebsw_full_b1,b1,normalized,3,1788,100,1.0,,0.999999981105525,0.0001960637774018,0.9999999831812368,0.9999999327330042,0.9999999831852646,0.0026966249539959,0.0026964381169541,0.0026963444926797,6838,e6855f361350fa477f6ac3b1e57e6a3fa84b70533c217669d08452241da95361,51.04259913787246
ebsw_full_b1,b1,normalized,3,1788,200,1.0,,0.9999999871719276,0.0001384333824578,0.9999999916924568,0.9999999667702164,0.9999999916926512,0.0027108347637631,0.0027106979372358,0.0027106292122858,21888,0464f2c2ee4e5555c04dbc1130dc2aff0e36ad7b218200ee1fab11a130ecfddc,59.5878919120878
ebsw_full_b1,b1,normalized,3,1788,300,1.0,,0.9999999894440412,0.0001216172966896,0.999999993528902,0.9999999741157936,0.9999999935289948,0.0027168549055356,0.0027167381169394,0.0027166793957502,46938,4f466c72e19b902d2fe8eb21bd838b6a22278efdfefbeb662b9545d45653c740,44.522518990561366
ebsw_full_b1,b1,normalized,3,1788,400,1.0,,0.99999998757073,0.000141562481602,0.9999999912611348,0.999999965045544,0.9999999912616372,0.0027079487682314,0.0027078117272497,0.0027077422963577,81988,1abdefbaee6ef8fed2ee44ec3938e77a7d8e930a7000037f5df5226ad7ba1e97,44.43248710595071
ebsw_full_b1,b1,normalized,3,1788,500,1.0,,0.999999990067466,0.0001239135392022,0.9999999932500144,0.9999999730004046,0.9999999932501876,0.0027074708132411,0.0027073542392908,0.0027072956619516,127038,4b256f4b903147f9a73a25d128798c6b57eb09dcead0db5a72276572741e6836,49.08800194971264
ebsw_full_b1,b1,normalized,8,1788,0,1.0,,0.9998269204383632,0.0226473348523649,0.9999043225073208,0.9996191687039456,0.9999052320715388,0.0047881120032643,0.0047042063507486,0.0046612742745148,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,71.61321700550616
ebsw_full_b1,b1,normalized,8,1788,25,1.0,,0.9999999804094396,0.0001743501921079,0.9999999870881404,0.999999948352894,0.9999999870883064,0.0027408149292181,0.002740629606636,0.0027405360459641,2113,5df2e1802a297f5230b57ec5628c652c3a4d34270d9454b63beb6f4248ad2060,43.60716789960861
ebsw_full_b1,b1,normalized,8,1788,50,1.0,,0.9999999826575772,0.0001735477314982,0.9999999868929736,0.9999999475750904,0.9999999868945711,0.0027319322500642,0.00273176158328,0.0027316748751722,3063,0072e7e6e518d75fb9fe53f0bd6a9fb8f0b1cadbbe76e1f45b3a34e62c0632ed,54.2666029650718
ebsw_full_b1,b1,normalized,8,1788,100,1.0,,0.9999999869921344,0.000142182831341,0.9999999912958834,0.999999965184104,0.9999999912961683,0.0027339667171865,0.0027338218813244,0.0027337479413414,6838,e6855f361350fa477f6ac3b1e57e6a3fa84b70533c217669d08452241da95361,59.346233028918505
ebsw_full_b1,b1,normalized,8,1788,200,1.0,,0.9999999883849778,0.0001282499384341,0.999999992872563,0.9999999714903136,0.9999999928725936,0.0027321481346993,0.0027320202100397,0.0027319565682994,21888,0464f2c2ee4e5555c04dbc1130dc2aff0e36ad7b218200ee1fab11a130ecfddc,56.86462810263038
ebsw_full_b1,b1,normalized,8,1788,300,1.0,,0.9999999888895816,0.000129630404299,0.9999999927185852,0.9999999708745686,0.9999999927186992,0.0027344714022881,0.0027343419745056,0.002734276739136,46938,4f466c72e19b902d2fe8eb21bd838b6a22278efdfefbeb662b9545d45653c740,40.26869917288423
ebsw_full_b1,b1,normalized,8,1788,400,1.0,,0.9999999907620132,0.0001168407178451,0.9999999940384826,0.999999976154288,0.9999999940386614,0.0027420632944197,0.0027419493063771,0.0027418919703708,81988,1abdefbaee6ef8fed2ee44ec3938e77a7d8e930a7000037f5df5226ad7ba1e97,55.72481919080019
ebsw_full_b1,b1,normalized,8,1788,500,1.0,,0.9999999908151354,0.0001186026119088,0.9999999938794152,0.9999999755182256,0.9999999938796972,0.002730298867499,0.0027301822376564,0.0027301232541804,127038,4b256f4b903147f9a73a25d128798c6b57eb09dcead0db5a72276572741e6836,54.44461014121771
ebsw_full_b1,b1,normalized,1,3654,0,1.0,,0.9999614125655644,0.010357209209789,0.9999827187920448,0.9999307259586786,0.9999826433586668,0.0046315491806762,0.0045924685816269,0.0045725253248373,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,61.59646506421268
ebsw_full_b1,b1,normalized,1,3654,25,1.0,,0.9999999896870508,0.0001299766102734,0.9999999926793391,0.9999999707182646,0.999999992679793,0.002704257667348,0.0027041293450044,0.0027040644150265,3979,fdba3dea77616db68f5fb87618194a6815c80962b90d11ecedf2ea613074d925,53.06531814858317
ebsw_full_b1,b1,normalized,1,3654,50,1.0,,0.9999999897150929,0.0001310027872831,0.9999999926328892,0.999999970532666,0.999999992633444,0.002710495573691,0.0027103620547937,0.0027102934306682,4929,e59f94a7c28ecd419d8ca1fe92dd44d1e53b364a17464497afcdfbe7f1a0bedc,49.394818022847176
ebsw_full_b1,b1,normalized,1,3654,100,1.0,,0.9999999917654931,0.0001108355233219,0.9999999946989306,0.99999997879587,0.999999994699004,0.0026878939704618,0.0026877837405226,0.0026877275861864,8704,f4c4dc29b6eb31643100f764877edc34e3fe7ecf93ca92b978637a1c968f4b4f,48.377053113654256
ebsw_full_b1,b1,normalized,1,3654,200,1.0,,0.9999999937332942,9.738710362184138e-05,0.9999999958480796,0.9999999833925918,0.9999999958482162,0.0026914452903262,0.0026913528345461,0.0026913056418427,23754,41efff7e05929b0e2c80f27f331db4e325200eb260538e8f1bf8b5c6ff972ee2,41.41276003792882
ebsw_full_b1,b1,normalized,1,3654,300,1.0,,0.99999999229787,0.0001134371025376,0.9999999944138388,0.9999999776560105,0.9999999944141664,0.0026733313305244,0.0026732212667101,0.0026731651566917,48804,ece8a4f6e77cbd2cfdea406e2cc9c11af0c5537e7e54f292c33f6f992ad96b0e,54.774668999016285
ebsw_full_b1,b1,normalized,1,3654,400,1.0,,0.9999999941068562,8.968534602019834e-05,0.9999999965034796,0.999999986013864,0.9999999965034524,0.0026980298823876,0.0026979424509932,0.0026978978977483,83854,4747fe3273036772a7aca8b7bdd418899a1f1b61fbb1ab57c2e1ee1b33a02f95,59.120954014360905
ebsw_full_b1,b1,normalized,1,3654,500,1.0,,0.99999999350289,9.773269972968644e-05,0.9999999958588812,0.9999999834355652,0.9999999958589016,0.0026773055210619,0.0026772101451806,0.0026771619184758,128904,2fddedf17b5e9b6b3f5d82b67ed56ded0aceb914c1b4c4de07d861d627a44c2b,55.15578109771013
ebsw_full_b1,b1,normalized,3,3654,0,1.0,,0.9998527682355696,0.0207495007749406,0.9999264637031794,0.9997044293217028,0.9999257383051458,0.0047009311862517,0.0046234278898879,0.0045840358584016,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,67.8018860053271
ebsw_full_b1,b1,normalized,3,3654,25,1.0,,0.9999999727080644,0.0002166077057937,0.999999980081088,0.99999992032889,0.9999999800833562,0.0027252155738523,0.0027249863229256,0.0027248703335369,3979,fdba3dea77616db68f5fb87618194a6815c80962b90d11ecedf2ea613074d925,57.48662888072431
ebsw_full_b1,b1,normalized,3,3654,50,1.0,,0.999999980579546,0.0001756331959081,0.999999986797345,0.9999999471904066,0.9999999867978584,0.002725131667765,0.0027249500963084,0.0027248582832913,4929,e59f94a7c28ecd419d8ca1fe92dd44d1e53b364a17464497afcdfbe7f1a0bedc,52.93470900505781
ebsw_full_b1,b1,normalized,3,3654,100,1.0,,0.9999999852455682,0.0001448272226579,0.9999999909812082,0.9999999639247088,0.999999990981146,0.0027256695703779,0.0027255218791924,0.0027254469920908,8704,f4c4dc29b6eb31643100f764877edc34e3fe7ecf93ca92b978637a1c968f4b4f,77.06921105273068
ebsw_full_b1,b1,normalized,3,3654,200,1.0,,0.999999986789906,0.0001381183967418,0.9999999918782376,0.9999999675126724,0.9999999918780984,0.0027125130013289,0.0027123686507487,0.0027122941769706,23754,41efff7e05929b0e2c80f27f331db4e325200eb260538e8f1bf8b5c6ff972ee2,44.68030598945916
ebsw_full_b1,b1,normalized,3,3654,300,1.0,,0.999999987448114,0.0001336981506232,0.9999999923361224,0.9999999693444048,0.99999999233608,0.0027138705217769,0.0027137335745418,0.0027136634804045,48804,ece8a4f6e77cbd2cfdea406e2cc9c11af0c5537e7e54f292c33f6f992ad96b0e,51.44373513758183
ebsw_full_b1,b1,normalized,3,3654,400,1.0,,0.999999989177576,0.0001222070622505,0.9999999934733724,0.9999999738936036,0.9999999934734294,0.0027225749721265,0.0027224569058228,0.0027223984601611,83854,4747fe3273036772a7aca8b7bdd418899a1f1b61fbb1ab57c2e1ee1b33a02f95,58.28635604120791
ebsw_full_b1,b1,normalized,3,3654,500,1.0,,0.999999989592731,0.0001292827783373,0.999999992663856,0.9999999706568282,0.9999999926645584,0.0027097932458317,0.0027096708273126,0.0027096088907049,128904,2fddedf17b5e9b6b3f5d82b67ed56ded0aceb914c1b4c4de07d861d627a44c2b,41.011247085407376
ebsw_full_b1,b1,normalized,8,3654,0,1.0,,0.999763164429982,0.0263609521317738,0.9998950808016468,0.9995782524988512,0.999894018096804,0.0048530544655027,0.0047489599222887,0.0046990697448034,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,64.90419805049896
ebsw_full_b1,b1,normalized,8,3654,25,1.0,,0.999999982700556,0.0001642702402306,0.999999988350866,0.9999999534050504,0.9999999883516588,0.0027533887829445,0.0027532216501557,0.0027531371615144,3979,fdba3dea77616db68f5fb87618194a6815c80962b90d11ecedf2ea613074d925,48.1605869717896
ebsw_full_b1,b1,normalized,8,3654,50,1.0,,0.9999999850943778,0.0001478742293586,0.999999990543429,0.999999962174146,0.9999999905436436,0.0027453798459033,0.0027452306755629,0.0027451556029274,4929,e59f94a7c28ecd419d8ca1fe92dd44d1e53b364a17464497afcdfbe7f1a0bedc,71.22466410510242
ebsw_full_b1,b1,normalized,8,3654,100,1.0,,0.9999999859048558,0.000148577666606,0.9999999905107542,0.9999999620438564,0.9999999905111742,0.002728227292169,0.0027280755028901,0.00272799694157,8704,f4c4dc29b6eb31643100f764877edc34e3fe7ecf93ca92b978637a1c968f4b4f,53.63113689236343
ebsw_full_b1,b1,normalized,8,3654,200,1.0,,0.9999999869991564,0.0001425679847853,0.9999999911932506,0.9999999647745096,0.9999999911940038,0.0027368562314193,0.0027367137325836,0.0027366428304891,23754,41efff7e05929b0e2c80f27f331db4e325200eb260538e8f1bf8b5c6ff972ee2,48.165121115744114
ebsw_full_b1,b1,normalized,8,3654,300,1.0,,0.999999988832962,0.0001265487435689,0.9999999930839556,0.9999999723357668,0.999999993083928,0.0027317985623961,0.0027316709653102,0.0027316055162556,48804,ece8a4f6e77cbd2cfdea406e2cc9c11af0c5537e7e54f292c33f6f992ad96b0e,54.18506893329322
ebsw_full_b1,b1,normalized,8,3654,400,1.0,,0.9999999895370024,0.0001328127348915,0.9999999922396292,0.9999999689596965,0.9999999922402188,0.0027220877818171,0.0027219625192798,0.0027218996076207,83854,4747fe3273036772a7aca8b7bdd418899a1f1b61fbb1ab57c2e1ee1b33a02f95,38.33216498605907
