method,calibration,update,subject,seed,epoch,beta_t,effective_coeff_sum,effective_coeff_l1,negative_coeff_fraction,negative_coeff_mass,positive_coeff_mass,min_effective_coeff,max_effective_coeff,bank_seed,bank_hash
ebsw_full_ess050,ess050,raw_rooted,3,3654,0,35.13387329281241,1.0,1.0,0.0,-0.0,1.0,0.000419653704515391,0.11313268548642842,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd
ebsw_full_ess050,ess050,raw_rooted,3,3654,25,92.54183305058649,1.0000000000000002,1.0000000000000002,0.0,-0.0,1.0000000000000002,0.00032003124113069985,0.0821095223389743,3979,fdba3dea77616db68f5fb87618194a6815c80962b90d11ecedf2ea613074d925
ebsw_full_ess050,ess050,raw_rooted,3,3654,50,97.52618119508493,1.0,1.0,0.0,-0.0,1.0,0.0006734055241800432,0.15201854710830345,4929,e59f94a7c28ecd419d8ca1fe92dd44d1e53b364a17464497afcdfbe7f1a0bedc
ebsw_full_ess050,ess050,raw_rooted,3,3654,100,81.35300543474021,1.0,1.0,0.0,-0.0,1.0,0.0004708793477564187,0.1173308638284496,8704,f4c4dc29b6eb31643100f764877edc34e3fe7ecf93ca92b978637a1c968f4b4f
ebsw_full_ess050,ess050,raw_rooted,3,3654,200,140.49937670054993,1.0,1.0,0.0,-0.0,1.0,0.00045253851080715433,0.10637860103186474,23754,41efff7e05929b0e2c80f27f331db4e325200eb260538e8f1bf8b5c6ff972ee2
ebsw_full_ess050,ess050,raw_rooted,3,3654,300,118.47658534378326,0.9999999999999999,0.9999999999999999,0.0,-0.0,0.9999999999999999,0.0004191849552007061,0.14253181024902933,48804,ece8a4f6e77cbd2cfdea406e2cc9c11af0c5537e7e54f292c33f6f992ad96b0e
ebsw_full_ess050,ess050,raw_rooted,3,3654,400,162.94254745572832,0.9999999999999998,0.9999999999999998,0.0,-0.0,0.9999999999999998,0.00018738067271494618,0.06628095156193507,83854,4747fe3273036772a7aca8b7bdd418899a1f1b61fbb1ab57c2e1ee1b33a02f95
ebsw_full_ess050,ess050,raw_rooted,3,3654,500,131.20029062744564,1.0,1.0,0.0,-0.0,1.0,0.00028186480214332436,0.0835769667231144,128904,2fddedf17b5e9b6b3f5d82b67ed56ded0aceb914c1b4c4de07d861d627a44c2b
