fixture,method,p,gamma,D_mu_nu,D_nu_eta,D_mu_eta,triangle_slack
exact_p1_gamma1,sw,1,,1.718346785514047,1.718346785514047,3.183098861833588,-0.25359470919450633
exact_p1_gamma1,ebsw_exp,1,,2.2214234452047252,2.221423445204726,4.743059213988401,0.30021232357894956
exact_p1_gamma1,power_ebsw,1,1.0,1.9179916087117101,1.9179916087117101,3.9269908169925705,0.09100759956915017
exact_p1_gamma1,entropic,1,,2.007631593993982,2.007631593993982,4.318053915758109,0.3027907277701454
exact_p1_gamma1,evar,1,,2.255387361552911,2.25538736155291,4.495153075359906,-0.015621647745915013
exact_p1_gamma1,cvar,1,,2.459079107708116,2.4590791077081158,4.918158215416232,4.440892098500626e-16
exact_p1_gamma1,sampled_max,1,,2.499999999994166,2.499999999994166,4.999999999988332,0.0
power_regime_uniform,sw,1,,1.718346785514047,1.718346785514047,3.183098861833588,-0.25359470919450633
power_regime_uniform,ebsw_exp,1,,2.2214234452047252,2.221423445204726,4.743059213988401,0.30021232357894956
power_regime_uniform,power_ebsw,1,0.0,1.718346785514047,1.718346785514047,3.183098861833588,-0.25359470919450633
power_regime_uniform,entropic,1,,2.007631593993982,2.007631593993982,4.318053915758109,0.3027907277701454
power_regime_uniform,evar,1,,2.255387361552911,2.25538736155291,4.495153075359906,-0.015621647745915013
power_regime_uniform,cvar,1,,2.459079107708116,2.4590791077081158,4.918158215416232,4.440892098500626e-16
power_regime_uniform,sampled_max,1,,2.499999999994166,2.499999999994166,4.999999999988332,0.0
power_regime_weak,sw,1,,1.718346785514047,1.718346785514047,3.183098861833588,-0.25359470919450633
power_regime_weak,ebsw_exp,1,,2.2214234452047252,2.221423445204726,4.743059213988401,0.30021232357894956
power_regime_weak,power_ebsw,1,0.25,1.7714970977888447,1.7714970977888447,3.447799435676117,-0.09519475990157256
power_regime_weak,entropic,1,,2.007631593993982,2.007631593993982,4.318053915758109,0.3027907277701454
power_regime_weak,evar,1,,2.255387361552911,2.25538736155291,4.495153075359906,-0.015621647745915013
power_regime_weak,cvar,1,,2.459079107708116,2.4590791077081158,4.918158215416232,4.440892098500626e-16
power_regime_weak,sampled_max,1,,2.499999999994166,2.499999999994166,4.999999999988332,0.0
power_regime_violating,sw,1,,1.718346785514047,1.718346785514047,3.183098861833588,-0.25359470919450633
power_regime_violating,ebsw_exp,1,,2.2214234452047252,2.221423445204726,4.743059213988401,0.30021232357894956
power_regime_violating,power_ebsw,1,1.0,1.9179916087117101,1.9179916087117101,3.9269908169925705,0.09100759956915017
power_regime_violating,entropic,1,,2.007631593993982,2.007631593993982,4.318053915758109,0.3027907277701454
power_regime_violating,evar,1,,2.255387361552911,2.25538736155291,4.495153075359906,-0.015621647745915013
power_regime_violating,cvar,1,,2.459079107708116,2.4590791077081158,4.918158215416232,4.440892098500626e-16
power_regime_violating,sampled_max,1,,2.499999999994166,2.499999999994166,4.999999999988332,0.0
power_regime_max_limit,sw,1,,1.718346785514047,1.718346785514047,3.183098861833588,-0.25359470919450633
power_regime_max_limit,ebsw_exp,1,,2.2214234452047252,2.221423445204726,4.743059213988401,0.30021232357894956
power_regime_max_limit,power_ebsw,1,8.0,2.3642840214403753,2.3642840214403753,4.730330317673675,0.0017622747929246785
power_regime_max_limit,entropic,1,,2.007631593993982,2.007631593993982,4.318053915758109,0.3027907277701454
power_regime_max_limit,evar,1,,2.255387361552911,2.25538736155291,4.495153075359906,-0.015621647745915013
power_regime_max_limit,cvar,1,,2.459079107708116,2.4590791077081158,4.918158215416232,4.440892098500626e-16
power_regime_max_limit,sampled_max,1,,2.499999999994166,2.499999999994166,4.999999999988332,0.0
