seed,method,L_per_pair,shared_directions,triangle_slack,theorem_test
74,evar,1,False,-0.9661131589490758,False
74,cvar,1,False,-0.9661131589490758,False
75,evar,1,False,-0.1490237246192883,False
75,cvar,1,False,-0.1490237246192883,False
76,evar,1,False,-1.8043832894541278,False
76,cvar,1,False,-1.8043832894541278,False
77,evar,1,False,-1.461507147826079,False
77,cvar,1,False,-1.461507147826079,False
78,evar,1,False,0.004593659935446026,False
78,cvar,1,False,0.004593659935446026,False
79,evar,1,False,-0.50184272687174,False
79,cvar,1,False,-0.50184272687174,False
80,evar,1,False,-0.923098396885404,False
80,cvar,1,False,-0.923098396885404,False
81,evar,1,False,-0.3891458724601805,False
81,cvar,1,False,-0.3891458724601805,False
82,evar,1,False,-0.9632367359732289,False
82,cvar,1,False,-0.9632367359732289,False
83,evar,1,False,-1.176869482181118,False
83,cvar,1,False,-1.176869482181118,False
84,evar,1,False,-1.1751087207994177,False
84,cvar,1,False,-1.1751087207994177,False
85,evar,1,False,-1.1482880582704882,False
85,cvar,1,False,-1.1482880582704882,False
86,evar,1,False,-1.214599034363891,False
86,cvar,1,False,-1.214599034363891,False
87,evar,1,False,-1.0054567336613454,False
87,cvar,1,False,-1.0054567336613454,False
88,evar,1,False,-1.5482186670217166,False
88,cvar,1,False,-1.5482186670217166,False
89,evar,1,False,-1.1199028774615576,False
89,cvar,1,False,-1.1199028774615576,False
90,evar,1,False,-1.129261036825201,False
90,cvar,1,False,-1.129261036825201,False
91,evar,1,False,-1.309293993326842,False
91,cvar,1,False,-1.309293993326842,False
92,evar,1,False,-0.765807702619808,False
92,cvar,1,False,-0.765807702619808,False
93,evar,1,False,-0.8170316231758323,False
93,cvar,1,False,-0.8170316231758323,False
94,evar,1,False,-0.6501605499413717,False
94,cvar,1,False,-0.6501605499413717,False
95,evar,1,False,-1.3783769698172745,False
95,cvar,1,False,-1.3783769698172745,False
96,evar,1,False,-1.1730916686859103,False
96,cvar,1,False,-1.1730916686859103,False
97,evar,1,False,-0.32524296852866297,False
97,cvar,1,False,-0.32524296852866297,False
98,evar,1,False,-0.36310980679867455,False
98,cvar,1,False,-0.36310980679867455,False
99,evar,1,False,-1.5810777744573836,False
99,cvar,1,False,-1.5810777744573836,False
