q,L,method,rmse,bias
16,20,cvar,0.06452814149289052,0.03638613743151965
16,20,ebsw_exp,0.057148464477795695,0.021623158579495563
16,20,entropic,0.04347424779940371,0.020872845461552283
16,20,evar,0.056521226984339014,-0.005333130146786855
16,20,power_ebsw,0.061825774695766895,0.02025522877986524
16,20,sampled_max,0.48532462510018554,-0.4739953104698745
16,20,sw,0.032981917177124925,0.0185249817235713
16,40,cvar,0.04711987806743314,-0.0045895450520928825
16,40,ebsw_exp,0.03846437557811873,-0.004440412276540091
16,40,entropic,0.029163633859833678,-0.0009381266818439954
16,40,evar,0.05771898602063019,-0.026788184039675908
16,40,power_ebsw,0.05165302375654022,-0.010183438540237153
16,40,sampled_max,0.4560299748770602,-0.4419337072024793
16,40,sw,0.022602247081476255,0.0010802428930007206
16,100,cvar,0.029263359014988097,-0.0021640175494260193
16,100,ebsw_exp,0.025498923677023073,-0.0047146761335868925
16,100,entropic,0.017012009760690682,-0.0031313856061715196
16,100,evar,0.03841128599192622,-0.018916706428563357
16,100,power_ebsw,0.03347334278334806,-0.003752557303942236
16,100,sampled_max,0.3851262288525872,-0.3737683622639105
16,100,sw,0.012193862528509708,-0.002402445190479236
16,200,cvar,0.03138525647919841,0.012526161986484374
16,200,ebsw_exp,0.03886467135379655,0.017540713542559982
16,200,entropic,0.023520230017403554,0.009241156864821107
16,200,evar,0.044120806272546366,0.012205884454250394
16,200,power_ebsw,0.04282846642383385,0.021030163091812288
16,200,sampled_max,0.2780776563348142,-0.24632669879985397
16,200,sw,0.014149912987692857,0.0034184219394848767
16,500,cvar,0.012073737944325563,0.0046973291832960035
16,500,ebsw_exp,0.015321634582190961,0.006636939305522699
16,500,entropic,0.008126506852020456,0.0033493564218615504
16,500,evar,0.022357832776653062,0.004868740022355655
16,500,power_ebsw,0.018673915002861145,0.008897988724399963
16,500,sampled_max,0.22213417403555877,-0.19914496669745935
16,500,sw,0.004507363585255938,0.0010700990441513056
16,1000,cvar,0.011826600472739658,0.005531701640092944
16,1000,ebsw_exp,0.012285015808644066,0.004799833324179128
16,1000,entropic,0.00815756250098474,0.0031489707460175854
16,1000,evar,0.015158321076167419,0.003221984677435067
16,1000,power_ebsw,0.013788013887346205,0.006380783477641521
16,1000,sampled_max,0.1712557388908469,-0.15997257514091162
16,1000,sw,0.0056193183377378185,0.0018511229551742836
64,20,cvar,0.04947065481420595,0.010382171086449565
64,20,ebsw_exp,0.030891070022474914,0.007941799766357515
64,20,entropic,0.02640113468041192,0.006744214199428113
64,20,evar,0.049788686651684434,-0.005115359768376182
64,20,power_ebsw,0.048313081337678726,0.009794749310590687
64,20,sampled_max,0.27552313914540516,-0.2584098467799825
64,20,sw,0.022699433164713848,0.005617577321161778
64,40,cvar,0.03570597482723204,-0.013669493681248167
64,40,ebsw_exp,0.021856799260844738,-0.008687986151281477
64,40,entropic,0.02008380480164317,-0.008219034283287963
64,40,evar,0.03900777939829042,-0.020688356306185894
64,40,power_ebsw,0.032654785268323196,-0.010694868488035175
64,40,sampled_max,0.2529255915756328,-0.24351107587046072
64,40,sw,0.018530800076112366,-0.007814319443190592
64,100,cvar,0.019554375193543323,-0.0020705651067001313
64,100,ebsw_exp,0.01229497592513148,-0.0013988317703386016
64,100,entropic,0.01129154056207475,-0.0013180509415136876
64,100,evar,0.019635042764320324,-0.007812475983963098
64,100,power_ebsw,0.017207133929343373,-0.0013854672215695314
64,100,sampled_max,0.19360450926038353,-0.1891404740233706
64,100,sw,0.010420806652160615,-0.0012794989911319565
64,200,cvar,0.010805296077421263,-0.003128901351130916
64,200,ebsw_exp,0.005423374502887595,-0.0013805693173425532
64,200,entropic,0.004980556731337601,-0.0011723449983514073
64,200,evar,0.012200374719967176,-0.006690909648330287
64,200,power_ebsw,0.009706943381372717,-0.0023420451277098575
64,200,sampled_max,0.16227997531042193,-0.15777751490263014
64,200,sw,0.004670113470716546,-0.0010010224314467853
64,500,cvar,0.008927033689137803,-0.00017328628340055816
64,500,ebsw_exp,0.0054036149180460335,-0.0004526849547736127
64,500,entropic,0.004622933077885608,-0.0005109297899105365
64,500,evar,0.013239556048875278,-0.001990618312327684
64,500,power_ebsw,0.00972249936383339,-0.00018234734843909292
64,500,sampled_max,0.11868484486156881,-0.10546939874582746
64,500,sw,0.004005862842135911,-0.0005550581646063327
64,1000,cvar,0.005038642483901425,-0.002132402096273526
64,1000,ebsw_exp,0.0033618994730743377,-0.0015366287151496634
64,1000,entropic,0.003111335511800986,-0.0013928236367398636
64,1000,evar,0.007979138869923004,-0.004280403873923682
64,1000,power_ebsw,0.004862539856009357,-0.001970274286771094
64,1000,sampled_max,0.11084325420521796,-0.09902490081312883
64,1000,sw,0.0029234664076837917,-0.0012705633797991112
256,20,cvar,0.026107312089911783,-0.0034218257321920915
256,20,ebsw_exp,0.015202381677763794,0.0007830576294713225
256,20,entropic,0.014688717116093538,0.0010501220659567718
256,20,evar,0.028049111238866484,-0.01467713909964613
256,20,power_ebsw,0.021571543111457696,-0.002770660275785153
256,20,sampled_max,0.26810719522260346,-0.2640675155171505
256,20,sw,0.014237799459124439,0.0012715736035189672
256,40,cvar,0.01565806427070999,0.006170303442675575
256,40,ebsw_exp,0.009674132538801271,0.004762928861761266
256,40,entropic,0.009289780973801611,0.004507224992061038
256,40,evar,0.01765373315180674,-0.000739372025683329
256,40,power_ebsw,0.01523729769947717,0.006172789974615286
256,40,sampled_max,0.22009988099903385,-0.21417371100190283
256,40,sw,0.009009988371451295,0.004261424360540753
256,100,cvar,0.01675671108056832,0.0013866015521152367
256,100,ebsw_exp,0.00805192544820469,0.0004401837636440961
256,100,entropic,0.007460556730826115,0.0003883305962319103
256,100,evar,0.015379523831364835,-0.004978732467676047
256,100,power_ebsw,0.013795744438689634,0.0008158124695427649
256,100,sampled_max,0.19906443317835884,-0.19505820894721443
256,100,sw,0.006922342817168781,0.00032754293020231806
256,200,cvar,0.010596510839885798,-0.00042152329070457156
256,200,ebsw_exp,0.005666070726591267,-0.00015306213652538543
256,200,entropic,0.005251730188025982,-0.00011421430138820743
256,200,evar,0.012303787624702077,-0.004290119964340092
256,200,power_ebsw,0.009690058185033327,-0.0006964430370544998
256,200,sampled_max,0.16934805933097422,-0.16477470674714403
256,200,sw,0.004875069446891429,-8.233529911656941e-05
256,500,cvar,0.009426777460983924,0.003780869690347178
256,500,ebsw_exp,0.0055146106540650665,0.0015600907565238038
256,500,entropic,0.005181088241661981,0.001468590591649329
256,500,evar,0.010288334205813347,-0.001109476259605155
256,500,power_ebsw,0.008279909946954178,0.002269869591056583
256,500,sampled_max,0.14308296854112443,-0.13806842127588373
256,500,sw,0.0048734870393420966,0.0013743565110598994
256,1000,cvar,0.0025993712065064873,0.00011246088147621666
256,1000,ebsw_exp,0.0015489984440556683,0.0002130133084950539
256,1000,entropic,0.001515469641513349,0.00026601204430671405
256,1000,evar,0.005811407127006338,-0.0028272789788335653
256,1000,power_ebsw,0.002452737305847751,-0.00035443920165065257
256,1000,sampled_max,0.12492251187782005,-0.1196588749999357
256,1000,sw,0.0015021554669866746,0.0003097281547153642
