scale,method,power_value,distance,distance_over_scale,entropy,kl_uniform,ess,beta,max_weight
0.25,ebsw_exp,0.03325905600337814,0.1823706555435335,0.729482622174134,8.316922034636228,0.0008441320831144802,4089.0559977489793,2.0,0.00026295127694065843
0.25,evar,0.053210011768850055,0.23067295413387773,0.9226918165355109,7.817766166725397,0.49999999999394584,1841.9574123140092,50.040889364452326,0.0009301881516323973
0.5,ebsw_exp,0.14342031114921847,0.37870874184420206,0.7574174836884041,8.303894900885782,0.013871265833560369,3982.5914647972145,2.0,0.0003251765983961048
0.5,evar,0.21284004707540022,0.46134590826775546,0.9226918165355109,7.817766166725397,0.49999999999394584,1841.9574123140092,12.510222341113082,0.0009301881516323973
1.0,ebsw_exp,0.7428458793734262,0.861885073181701,0.861885073181701,8.093514653070919,0.2242515136484251,2713.0985850043685,2.0,0.0006485101562386151
1.0,evar,0.8513601883016009,0.9226918165355109,0.9226918165355109,7.817766166725397,0.49999999999394584,1841.9574123140092,3.1275555852782704,0.0009301881516323973
2.0,ebsw_exp,4.18432162877715,2.0455614458571394,1.0227807229285697,6.872793865763437,1.4449723009559072,771.2724695312404,2.0,0.001858579023897242
2.0,evar,3.4054407532064035,1.8453836330710218,0.9226918165355109,7.817766166725397,0.49999999999394584,1841.9574123140092,0.7818888963195676,0.0009301881516323973
4.0,ebsw_exp,17.670425884717353,4.203620568595285,1.0509051421488214,6.072166909207681,2.2455992575116666,377.03766801972034,2.0,0.003701406557600941
4.0,evar,13.621763012825614,3.6907672661420436,0.9226918165355109,7.817766166725397,0.49999999999394584,1841.9574123140092,0.1954722240798919,0.0009301881516323973
