q,method,reference_L,distance
16,sw,20000,0.3315254891038292
16,ebsw_exp,20000,0.3764519859695811
16,power_ebsw,20000,0.46045034772148125
16,entropic,20000,0.3521125831997691
16,evar,20000,0.5168421624452488
16,cvar,20000,0.5242524329003955
16,sampled_max,20000,1.1472011535764581
64,sw,20000,0.2648835504947778
64,ebsw_exp,20000,0.2757123346632149
64,power_ebsw,20000,0.3278530404385079
64,entropic,20000,0.2701509815203731
64,evar,20000,0.37414112682347095
64,cvar,20000,0.3894610036755006
64,sampled_max,20000,0.7275421373755846
256,sw,20000,0.23002556332664925
256,ebsw_exp,20000,0.2353320067340209
256,power_ebsw,20000,0.2733352211796093
256,entropic,20000,0.23263354826307348
256,evar,20000,0.31455032722127085
256,cvar,20000,0.3261204628398121
256,sampled_max,20000,0.6337078097585384
