dataset,phase,control,method,family,hierarchical,subject,seed,epoch,k,L,sigma,training_power_loss,rooted_distance,lew,gap_closure_pct,gradient_norm,update_norm,mean_h,std_h,max_h,min_h,spectral_entropy,spectral_ess,spectral_max_weight,spectral_top10_weight,gram_condition,aggregation_seconds,optimization_seconds_cum,evaluation_seconds_cum,cumulative_ambient_projections,learning_rate,normalized_step_target,bank_seed,mix_seed,nan,diverged,status
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,0,40,40,1.0,,,92.15362001420192,0.0,,,,,,,,,,,,,0.0,0.0335876930039376,0,,3.866127438301626,6398,,False,False,initial
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,1,40,40,1.0,0.006515513627702304,0.08071873157887396,,,0.0017933436129263646,3.866127438301627,0.0026450060161885888,0.00337237082059408,0.0147307466772733,0.00013261980574498565,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.0007620749529451132,0.0072562110144644976,0.0335876930039376,40,,3.866127438301626,6398,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,2,40,40,1.0,0.004871846641171519,0.06979861489436247,,,0.0014702343708789768,3.8661274383016266,0.0023330571991243922,0.0023080713672594183,0.008858371275239016,6.450150755950663e-05,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.0004859240725636482,0.01379149011336267,0.0335876930039376,80,,3.866127438301626,6399,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,3,40,40,1.0,0.0037634036543677837,0.06134658633019268,,,0.0012544034973285018,3.8661274383016266,0.002034958020973392,0.001631141701539334,0.006476037940826781,7.449366616033457e-05,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.0004782050382345915,0.02030355902388692,0.0335876930039376,120,,3.866127438301626,6400,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,4,40,40,1.0,0.004754038205814237,0.06894953376067336,,,0.0014921482068891536,3.866127438301626,0.0021317548282294148,0.002296078819364604,0.009890661316820665,5.661215595681668e-05,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.0004702839069068432,0.026833961019292474,0.0335876930039376,160,,3.866127438301626,6401,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,5,40,40,1.0,0.003818416009427619,0.06179333304999512,,,0.0013020700101928123,3.866127438301626,0.0018502918370298265,0.0018121065136107552,0.006944200285174602,8.611830440527119e-05,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.0004653502255678177,0.03354627103544772,0.0335876930039376,200,,3.866127438301626,6402,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,6,40,40,1.0,0.0026163230713562168,0.051150005585104456,,,0.00107661431836235,3.866127438301626,0.0013280684426386301,0.0011471183313090589,0.004911120614284664,4.124485625933473e-05,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.00046946806833148,0.04008845495991409,0.0335876930039376,240,,3.866127438301626,6403,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,7,40,40,1.0,0.004114660935276568,0.06414562288478122,,,0.0014027835281659356,3.8661274383016266,0.001837062518367208,0.0019771166544449,0.00886061794355487,0.00013352546144806726,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.0004716671537607908,0.0468192039988935,0.0335876930039376,280,,3.866127438301626,6404,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,8,40,40,1.0,0.004705600594375451,0.06859738037545932,,,0.001469069818898006,3.866127438301627,0.002148541163707069,0.0022866934419408487,0.009300914036682022,5.1797093537416045e-05,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.0004617171362042427,0.053448537131771445,0.0335876930039376,320,,3.866127438301626,6405,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,9,40,40,1.0,0.005205610405049096,0.07214991618185773,,,0.0016557942558026266,3.866127438301626,0.0021687864903837165,0.0025501200317433292,0.013352922991066413,9.12656144232189e-05,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.0004606230650097132,0.059885956114158034,0.0335876930039376,360,,3.866127438301626,6406,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,10,40,40,1.0,0.005013735185009943,0.07080773393500137,,,0.0015822409297686268,3.866127438301626,0.002106002986356116,0.0024871247616060498,0.012399387103058058,0.0001576581126533098,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.000459522008895874,0.06642554304562509,0.0335876930039376,400,,3.866127438301626,6407,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,11,40,40,1.0,0.004051457631798467,0.0636510615135244,,,0.0013736934050440986,3.8661274383016266,0.0017932744375623493,0.0020038483733017362,0.008004290507566313,8.832193100906065e-05,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.00047401804476976395,0.073136440012604,0.0335876930039376,440,,3.866127438301626,6408,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,12,40,40,1.0,0.003687606620212074,0.06072566689804299,,,0.0013378759653820268,3.866127438301626,0.0017257215129342551,0.0016811415712895148,0.008646958133596831,9.451636511269577e-05,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.00047220103442668915,0.07966413884423673,0.0335876930039376,480,,3.866127438301626,6409,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,13,40,40,1.0,0.004951413791097425,0.07036628305586011,,,0.0016281879438883656,3.8661274383016258,0.002095352660038314,0.0023881939620723123,0.01361538468231805,0.00010325643030339668,3.204016595145241,16.34185528537307,0.1685366707102025,0.6276025367807749,,0.0004654449876397848,0.08637538086622953,0.0335876930039376,520,,3.866127438301626,6410,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,14,40,40,1.0,0.004291701815887634,0.06551108162660448,,,0.0014113659544729216,3.866127438301626,0.0019401903942393404,0.0020833815724323503,0.00873622199626041,0.00015289828301155866,3.204016595145241,16.34185528537307,0.1685366707102025,0.6276025367807749,,0.00046299188397824764,0.09290646994486451,0.0335876930039376,560,,3.866127438301626,6411,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,15,40,40,1.0,0.003941761061504341,0.06278344576004363,,,0.0014466931185397943,3.866127438301627,0.0015906772345514236,0.00198530722830475,0.011002663473650467,0.00010464768027021591,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.00046471599489450455,0.09936710982583463,0.0335876930039376,600,,3.866127438301626,6412,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,16,40,40,1.0,0.004329050651310114,0.06579552151408266,,,0.0014235216860298604,3.866127438301626,0.0019142856546389177,0.0021650259484764798,0.008414334090504492,7.689454569067068e-05,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.00047364900819957256,0.1058539308141917,0.0335876930039376,640,,3.866127438301626,6413,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,17,40,40,1.0,0.004984105549686332,0.07059819792095498,,,0.001536814350388926,3.8661274383016266,0.002276972127484122,0.0023084046425549737,0.011275749603478241,8.090409739442808e-05,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.00046823802404105663,0.112400644691661,0.0335876930039376,680,,3.866127438301626,6414,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,18,40,40,1.0,0.0034774517597021227,0.058969922500391014,,,0.0012969909659944759,3.866127438301626,0.001642968055084201,0.001556170997727663,0.008113220986405037,9.983417415768302e-05,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.0004625620786100626,0.11894840374588966,0.0335876930039376,720,,3.866127438301626,6415,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,2,6398,19,40,40,1.0,0.004225472422235112,0.06500363391561362,,,0.001411655779496902,3.866127438301626,0.002010308462677366,0.001904816311812924,0.00953576797068367,0.0001103124886136707,3.204016595145241,16.341855285373075,0.1685366707102025,0.6276025367807749,,0.000462027033790946,0.1256547395605594,0.0335876930039376,760,,3.866127438301626,6416,,False,False,ok
