dataset,phase,control,method,sampling,aggregation,reference,subject,seed,epoch,k,sigma,training_power_loss,rooted_distance,lew,relative_lew,lew_reduction_pct,gap_closure,raw_gradient_norm,applied_update_norm,mean_h,std_h,max_h,min_h,spectral_entropy,spectral_ess,spectral_max_weight,spectral_top5_weight,bank_seed,bank_hash,bank_hash_kind,target_projection_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,sorting_aggregation_ms,backward_ms,optimizer_update_ms,total_optimization_epoch_ms,one_time_fixed_bank_sampling_ms,one_time_fixed_target_projection_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_ambient_projection_count,cumulative_direction_draw_count,learning_rate,normalized_step_target,nan,diverged,status
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,fixed,uniform,False,3,1788,0,40,0.0,,,71.12992527977092,1.0,0.0,0.0,,,,,,,,,,,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,435df4d26300afca4725ec1387c0d93a84fafd288d0a1a673132fbce82e4a393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3139348700642586,0.23067998699843884,0.5446148570626974,29.822751879692078,40,40,,7.3473173386245945,False,False,initial
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,fixed,uniform,False,3,1788,1,40,0.0,0.0013761450504954531,0.0370964290801076,,,,,0.0003966608953032352,7.3473173386245945,0.0013761450504954531,0.002083793878940291,0.012565056276087514,6.0136515501115395e-05,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,435df4d26300afca4725ec1387c0d93a84fafd288d0a1a673132fbce82e4a393,0.0,0.8890898898243904,0.0,0.6121329497545958,0.05352194420993328,1.378407934680581,0.42972597293555737,3.362878691405058,0.3139348700642586,0.23067998699843884,3.9074935484677553,29.822751879692078,80,40,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,fixed,uniform,False,3,1788,2,40,0.0,1.4197364228518253e-05,0.003767938989489911,,,,,3.989741225529043e-05,7.3473173386245945,1.4197364228518253e-05,1.7853575044222922e-05,8.393158171362975e-05,7.763267546964139e-07,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,435df4d26300afca4725ec1387c0d93a84fafd288d0a1a673132fbce82e4a393,0.0,0.8695931173861027,0.0,0.5229001399129629,0.05367188714444637,0.9755040518939495,0.421884935349226,2.8435541316866875,0.3139348700642586,0.23067998699843884,6.751047680154443,29.822751879692078,120,40,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,fixed,uniform,False,3,1788,3,40,0.0,0.0013238438357271024,0.03638466484285794,,,,,0.0004009549345639247,7.347317338624594,0.0013238438357271024,0.001809676192472852,0.008576201838846262,2.003043862879852e-05,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,435df4d26300afca4725ec1387c0d93a84fafd288d0a1a673132fbce82e4a393,0.0,0.8641490712761879,0.0,0.5039810203015804,0.04459894262254238,0.9184819646179676,0.41691004298627377,2.748121041804552,0.3139348700642586,0.23067998699843884,9.499168721958995,29.822751879692078,160,40,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,fixed,uniform,False,3,1788,4,40,0.0,2.2817999133603453e-05,0.004776818934563404,,,,,5.2011027116463474e-05,7.3473173386245945,2.2817999133603453e-05,2.548454577562874e-05,0.00010363369670448957,5.778761030308387e-07,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,435df4d26300afca4725ec1387c0d93a84fafd288d0a1a673132fbce82e4a393,0.0,0.8640140295028687,0.0,0.4952510353177786,0.044106971472501755,0.9644350502640009,0.42084790766239166,2.7886549942195415,0.3139348700642586,0.23067998699843884,12.287823716178536,29.822751879692078,200,40,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,fixed,uniform,False,3,1788,5,40,0.0,0.0013092928171210194,0.036184151463327416,,,,,0.00040331457148156855,7.347317338624595,0.0013092928171210194,0.0015064877442148904,0.005982980095372016,9.63941871523448e-06,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,435df4d26300afca4725ec1387c0d93a84fafd288d0a1a673132fbce82e4a393,0.0,0.8620820008218288,0.0,0.5038180388510227,0.045996857807040215,0.9263448882848024,0.41482504457235336,2.7530668303370476,0.3139348700642586,0.23067998699843884,15.040890546515584,29.822751879692078,240,40,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,fixed,uniform,False,3,1788,6,40,0.0,2.5511520194742476e-05,0.005050893009631314,,,,,5.538129698868849e-05,7.347317338624595,2.5511520194742476e-05,2.4913885414476434e-05,9.563025295240242e-05,4.3761757018774977e-07,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,435df4d26300afca4725ec1387c0d93a84fafd288d0a1a673132fbce82e4a393,0.0,0.8622701279819012,0.0,0.4858491010963917,0.043486012145876884,0.9181669447571039,0.41634589433670044,2.726118080317974,0.3139348700642586,0.23067998699843884,17.767008626833558,29.822751879692078,280,40,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,fixed,uniform,False,3,1788,7,40,0.0,0.0013067628750883238,0.036149175303017964,,,,,0.0004044138600538894,7.3473173386245945,0.0013067628750883238,0.0013245481344430054,0.005224025575358845,5.537568676149009e-06,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,435df4d26300afca4725ec1387c0d93a84fafd288d0a1a673132fbce82e4a393,0.0,0.8660180028527975,0.0,0.49393903464078903,0.05015404894948006,0.9170928969979286,0.42292801663279533,2.7501320000737906,0.3139348700642586,0.23067998699843884,20.51714062690735,29.822751879692078,320,40,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,fixed,uniform,False,3,1788,8,40,0.0,2.633059275383133e-05,0.005131334402846041,,,,,5.640391008560378e-05,7.3473173386245945,2.633059275383133e-05,2.4230379660368326e-05,0.00011552519602842375,4.187912936330979e-07,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,435df4d26300afca4725ec1387c0d93a84fafd288d0a1a673132fbce82e4a393,0.0,0.8648219518363476,0.0,0.49830484203994274,0.043841078877449036,0.9498561266809702,0.41615101508796215,2.7729750145226717,0.3139348700642586,0.23067998699843884,23.29011564143002,29.822751879692078,360,40,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,fixed,uniform,False,3,1788,9,40,0.0,0.0013071297220648666,0.03615424901812879,,,,,0.0004051255133272198,7.347317338624595,0.0013071297220648666,0.0012513697503711311,0.00588691904584213,9.844210251652456e-06,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,435df4d26300afca4725ec1387c0d93a84fafd288d0a1a673132fbce82e4a393,0.0,0.8626419585198164,0.0,0.48494990915060043,0.043831998482346535,0.9561229962855577,0.41360012255609035,2.7611469849944115,0.3139348700642586,0.23067998699843884,26.051262626424432,29.822751879692078,400,40,,7.3473173386245945,False,False,ok
