N_proj,fixed_mean_relative_lew_auc,resampled_mean_relative_lew_auc,fixed_minus_resampled_auc,fixed_mean_final_lew,resampled_mean_final_lew,fixed_minus_resampled_final_lew,fixed_mean_training_loss_reduction_pct,fixed_mean_independent_lew_reduction_pct,fixed_mean_overfit_gap,fixed_mean_wall_ms,resampled_mean_wall_ms,fixed_minus_resampled_wall_ms
500,0.987164621335888,0.8304052311751247,0.15675939016076335,83.16103695177843,63.38217431855757,19.77886263322086,96.43064151377332,1.4725766532024884,94.95806486057084,3262.3855042426535,3676.2930954185626,-413.90759117590915
1000,0.9757004340297463,0.8030641672085173,0.172636266821229,82.06278048286163,61.91624606276034,20.14653442010129,98.08955491921802,2.7787865131563776,95.31076840606164,5796.939933362107,6680.021148951103,-883.0812155889962
2000,0.9515210280322078,0.7805147837425136,0.17100624428969424,79.73371347475023,60.17303854463071,19.560674930119525,98.97159309841383,5.539557766627753,93.4320353317861,11438.204937924942,13011.519440993046,-1573.3145030681044
5000,0.8903412916036536,0.7545102279503216,0.13583106365333197,73.82642687689064,57.61855025181015,16.207876625080488,99.34398720323576,12.541391250327905,86.80259595290784,27940.17137424089,31910.889787599444,-3970.7184133585542
