dataset,phase,control,method,sampling,aggregation,reference,subject,seed,epoch,k,sigma,training_power_loss,rooted_distance,lew,relative_lew,lew_reduction_pct,gap_closure,raw_gradient_norm,applied_update_norm,mean_h,std_h,max_h,min_h,spectral_entropy,spectral_ess,spectral_max_weight,spectral_top5_weight,bank_seed,bank_hash,bank_hash_kind,target_projection_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,sorting_aggregation_ms,backward_ms,optimizer_update_ms,total_optimization_epoch_ms,one_time_fixed_bank_sampling_ms,one_time_fixed_target_projection_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_ambient_projection_count,cumulative_direction_draw_count,learning_rate,normalized_step_target,nan,diverged,status
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,fixed,uniform,False,2,1788,0,40,0.0,,,92.15362001420182,1.0,0.0,0.0,,,,,,,,,,,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,b0b9ddcd45ff4a9f19d2e15b321719d21a16d29ae6c1e0113efe34ba76931c19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26361201889812946,0.21537602879106998,0.47898804768919945,30.214454978704453,40,40,3000.0,,False,False,initial
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,fixed,uniform,False,2,1788,1,40,0.0,0.002443408498956667,0.049430845622512536,,,,,0.0005486758399362548,1.646027519808764,0.002443408498956667,0.0033724484909822155,0.018702958072433305,0.00012584416412690625,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,b0b9ddcd45ff4a9f19d2e15b321719d21a16d29ae6c1e0113efe34ba76931c19,0.0,0.8764190133661032,0.0,0.5659749731421471,0.05030096508562565,1.3087522238492966,0.2044511493295431,3.0058983247727156,0.26361201889812946,0.21537602879106998,3.484886372461915,30.214454978704453,80,40,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,fixed,uniform,False,2,1788,2,40,0.0,0.0016242333834889822,0.040301778912214065,,,,,0.0004467336705543978,1.3402010116631935,0.0016242333834889822,0.0022306949667154166,0.01231695340383275,8.722977403901161e-05,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,b0b9ddcd45ff4a9f19d2e15b321719d21a16d29ae6c1e0113efe34ba76931c19,0.0,0.8668648079037666,0.0,0.5313281435519457,0.04743807949125767,0.8683940395712852,0.2056171651929617,2.519642235711217,0.26361201889812946,0.21537602879106998,6.004528608173132,30.214454978704453,120,40,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,fixed,uniform,False,2,1788,3,40,0.0,0.0010810477852286429,0.032879291130263784,,,,,0.00036392933310895316,1.0917879993268595,0.0010810477852286429,0.0014770565644373144,0.008117145747191206,5.8341999100305976e-05,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,b0b9ddcd45ff4a9f19d2e15b321719d21a16d29ae6c1e0113efe34ba76931c19,0.0,0.8656000718474388,0.0,0.5188051145523787,0.04679383710026741,0.8883790578693151,0.20419317297637463,2.5237712543457747,0.26361201889812946,0.21537602879106998,8.528299862518907,30.214454978704453,160,40,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,fixed,uniform,False,2,1788,4,40,0.0,0.0007204722642571754,0.026841614412273628,,,,,0.0002966419351631955,0.8899258054895864,0.0007204722642571754,0.0009791309176352416,0.0053533930768264095,3.657575863814938e-05,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,b0b9ddcd45ff4a9f19d2e15b321719d21a16d29ae6c1e0113efe34ba76931c19,0.0,0.8638659492135048,0.0,0.5116581451147795,0.04541291855275631,0.8744799997657537,0.20338199101388454,2.498799003660679,0.26361201889812946,0.21537602879106998,11.027098866179585,30.214454978704453,200,40,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,fixed,uniform,False,2,1788,5,40,0.0,0.0004808324454954806,0.021927891952841262,,,,,0.000241966881742357,0.725900645227071,0.0004808324454954806,0.0006498047190411374,0.0035334110496607796,2.319244595213213e-05,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,b0b9ddcd45ff4a9f19d2e15b321719d21a16d29ae6c1e0113efe34ba76931c19,0.0,0.8612219244241714,0.0,0.5045561119914055,0.04439614713191986,0.8449801243841648,0.2066527958959341,2.4618071038275957,0.26361201889812946,0.21537602879106998,13.488905970007181,30.214454978704453,240,40,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,fixed,uniform,False,2,1788,6,40,0.0,0.0003213529439187848,0.01792631986545997,,,,,0.00019746149032472758,0.5923844709741827,0.0003213529439187848,0.00043170303215456934,0.0023337878648786634,1.4904945915606134e-05,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,b0b9ddcd45ff4a9f19d2e15b321719d21a16d29ae6c1e0113efe34ba76931c19,0.0,0.8637250866740942,0.0,0.5022739060223103,0.04536285996437073,0.8405279368162155,0.20493706688284874,2.4568268563598394,0.26361201889812946,0.21537602879106998,15.94573282636702,30.214454978704453,280,40,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,fixed,uniform,False,2,1788,7,40,0.0,0.00021511617571981606,0.014666839322765354,,,,,0.00016124023349254566,0.483720700477637,0.00021511617571981606,0.00028714974650073243,0.0015427270553465748,9.730102238753274e-06,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,b0b9ddcd45ff4a9f19d2e15b321719d21a16d29ae6c1e0113efe34ba76931c19,0.0,0.8649688679724932,0.0,0.5118879489600658,0.04610605537891388,0.8380089420825243,0.20397291518747807,2.4649447295814753,0.26361201889812946,0.21537602879106998,18.410677555948496,30.214454978704453,320,40,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,fixed,uniform,False,2,1788,8,40,0.0,0.0001442606875539165,0.012010857069914557,,,,,0.0001317410593712719,0.39522317811381574,0.0001442606875539165,0.00019123241607918925,0.0010206927605758882,6.467957217193898e-06,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,b0b9ddcd45ff4a9f19d2e15b321719d21a16d29ae6c1e0113efe34ba76931c19,0.0,0.8619681466370821,0.0,0.5040320102125406,0.045791035518050194,0.8438860531896353,0.20444695837795734,2.4601242039352655,0.26361201889812946,0.21537602879106998,20.87080175988376,30.214454978704453,360,40,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,fixed,uniform,False,2,1788,9,40,0.0,9.694669561429473e-05,0.00984615130974,,,,,0.00010770500814559383,0.3231150244367815,9.694669561429473e-05,0.00012751315247415445,0.0006759425402983782,4.3889545674730805e-06,3.6888794541139367,39.99999999999999,0.025,0.125,1788,aa21be348025a3373ab46463f83eaa0e40888f61f07235debb4d832dfbff4f97,full_tensor_sha256,b0b9ddcd45ff4a9f19d2e15b321719d21a16d29ae6c1e0113efe34ba76931c19,0.0,0.8604461327195168,0.0,0.5038711242377758,0.04547415301203728,0.8491321932524443,0.20215101540088654,2.4610746186226606,0.26361201889812946,0.21537602879106998,23.331876378506422,30.214454978704453,400,40,3000.0,,False,False,ok
