method,calibration,update,subject,seed,epoch,beta_t,effective_coeff_sum,effective_coeff_l1,negative_coeff_fraction,negative_coeff_mass,positive_coeff_mass,min_effective_coeff,max_effective_coeff,bank_seed,bank_hash
ebsw_full_ess075,ess075,raw_rooted,1,3654,0,52.63046532793494,1.0,1.0,0.0,-0.0,1.0,0.0008635518393437262,0.05847719544105211,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd
ebsw_full_ess075,ess075,raw_rooted,1,3654,25,303.1712173912644,1.0,1.0,0.0,-0.0,1.0,0.0008275110462342822,0.049664051587527375,3979,fdba3dea77616db68f5fb87618194a6815c80962b90d11ecedf2ea613074d925
ebsw_full_ess075,ess075,raw_rooted,1,3654,50,496.536581754553,1.0,1.0,0.0,-0.0,1.0,0.0007264951346708844,0.05733946486935753,4929,e59f94a7c28ecd419d8ca1fe92dd44d1e53b364a17464497afcdfbe7f1a0bedc
ebsw_full_ess075,ess075,raw_rooted,1,3654,100,516.3315543946433,1.0,1.0,0.0,-0.0,1.0,0.0005533418597123105,0.028931470801068573,8704,f4c4dc29b6eb31643100f764877edc34e3fe7ecf93ca92b978637a1c968f4b4f
ebsw_full_ess075,ess075,raw_rooted,1,3654,200,652.0704623771269,0.9999999999999999,0.9999999999999999,0.0,-0.0,0.9999999999999999,0.0005996286226400723,0.04314474774238005,23754,41efff7e05929b0e2c80f27f331db4e325200eb260538e8f1bf8b5c6ff972ee2
ebsw_full_ess075,ess075,raw_rooted,1,3654,300,298.4488097800213,0.9999999999999999,0.9999999999999999,0.0,-0.0,0.9999999999999999,0.0007786304554257747,0.044460352852042556,48804,ece8a4f6e77cbd2cfdea406e2cc9c11af0c5537e7e54f292c33f6f992ad96b0e
ebsw_full_ess075,ess075,raw_rooted,1,3654,400,249.17299727434226,1.0,1.0,0.0,-0.0,1.0,0.000892871452199456,0.06662422251350293,83854,4747fe3273036772a7aca8b7bdd418899a1f1b61fbb1ab57c2e1ee1b33a02f95
ebsw_full_ess075,ess075,raw_rooted,1,3654,500,587.9362323029644,0.9999999999999999,0.9999999999999999,0.0,-0.0,0.9999999999999999,0.0008231212367803441,0.06631523465650284,128904,2fddedf17b5e9b6b3f5d82b67ed56ded0aceb914c1b4c4de07d861d627a44c2b
