dataset,subject,seed,control,method,family,L,epoch,direction_seed,training_power_loss,rooted_distance,lew,gap_closure_pct,gradient_norm,update_norm,mean_h,std_h,max_h,entropy,kl_uniform,ess,beta_star,achieved_kl,active_tail_count,aggregation_seconds,optimization_seconds_cum,evaluation_seconds_cum,wall_seconds_cum,cumulative_ambient_projections,learning_rate,normalized_step_target,nan,diverged,status
Schirrmeister2017,1,6398,common_lr10000,evar_k0p1,evar,40,0,6398,,,99.47222961282489,0.0,,,,,,,,,,,,0.0,0.0,0.009691557846963406,0.0,0,10000.0,7.3473173386245945,False,False,initial
Schirrmeister2017,1,6398,common_lr10000,evar_k0p1,evar,40,1,6398,0.0026729442894760217,0.05170052504062238,,,0.0013307023963621773,13.307023963621772,0.0017129955774770626,0.0018891399152662102,0.009172689902208438,3.5888794541927203,0.0999999999212152,31.190501986142994,187.3248324895173,0.0999999999212152,,0.0031057558953762054,0.005096100969240069,0.009691557846963406,0.005096100969240069,40,10000.0,7.3473173386245945,False,False,solved
Schirrmeister2017,1,6398,common_lr10000,evar_k0p1,evar,40,2,6399,0.003829920687239319,0.06188635299675785,,,0.0015947586619088354,15.947586619088355,0.0023819762008479997,0.0027881723825533013,0.012309126959128197,3.588879454163914,0.0999999999500217,31.183450080610317,122.81195477919127,0.0999999999500217,,0.0017934080678969622,0.008608719799667597,0.009691557846963406,0.008608719799667597,80,10000.0,7.3473173386245945,False,False,solved
Schirrmeister2017,1,6398,common_lr10000,evar_k0p1,evar,40,3,6401,0.003769753555618434,0.061398318833812006,,,0.001703437351511351,17.03437351511351,0.002227300661494959,0.0029041476299030908,0.015292087639356152,3.5888794541323286,0.09999999998160797,30.56489856680769,113.03471271504546,0.09999999998160797,,0.001691737910732627,0.011953411623835564,0.009691557846963406,0.011953411623835564,120,10000.0,7.3473173386245945,False,False,solved
Schirrmeister2017,1,6398,common_lr10000,evar_k0p1,evar,40,4,6404,0.003655610656466017,0.060461646160735794,,,0.0015221016451636591,15.221016451636592,0.002380011234720768,0.002558660457219921,0.011688153212346054,3.5888794540789526,0.10000000003498334,31.477220402683663,143.01727278837782,0.10000000003498334,,0.0017408400308340788,0.015318802557885647,0.009691557846963406,0.015318802557885647,160,10000.0,7.3473173386245945,False,False,solved
Schirrmeister2017,1,6398,common_lr10000,evar_k0p1,evar,40,5,6408,0.004264529405750757,0.06530336442903044,,,0.0017949508334210785,17.949508334210787,0.002474043182901308,0.003417055847124583,0.01694396404099867,3.588879454083663,0.10000000003027303,30.88138434306992,98.48129250851225,0.10000000003027303,,0.0017919328529387712,0.0187260746024549,0.009691557846963406,0.0187260746024549,200,10000.0,7.3473173386245945,False,False,solved
Schirrmeister2017,1,6398,common_lr10000,evar_k0p1,evar,40,6,6413,0.0026066515616835644,0.051055377402224385,,,0.0012199788012185497,12.199788012185495,0.0016727925921535141,0.001910259467313865,0.0068837215431684865,3.588879454183002,0.09999999993093374,32.06414201902924,199.60373880896356,0.09999999993093374,,0.0016483119688928127,0.021977606462314725,0.009691557846963406,0.021977606462314725,240,10000.0,7.3473173386245945,False,False,solved
Schirrmeister2017,1,6398,common_lr10000,evar_k0p1,evar,40,7,6419,0.005643756987271764,0.07512494251093817,,,0.002246935624216645,22.46935624216645,0.0029032753443824118,0.004961724505162705,0.027148190848756262,3.5888794541203533,0.09999999999358344,30.1857206045569,62.24989897496799,0.09999999999358344,,0.0017867039423435926,0.025374189484864473,0.009691557846963406,0.025374189484864473,280,10000.0,7.3473173386245945,False,False,solved
Schirrmeister2017,1,6398,common_lr10000,evar_k0p1,evar,40,8,6426,0.0031612170889078308,0.056224701768064815,,,0.0014806266474992743,14.806266474992745,0.0020481790606009537,0.002164416570756213,0.011204694141594519,3.5888794541201237,0.09999999999381183,30.83789930679408,159.64107889838044,0.09999999999381183,,0.001732079079374671,0.028696566354483366,0.009691557846963406,0.028696566354483366,320,10000.0,7.3473173386245945,False,False,solved
Schirrmeister2017,1,6398,common_lr10000,evar_k0p1,evar,40,9,6434,0.0036109838061697177,0.06009146200725789,,,0.0015399214771498653,15.399214771498652,0.0022053749911983586,0.002782337955521367,0.012306829980363011,3.5888794541470914,0.09999999996684497,31.485657583951742,128.94884676985913,0.09999999996684497,,0.0017806501127779484,0.03206319431774318,0.009691557846963406,0.03206319431774318,360,10000.0,7.3473173386245945,False,False,solved
