method,calibration,update,subject,seed,epoch,beta_t,target_rho,ess_over_N,response_ratio,cosine_full_stop,cosine_full_vs_sw,cosine_stop_vs_sw,full_gradient_norm,stop_gradient_norm,sw_gradient_norm,bank_seed,bank_hash,diagnostic_ms
ebsw_full_ess075,ess075,normalized,8,6398,0,21.24979047897209,0.75,0.7500000000140533,1.08056088299872,0.962038658772531,0.755981002378246,0.9039287607828459,0.013916694075281264,0.006932118223744058,0.004742233099863497,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,57.29470099322498
ebsw_full_ess075,ess075,normalized,8,6398,25,2706.0602680114016,0.75,0.7500000000725482,0.8330589886407241,0.9425594873484855,0.6386386814821498,0.8543814329915784,0.006285994349470395,0.003685255725003322,0.0027733065931095182,6723,a6a2b278d97fda7809fb6952fddfd02497b0c4008e8dcc97c0efe98ec3380f2f,54.36667101457715
ebsw_full_ess075,ess075,normalized,8,6398,50,2602.3585131441905,0.75,0.7500000000326936,1.1202947612025547,0.9208964208362969,0.5341119657186094,0.814149950599226,0.007453745031572088,0.003781348267293187,0.0027366636188052317,7673,caa9b0e3db8eaa697f19673d40619f7bb8c14f888909b20ce6081e50649e8357,57.6597701292485
ebsw_full_ess075,ess075,normalized,8,6398,100,2616.767763479761,0.75,0.7499999999583716,1.4901061081908558,0.8968092654392489,0.42857607820940263,0.7739989877973713,0.009132204467153533,0.003936765317822538,0.0027412191220174647,11448,ce329fd37045ede4a896c6d61020267461f81847ac44dc26f0627205426cbfc9,50.6479199975729
ebsw_full_ess075,ess075,normalized,8,6398,200,2909.6144943831805,0.75,0.7500000000723096,1.2413854822623427,0.9030515316801911,0.49007028166022715,0.805485374092089,0.007800305363642433,0.0037723501798053436,0.002744546632695307,26498,3d8f838d21d883eb538072f0bf843118586cb6e35b9b47e3532999009f5a7b04,43.77052187919617
ebsw_full_ess075,ess075,normalized,8,6398,300,3743.02157403233,0.75,0.7500000000196058,0.8725654857316876,0.9310757516572508,0.6087154618725217,0.849762433523525,0.006184194546494448,0.003587718674405243,0.0027433785308442135,51548,c81d7780a5938294ea547be4da46f64a45fbda379c105e1edc8392e77976f631,48.63597615621984
ebsw_full_ess075,ess075,normalized,8,6398,400,2478.051537623136,0.75,0.7500000000841972,1.7212706866392804,0.8986262800863299,0.3716815483689638,0.7335343588255608,0.010601507621508426,0.004136288027335333,0.0027562278424329806,86598,5caab922f616e19cccc18c579f9477540094e71d80032f8b17323ed9b12a069d,54.362512892112136
ebsw_full_ess075,ess075,normalized,8,6398,500,3711.634555967795,0.75,0.7500000000893068,0.937093359212329,0.9254171491882817,0.584428087652815,0.8411220628665285,0.006482125208273852,0.0036365955688916142,0.0027630770712767155,131648,bf2ff73605a966b3451e54aea708f41710ee1033d75d14d9023e54dbd17958b3,45.90596305206418
