phase,control,method,family,hierarchical,sigma,L,subject,seed,d,n_source,n_target,learning_rate,normalized_step_target,status,error,lew_initial,lew_final,diverged,nan_epoch,optimization_seconds,evaluation_seconds,aggregation_seconds
development,normalized_update,normalized_spdhsw_k40_l500,lognormal_spectral,True,0.0,500,2,6398,128,813,160,,3.866127438301626,ok,,92.15362001420192,85.26943817901162,False,,0.777714830590412,0.18780033267103136,0.040582248475402594
development,normalized_update,lns_spdhsw_k40_l500_s0p5,lognormal_spectral,True,0.5,500,2,6398,128,813,160,,3.866127438301626,ok,,92.15362001420192,85.81910778283549,False,,0.7836870404426008,0.17155456822365522,0.049859794322401285
development,normalized_update,lns_spdhsw_k40_l500_s1,lognormal_spectral,True,1.0,500,2,6398,128,813,160,,3.866127438301626,ok,,92.15362001420192,86.40883192833054,False,,0.7863267923239619,0.17145789158530533,0.048371873795986176
development,normalized_update,lns_spdhsw_k40_l500_s1p25,lognormal_spectral,True,1.25,500,2,6398,128,813,160,,3.866127438301626,ok,,92.15362001420192,86.73447896890472,False,,0.7863956750370562,0.1744763927999884,0.049388074316084385
development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,1.5,500,2,6398,128,813,160,,3.866127438301626,ok,,92.15362001420192,87.08987185376675,False,,0.7879740099888295,0.1716336621902883,0.05002473760396242
development,normalized_update,spdsw_l40,sw,False,0.0,40,2,6398,128,813,160,,3.866127438301626,ok,,92.15362001420192,85.27236056597064,False,,0.6504982232581824,0.1722518450114876,0.040260303998366
development,normalized_update,direct_lns_l40_s0p5,lognormal_spectral,False,0.5,40,2,6398,128,813,160,,3.866127438301626,ok,,92.15362001420192,86.20238310934567,False,,0.6581054464913905,0.1722159101627767,0.047730680322274566
development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,1.0,40,2,6398,128,813,160,,3.866127438301626,ok,,92.15362001420192,87.67586177264066,False,,0.6577008150052279,0.17350177094340324,0.047357591800391674
development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,1.25,40,2,6398,128,813,160,,3.866127438301626,ok,,92.15362001420192,88.37116601057872,False,,0.6575865317136049,0.1728753421921283,0.0473532653413713
development,normalized_update,direct_lns_l40_s1p5,lognormal_spectral,False,1.5,40,2,6398,128,813,160,,3.866127438301626,ok,,92.15362001420192,88.98467041005735,False,,0.6588504004757851,0.170745330164209,0.047313009621575475
development,normalized_update,spdsw_l500,sw,False,0.0,500,2,6398,128,813,160,,3.866127438301626,ok,,92.15362001420192,71.05236316919685,False,,3.5803592670708895,0.17006823094561696,0.04353500693105161
development,normalized_update,normalized_spdhsw_k40_l500,lognormal_spectral,True,0.0,500,3,6398,128,880,160,,3.866127438301626,ok,,71.12992527977076,65.51061218998171,False,,0.7921820615883917,0.18196648103184998,0.0407167081721127
development,normalized_update,lns_spdhsw_k40_l500_s0p5,lognormal_spectral,True,0.5,500,3,6398,128,880,160,,3.866127438301626,ok,,71.12992527977076,66.13261886038084,False,,0.8006053389981389,0.18225901410914958,0.04829163057729602
development,normalized_update,lns_spdhsw_k40_l500_s1,lognormal_spectral,True,1.0,500,3,6398,128,880,160,,3.866127438301626,ok,,71.12992527977076,66.6734137036617,False,,0.8033801624551415,0.1837596280965954,0.049619372468441725
development,normalized_update,lns_spdhsw_k40_l500_s1p25,lognormal_spectral,True,1.25,500,3,6398,128,880,160,,3.866127438301626,ok,,71.12992527977076,66.93321452301993,False,,0.800420003477484,0.18087397515773773,0.04874352505430579
development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,1.5,500,3,6398,128,880,160,,3.866127438301626,ok,,71.12992527977076,67.20494479691133,False,,0.7996475854888558,0.1806431843433529,0.048354050144553185
development,normalized_update,spdsw_l40,sw,False,0.0,40,3,6398,128,880,160,,3.866127438301626,ok,,71.12992527977076,65.5843157878164,False,,0.657686460763216,0.17970979935489595,0.03918365738354623
development,normalized_update,direct_lns_l40_s0p5,lognormal_spectral,False,0.5,40,3,6398,128,880,160,,3.866127438301626,ok,,71.12992527977076,66.43687357204213,False,,0.6664698175154626,0.18056946294382215,0.0470912700984627
development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,1.0,40,3,6398,128,880,160,,3.866127438301626,ok,,71.12992527977076,67.62975371645042,False,,0.6673991347197443,0.17927316715940833,0.04698513727635145
development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,1.25,40,3,6398,128,880,160,,3.866127438301626,ok,,71.12992527977076,68.18301680723879,False,,0.6685821041464806,0.18350624269805849,0.047665863297879696
development,normalized_update,direct_lns_l40_s1p5,lognormal_spectral,False,1.5,40,3,6398,128,880,160,,3.866127438301626,ok,,71.12992527977076,68.66215086975677,False,,0.6671872921288013,0.1817623490933329,0.047307636588811874
development,normalized_update,spdsw_l500,sw,False,0.0,500,3,6398,128,880,160,,3.866127438301626,ok,,71.12992527977076,54.869491624120265,False,,3.716178733855486,0.1763078540097922,0.041469739051535726
development,normalized_update,normalized_spdhsw_k40_l500,lognormal_spectral,True,0.0,500,4,6398,128,897,160,,3.866127438301626,ok,,89.9337188259475,84.29704150888598,False,,0.8081279178149998,0.1960369774606079,0.04150834190659225
development,normalized_update,lns_spdhsw_k40_l500_s0p5,lognormal_spectral,True,0.5,500,4,6398,128,897,160,,3.866127438301626,ok,,89.9337188259475,84.79927027600434,False,,0.8183874939568341,0.19600971834734082,0.04926092573441565
development,normalized_update,lns_spdhsw_k40_l500_s1,lognormal_spectral,True,1.0,500,4,6398,128,897,160,,3.866127438301626,ok,,89.9337188259475,85.30672714413508,False,,0.8153948755934834,0.1939381139818579,0.04848183481954038
development,normalized_update,lns_spdhsw_k40_l500_s1p25,lognormal_spectral,True,1.25,500,4,6398,128,897,160,,3.866127438301626,ok,,89.9337188259475,85.57241201997846,False,,0.81444834289141,0.1941364691592753,0.04812471219338477
development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,1.5,500,4,6398,128,897,160,,3.866127438301626,ok,,89.9337188259475,85.85483158856822,False,,0.8133531359490007,0.1933064351323992,0.048133689910173416
development,normalized_update,spdsw_l40,sw,False,0.0,40,4,6398,128,897,160,,3.866127438301626,ok,,89.9337188259475,84.49566441752961,False,,0.6711873484309763,0.19497822620905936,0.03921234281733632
development,normalized_update,direct_lns_l40_s0p5,lognormal_spectral,False,0.5,40,4,6398,128,897,160,,3.866127438301626,ok,,89.9337188259475,85.22016236420177,False,,0.6836757222190499,0.19364616926759481,0.04782560607418418
development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,1.0,40,4,6398,128,897,160,,3.866127438301626,ok,,89.9337188259475,86.39885578639883,False,,0.6809798143804073,0.19515644805505872,0.047097202157601714
development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,1.25,40,4,6398,128,897,160,,3.866127438301626,ok,,89.9337188259475,86.96792205442472,False,,0.6826750324107707,0.19494556775316596,0.04703925852663815
development,normalized_update,direct_lns_l40_s1p5,lognormal_spectral,False,1.5,40,4,6398,128,897,160,,3.866127438301626,ok,,89.9337188259475,87.46601260602229,False,,0.6809914640616626,0.1953392419964075,0.04701593494974077
development,normalized_update,spdsw_l500,sw,False,0.0,500,4,6398,128,897,160,,3.866127438301626,ok,,89.9337188259475,73.45651852568028,False,,3.751254260307178,0.19167265901342034,0.04338140459731221
