dataset,control,method,family,L,subject,seed,d,n_source,n_target,status,error,lew_initial,lew_final,diverged,optimization_seconds,evaluation_seconds,aggregation_seconds
Schirrmeister2017,normalized,spdsw_l40,sw,40,1,6398,128,320,160,ok,,99.47222961282488,95.54494158057034,False,0.8709203687030822,0.1888146554119885,0.086407475639109
Schirrmeister2017,normalized,ebsw_exp_default_b1,ebsw_exp,40,1,6398,128,320,160,ok,,99.47222961282488,95.5733263128654,False,0.9567427069414408,0.1892228503711521,0.12430313369256721
Schirrmeister2017,normalized,evar_k0p1,evar,40,1,6398,128,320,160,ok,,99.47222961282488,98.84811610000538,True,1.842860879842192,0.2026590884197503,0.9537527889478702
Schirrmeister2017,normalized,cvar_a0p5,cvar,40,1,6398,128,320,160,ok,,99.47222961282488,98.67479469465512,True,0.9662909859325736,0.1903590578585863,0.1630269628949227
Schirrmeister2017,normalized,sampled_max_l40,sampled_max,40,1,6398,128,320,160,ok,,99.47222961282488,127.40440452006476,True,0.9088084283284844,0.1930841878056526,0.06720025232059351
Schirrmeister2017,normalized,spdsw_l40,sw,40,1,3654,128,320,160,ok,,99.47222961282488,95.43584567773028,True,0.8790633713360876,0.190086419461295,0.0871044397353884
Schirrmeister2017,normalized,ebsw_exp_default_b1,ebsw_exp,40,1,3654,128,320,160,ok,,99.47222961282488,95.44694339661515,True,0.9584132102318108,0.1887273236643523,0.12403794471172089
Schirrmeister2017,normalized,evar_k0p1,evar,40,1,3654,128,320,160,ok,,99.47222961282488,98.95375603811044,True,1.7271168399602177,0.1906721093691885,0.8768851563799875
Schirrmeister2017,normalized,cvar_a0p5,cvar,40,1,3654,128,320,160,ok,,99.47222961282488,98.4167966116088,True,0.9618493979796768,0.1898181564174592,0.1619466608389962
Schirrmeister2017,normalized,sampled_max_l40,sampled_max,40,1,3654,128,320,160,ok,,99.47222961282488,127.80789669213596,True,0.9124011462554336,0.1936168561223894,0.0678430034313096
Schirrmeister2017,normalized,spdsw_l40,sw,40,1,1788,128,320,160,ok,,99.47222961282488,95.41675369238123,False,0.883357820333913,0.189272042363882,0.08762431726788561
Schirrmeister2017,normalized,ebsw_exp_default_b1,ebsw_exp,40,1,1788,128,320,160,ok,,99.47222961282488,95.42238636987108,False,0.959774402435869,0.1893653855659067,0.12411488569339091
Schirrmeister2017,normalized,evar_k0p1,evar,40,1,1788,128,320,160,ok,,99.47222961282488,99.02507840110418,True,1.7103984977584332,0.191249317722395,0.8717407861258595
Schirrmeister2017,normalized,cvar_a0p5,cvar,40,1,1788,128,320,160,ok,,99.47222961282488,98.76083901786636,True,0.9610804833937436,0.1892523718997836,0.16176244756204372
Schirrmeister2017,normalized,sampled_max_l40,sampled_max,40,1,1788,128,320,160,ok,,99.47222961282488,128.01758828550763,True,0.9113972035702318,0.1965641125570982,0.067498066695382
Schirrmeister2017,normalized,spdsw_l40,sw,40,7,6398,128,880,160,ok,,136.03759893329186,105.49386376365896,False,1.499970723874867,0.5498681832104921,0.09363809158091849
Schirrmeister2017,normalized,ebsw_exp_default_b1,ebsw_exp,40,7,6398,128,880,160,ok,,136.03759893329186,105.50109704280808,False,1.5841228542849422,0.5507120571564883,0.1311723226681107
Schirrmeister2017,normalized,evar_k0p1,evar,40,7,6398,128,880,160,ok,,136.03759893329186,110.85553992559517,False,2.3811596389859915,0.5463011104147881,0.8909493242390218
Schirrmeister2017,normalized,cvar_a0p5,cvar,40,7,6398,128,880,160,ok,,136.03759893329186,110.12736944772922,False,1.5839939592406154,0.5459912347141653,0.1707223439588894
Schirrmeister2017,normalized,sampled_max_l40,sampled_max,40,7,6398,128,880,160,ok,,136.03759893329186,140.38026616530576,True,1.5364060243591666,0.5611080743838102,0.07381425425407781
Schirrmeister2017,normalized,spdsw_l40,sw,40,7,3654,128,880,160,ok,,136.03759893329186,105.74696288040016,False,1.5318016996607184,0.5731588911730796,0.09544665017162851
Schirrmeister2017,normalized,ebsw_exp_default_b1,ebsw_exp,40,7,3654,128,880,160,ok,,136.03759893329186,105.73346277152174,False,1.5757713341154158,0.5470445840619504,0.1320845859590667
Schirrmeister2017,normalized,evar_k0p1,evar,40,7,3654,128,880,160,ok,,136.03759893329186,111.04018636324857,False,2.377284577814862,0.5469828364439309,0.8928147444966936
Schirrmeister2017,normalized,cvar_a0p5,cvar,40,7,3654,128,880,160,ok,,136.03759893329186,110.29703256250662,False,1.5767675379756838,0.5505765795242041,0.1727865769061938
Schirrmeister2017,normalized,sampled_max_l40,sampled_max,40,7,3654,128,880,160,ok,,136.03759893329186,140.57217787675472,True,1.5342406940180808,0.559295043349266,0.074434287846064
Schirrmeister2017,normalized,spdsw_l40,sw,40,7,1788,128,880,160,ok,,136.03759893329186,105.82606346491772,False,1.534834478283301,0.6313382927328348,0.10850676777770141
Schirrmeister2017,normalized,ebsw_exp_default_b1,ebsw_exp,40,7,1788,128,880,160,ok,,136.03759893329186,105.826889447938,False,1.613084855955094,0.573811954818666,0.1400353582575669
Schirrmeister2017,normalized,evar_k0p1,evar,40,7,1788,128,880,160,ok,,136.03759893329186,111.03483809342708,False,2.3740925290621817,0.5509974090382457,0.887049467302834
Schirrmeister2017,normalized,cvar_a0p5,cvar,40,7,1788,128,880,160,ok,,136.03759893329186,110.50420477669124,False,1.588895978173241,0.5537640319671482,0.1719507933594039
Schirrmeister2017,normalized,sampled_max_l40,sampled_max,40,7,1788,128,880,160,ok,,136.03759893329186,140.59332713518012,True,1.5313065573573112,0.5606172711122781,0.07275952072811659
Schirrmeister2017,normalized,spdsw_l40,sw,40,14,6398,128,880,160,ok,,490.2453968723957,333.6453010658313,False,1.5015206432435662,0.753021587850526,0.0928556874859833
Schirrmeister2017,normalized,ebsw_exp_default_b1,ebsw_exp,40,14,6398,128,880,160,ok,,490.2453968723957,335.0998162901672,False,1.5878157266415656,0.755966488737613,0.13036426133473783
Schirrmeister2017,normalized,evar_k0p1,evar,40,14,6398,128,880,160,ok,,490.2453968723957,353.5790683905354,False,2.374325474724173,0.7533795447088778,0.8907661407720049
Schirrmeister2017,normalized,cvar_a0p5,cvar,40,14,6398,128,880,160,ok,,490.2453968723957,345.793324597922,False,1.5885675519239155,0.7503571331035346,0.1704056258313105
