subject,relative_lew_auc_candidate,relative_lew_auc_spdsw,difference,control,method
1,194.5955321453927,0.9597419853600666,193.63579016003263,common_lr10000,evar_k0p1
7,0.8893890311695296,0.8799300556056405,0.009458975563889083,common_lr10000,evar_k0p1
14,0.8319187145608623,0.7369704163161038,0.09494829824475848,common_lr10000,evar_k0p1
