subject,relative_lew_auc_candidate,relative_lew_auc_spdsw,difference,control,method
1,47.91329868880606,0.9597419853600666,46.95355670344599,common_lr10000,cvar_a0p5
7,0.8840855811133644,0.8799300556056405,0.004155525507723912,common_lr10000,cvar_a0p5
14,0.8021072012559968,0.7369704163161038,0.06513678493989294,common_lr10000,cvar_a0p5
