dataset,control,method,family,L,subject,seed,d,n_source,n_target,status,error,lew_initial,lew_final,diverged,optimization_seconds,evaluation_seconds,aggregation_seconds
Schirrmeister2017,lr3000,spdsw_l40,sw,40,1,6398,128,320,160,ok,,99.47222961282488,89.4044037515609,False,0.8368402665946633,0.1916189617477357,0.0862078357022005
Schirrmeister2017,lr3000,ebsw_exp_default_b1,ebsw_exp,40,1,6398,128,320,160,ok,,99.47222961282488,89.39655915022117,False,0.9116503635887055,0.1922675087116658,0.1229258708189918
Schirrmeister2017,lr3000,evar_k0p1,evar,40,1,6398,128,320,160,ok,,99.47222961282488,90.05154216103054,False,1.7036061633843929,0.19284712895751,0.8725568302906805
Schirrmeister2017,lr3000,cvar_a0p5,cvar,40,1,6398,128,320,160,ok,,99.47222961282488,89.80075142653432,False,0.9510705936700106,0.1897598030045628,0.1600345002952715
Schirrmeister2017,lr3000,sampled_max_l40,sampled_max,40,1,6398,128,320,160,ok,,99.47222961282488,2.876286816893712e+45,True,0.9378494000993668,0.1890683528035879,0.07261180062775771
Schirrmeister2017,lr3000,spdsw_l40,sw,40,1,3654,128,320,160,ok,,99.47222961282488,89.46716372045263,False,0.8968766231555492,0.2042301492765545,0.09413859527555661
Schirrmeister2017,lr3000,ebsw_exp_default_b1,ebsw_exp,40,1,3654,128,320,160,ok,,99.47222961282488,89.4616849577744,False,0.9666615214664488,0.1980703098233789,0.1286906104068945
Schirrmeister2017,lr3000,evar_k0p1,evar,40,1,3654,128,320,160,ok,,99.47222961282488,90.09920166957332,False,1.7097538420930505,0.1921092770062387,0.8751460756174962
Schirrmeister2017,lr3000,cvar_a0p5,cvar,40,1,3654,128,320,160,ok,,99.47222961282488,89.91571676683346,False,0.9306075242348016,0.1919728640932589,0.16475683613677822
Schirrmeister2017,lr3000,sampled_max_l40,sampled_max,40,1,3654,128,320,160,ok,,99.47222961282488,1.838876263495316e+45,True,0.8624845605809242,0.1785560271237045,0.0683224096428352
Schirrmeister2017,lr3000,spdsw_l40,sw,40,1,1788,128,320,160,ok,,99.47222961282488,89.58155158396553,False,0.8388922433368862,0.1938055758364498,0.0875830359291028
Schirrmeister2017,lr3000,ebsw_exp_default_b1,ebsw_exp,40,1,1788,128,320,160,ok,,99.47222961282488,89.57248698009236,False,0.913126894272864,0.1957387328147888,0.12472624727522391
Schirrmeister2017,lr3000,evar_k0p1,evar,40,1,1788,128,320,160,ok,,99.47222961282488,90.1007983044134,False,1.7225440999027342,0.1916944864206016,0.8791246665641411
Schirrmeister2017,lr3000,cvar_a0p5,cvar,40,1,1788,128,320,160,ok,,99.47222961282488,89.9859100793441,False,0.9390496800187976,0.1916132208425551,0.16363565390927032
Schirrmeister2017,lr3000,sampled_max_l40,sampled_max,40,1,1788,128,320,160,ok,,99.47222961282488,8.001016845832588e+44,True,0.8764697744045407,0.1812343620695173,0.0679532373323789
Schirrmeister2017,lr3000,spdsw_l40,sw,40,7,6398,128,880,160,ok,,136.03759893329186,121.65965584203244,False,1.4475816797930747,0.5643644435331225,0.0943704936653127
Schirrmeister2017,lr3000,ebsw_exp_default_b1,ebsw_exp,40,7,6398,128,880,160,ok,,136.03759893329186,121.63108966617274,False,1.5466420308221132,0.5665281375404447,0.1326667005195972
Schirrmeister2017,lr3000,evar_k0p1,evar,40,7,6398,128,880,160,ok,,136.03759893329186,119.11567327297932,False,2.3473536495584995,0.5601204405538738,0.8970978336874141
Schirrmeister2017,lr3000,cvar_a0p5,cvar,40,7,6398,128,880,160,ok,,136.03759893329186,117.89042970164824,False,1.5566933769732714,0.5620021098293364,0.17478673066941441
Schirrmeister2017,lr3000,sampled_max_l40,sampled_max,40,7,6398,128,880,160,ok,,136.03759893329186,1355535.7368186978,True,1.4981990817468611,0.6093208407983184,0.0748464735224602
Schirrmeister2017,lr3000,spdsw_l40,sw,40,7,3654,128,880,160,ok,,136.03759893329186,121.64333671347616,False,1.470372712239623,0.5664737848564982,0.0948884643148385
Schirrmeister2017,lr3000,ebsw_exp_default_b1,ebsw_exp,40,7,3654,128,880,160,ok,,136.03759893329186,121.61368305252,False,1.574667606735602,0.6104710563085973,0.1453145395498479
Schirrmeister2017,lr3000,evar_k0p1,evar,40,7,3654,128,880,160,ok,,136.03759893329186,119.05637789019885,False,2.352479878347367,0.561143436934799,0.8980375963728624
Schirrmeister2017,lr3000,cvar_a0p5,cvar,40,7,3654,128,880,160,ok,,136.03759893329186,117.8459187327318,False,1.560671642422676,0.5708569602575153,0.1768530395347374
Schirrmeister2017,lr3000,sampled_max_l40,sampled_max,40,7,3654,128,880,160,ok,,136.03759893329186,1971258.4712361472,True,1.5116342001128942,0.6551120362710208,0.0791187591384843
Schirrmeister2017,lr3000,spdsw_l40,sw,40,7,1788,128,880,160,ok,,136.03759893329186,121.68061461347656,False,1.4617252110037953,0.5627113410737365,0.09366645314728181
Schirrmeister2017,lr3000,ebsw_exp_default_b1,ebsw_exp,40,7,1788,128,880,160,ok,,136.03759893329186,121.65215065934642,False,1.5348517866805196,0.5650830990634859,0.13037975737822438
Schirrmeister2017,lr3000,evar_k0p1,evar,40,7,1788,128,880,160,ok,,136.03759893329186,119.12790768148628,False,2.3369793670717627,0.5614748643711209,0.8905823209788403
Schirrmeister2017,lr3000,cvar_a0p5,cvar,40,7,1788,128,880,160,ok,,136.03759893329186,117.9355166129642,False,1.5428645657375455,0.5571623349096626,0.171698383754095
Schirrmeister2017,lr3000,sampled_max_l40,sampled_max,40,7,1788,128,880,160,ok,,136.03759893329186,1472266.4933837245,True,1.4987142668105662,0.6293831646908075,0.07393106305969271
Schirrmeister2017,lr3000,spdsw_l40,sw,40,14,6398,128,880,160,ok,,490.2453968723957,359.8638192360676,False,1.4604471707716584,0.7595679096411914,0.09333665785377251
Schirrmeister2017,lr3000,ebsw_exp_default_b1,ebsw_exp,40,14,6398,128,880,160,ok,,490.2453968723957,351.87643842404384,False,1.554395692888647,0.7831993643194437,0.1355616631917406
Schirrmeister2017,lr3000,evar_k0p1,evar,40,14,6398,128,880,160,ok,,490.2453968723957,333.4762424114631,False,2.3501061578281224,0.7408033737447113,0.8934370321221395
Schirrmeister2017,lr3000,cvar_a0p5,cvar,40,14,6398,128,880,160,ok,,490.2453968723957,326.826915250926,False,1.5495005713310093,0.7442153352312744,0.1731540816835811
Schirrmeister2017,lr3000,sampled_max_l40,sampled_max,40,14,6398,128,880,160,ok,,490.2453968723957,38710686.14124307,True,1.4926684086676687,0.7789911178406328,0.07398814987388899
Schirrmeister2017,lr3000,spdsw_l40,sw,40,14,3654,128,880,160,ok,,490.2453968723957,361.63122852531234,False,1.4394363993778825,0.7620434695854783,0.0928989155217749
Schirrmeister2017,lr3000,ebsw_exp_default_b1,ebsw_exp,40,14,3654,128,880,160,ok,,490.2453968723957,353.7178319328169,False,1.5392707567662,0.75613610772416,0.13079619081688348
Schirrmeister2017,lr3000,evar_k0p1,evar,40,14,3654,128,880,160,ok,,490.2453968723957,336.8858907794082,False,2.34721322869882,0.7433689862955362,0.891295264009362
Schirrmeister2017,lr3000,cvar_a0p5,cvar,40,14,3654,128,880,160,ok,,490.2453968723957,329.1474978228765,False,1.5473971124738457,0.7440444177482277,0.1707022199406975
Schirrmeister2017,lr3000,sampled_max_l40,sampled_max,40,14,3654,128,880,160,ok,,490.2453968723957,36153190.27818217,True,1.4889763633254915,0.774991694604978,0.0732633939478301
Schirrmeister2017,lr3000,spdsw_l40,sw,40,14,1788,128,880,160,ok,,490.2453968723957,361.21217992881066,False,1.459892136277631,0.7533587880898267,0.09340680064631
Schirrmeister2017,lr3000,ebsw_exp_default_b1,ebsw_exp,40,14,1788,128,880,160,ok,,490.2453968723957,353.37391428535443,False,1.543124308809638,0.7566533470526338,0.1304253791458668
Schirrmeister2017,lr3000,evar_k0p1,evar,40,14,1788,128,880,160,ok,,490.2453968723957,336.1947632147738,False,2.403904806589708,0.7803396773524582,0.9446623218245556
Schirrmeister2017,lr3000,cvar_a0p5,cvar,40,14,1788,128,880,160,ok,,490.2453968723957,327.909994184742,False,1.5217998018488288,0.7381841400638223,0.1675333804450681
Schirrmeister2017,lr3000,sampled_max_l40,sampled_max,40,14,1788,128,880,160,ok,,490.2453968723957,35396886.55839861,True,1.4692355734296143,0.7751030996441841,0.0716276529710494
