dataset,control,method,family,L,subject,seed,d,n_source,n_target,status,error,lew_initial,lew_final,diverged,optimization_seconds,evaluation_seconds,aggregation_seconds
Schirrmeister2017,common_lr10000,spdsw_l40,sw,40,1,6398,128,320,160,ok,,99.47222961282488,90.26394446863374,True,0.8415721254423261,0.2386564335320145,0.08664122154002381
Schirrmeister2017,common_lr10000,spdsw_l500,sw,500,1,6398,128,320,160,ok,,99.47222961282488,82.08856798448308,False,3.867110077757389,0.1884356050286442,0.105321390088623
Schirrmeister2017,common_lr10000,ebsw_exp_default_b1,ebsw_exp,40,1,6398,128,320,160,ok,,99.47222961282488,90.32406474991184,True,0.9511670186184348,0.1904981175903231,0.1554492167196913
Schirrmeister2017,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,1,6398,128,320,160,ok,,99.47222961282488,1.853324904200564e+288,True,0.9110973291099072,0.1496077985502779,0.1222988178487619
Schirrmeister2017,common_lr10000,evar_k0p1,evar,40,1,6398,128,320,160,ok,,99.47222961282488,209017.42762169492,True,1.692006214056164,0.2007697976659983,0.8781650676391778
Schirrmeister2017,common_lr10000,evar_k0p5,evar,40,1,6398,128,320,160,ok,,99.47222961282488,1.7989129305218535e+30,True,1.9328159161377696,0.2235219690483063,1.0428588895592579
Schirrmeister2017,common_lr10000,evar_k1p0,evar,40,1,6398,128,320,160,ok,,99.47222961282488,4.1083241348090114e+69,True,1.7898576615843922,0.1660359415691346,0.9580892366356903
Schirrmeister2017,common_lr10000,evar_k2p0,evar,40,1,6398,128,320,160,ok,,99.47222961282488,5.983518565893138e+140,True,1.8000734758097678,0.155608964851126,0.9727057395502668
Schirrmeister2017,common_lr10000,cvar_a0p5,cvar,40,1,6398,128,320,160,ok,,99.47222961282488,41940.32921887792,True,0.9221902338322252,0.1943932541180402,0.1573572123888623
Schirrmeister2017,common_lr10000,cvar_a0p2,cvar,40,1,6398,128,320,160,ok,,99.47222961282488,5.240106766856286e+29,True,0.9189842958003284,0.202632054220885,0.1577114930841825
