method,calibration,update,subject,seed,epoch,beta_t,LEW_before,LEW_after_full,LEW_after_stop,LEW_after_stop_normmatched,delta_LEW_full,delta_LEW_stop,delta_LEW_stop_normmatched,full_minus_stop_delta_LEW,full_minus_normmatched_delta_LEW,norm_ratio_full_over_stop,bank_seed,bank_hash,diagnostic_ms
ebsw_full_b1,b1,normalized,3,3654,0,1.0,10.198606317621376,9.818388279026074,9.824122932703407,9.818313183965094,-0.38021803859530223,-0.3744833849179692,-0.3802931336562825,-0.005734653677333057,7.509506098024588e-05,1.016763167547907,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,67.8018860053271
ebsw_full_b1,b1,normalized,3,3654,25,1.0,7.6606573655185075,7.649428103657369,7.649425051653598,7.649424857054958,-0.011229261861138262,-0.011232313864909749,-0.011232508463549173,3.052003771486511e-06,3.246602410911237e-06,1.0000841292026748,3979,fdba3dea77616db68f5fb87618194a6815c80962b90d11ecedf2ea613074d925,57.48662888072431
ebsw_full_b1,b1,normalized,3,3654,50,1.0,7.4207167400823035,7.406444042001322,7.406444051147947,7.406443690463259,-0.014272698080981527,-0.014272688934356736,-0.014273049619044187,-9.146624790901114e-09,3.515380626595288e-07,1.0000666329474677,4929,e59f94a7c28ecd419d8ca1fe92dd44d1e53b364a17464497afcdfbe7f1a0bedc,52.93470900505781
ebsw_full_b1,b1,normalized,3,3654,100,1.0,7.092248727555098,7.0729373190921585,7.072936379771074,7.072935830621185,-0.019311408462939106,-0.01931234778402402,-0.01931289693391225,9.393210849140132e-07,1.4884709731433077e-06,1.0000541882223215,8704,f4c4dc29b6eb31643100f764877edc34e3fe7ecf93ca92b978637a1c968f4b4f,77.06921105273068
ebsw_full_b1,b1,normalized,3,3654,200,1.0,6.589359057701014,6.587031300473075,6.587030917068606,6.587031256384315,-0.0023277572279383207,-0.0023281406324073828,-0.002327801316698519,3.8340446906204306e-07,4.408876019823538e-08,1.0000532193808673,23754,41efff7e05929b0e2c80f27f331db4e325200eb260538e8f1bf8b5c6ff972ee2,44.68030598945916
ebsw_full_b1,b1,normalized,3,3654,300,1.0,6.194029258541342,6.187558563987592,6.187559206787819,6.187559336175218,-0.006470694553749823,-0.006470051753522554,-0.006469922366123981,-6.428002272684807e-07,-7.72187625841525e-07,1.0000504645100148,48804,ece8a4f6e77cbd2cfdea406e2cc9c11af0c5537e7e54f292c33f6f992ad96b0e,51.443735137581825
ebsw_full_b1,b1,normalized,3,3654,400,1.0,5.840192793094107,5.833999102920623,5.833997797640669,5.83399792830348,-0.0061936901734842564,-0.006194995453437713,-0.006194864790626475,1.3052799534563064e-06,1.1746171422188922e-06,1.000043367556491,83854,4747fe3273036772a7aca8b7bdd418899a1f1b61fbb1ab57c2e1ee1b33a02f95,58.28635604120791
ebsw_full_b1,b1,normalized,3,3654,500,1.0,5.479818076021713,5.467915764144044,5.46791556601138,5.467915451660917,-0.011902311877669547,-0.0119025100103336,-0.011902624360796032,1.9813266405321883e-07,3.124831264855743e-07,1.000045178372919,128904,2fddedf17b5e9b6b3f5d82b67ed56ded0aceb914c1b4c4de07d861d627a44c2b,41.011247085407376
