sigma,subject,hierarchy_spectral_auc,hierarchy_uniform_auc,direct_spectral_auc,direct_uniform_auc,hierarchy_paired_difference,direct_paired_difference,interaction
0.5,2,0.964696857144485,0.9615491628800452,0.966917076002758,0.9615007845993974,0.0031476942644398376,0.00541629140336064,-0.0022685971389208026
0.5,3,0.9635070003189188,0.9588755049751656,0.9657397005101742,0.959239723116232,0.004631495343753178,0.006499977393942258,-0.0018684820501890798
0.5,4,0.9705678404258392,0.9677088008564724,0.9729357718504258,0.9687784621393272,0.002859039569366839,0.004157309711098622,-0.0012982701417317832
1.0,2,0.9680197022744924,0.9615491628800452,0.9752451297024736,0.9615007845993974,0.0064705393944471945,0.013744345103076205,-0.007273805708629011
1.0,3,0.9674472674851624,0.9588755049751656,0.9744972390010898,0.959239723116232,0.008571762509996805,0.015257515884857797,-0.006685753374860992
1.0,4,0.9734291192378222,0.9677088008564724,0.9797257555049996,0.9687784621393272,0.005720318381349787,0.010947293365672461,-0.005226974984322674
1.25,2,0.9698563699539604,0.9615491628800452,0.979131380503872,0.9615007845993974,0.00830720707391519,0.01763059590447469,-0.009323388830559498
1.25,3,0.9693381462421634,0.9588755049751656,0.978502403004133,0.959239723116232,0.010462641266997807,0.01926267988790109,-0.008800038620903283
1.25,4,0.9749338915976544,0.9677088008564724,0.9829750573266202,0.9687784621393272,0.00722509074118205,0.014196595187292993,-0.006971504446110943
1.5,2,0.97186584040678,0.9615491628800452,0.9825357457949389,0.9615007845993974,0.010316677526734819,0.02103496119554149,-0.010718283668806672
1.5,3,0.9713042988890211,0.9588755049751656,0.981954234992212,0.959239723116232,0.01242879391385554,0.02271451187598006,-0.010285717962124519
1.5,4,0.976555388002324,0.9677088008564724,0.9858500507843188,0.9687784621393272,0.008846587145851625,0.017071588644991587,-0.008225001499139961
