phase,control,method,family,hierarchical,sigma,L,subject,seed,lew_initial,lew_final,relative_lew_auc,gap_closure_100,gap_closure_500,diverged,nan_count,optimization_seconds,aggregation_seconds,median_ess,median_entropy
development,normalized_update,direct_lns_l40_s0p5,lognormal_spectral,False,0.5,40,2,6398,92.15362001420192,86.20238310934567,0.9669170760027579,6.457952388564976,,False,0,0.6581054464913905,0.04773068032226951,31.36493250799425,3.5653840079794463
development,normalized_update,direct_lns_l40_s0p5,lognormal_spectral,False,0.5,40,3,6398,71.12992527977076,66.43687357204213,0.9657397005101742,6.597858340592585,,False,0,0.6664698175154626,0.04709127009845739,31.36493250799425,3.5653840079794463
development,normalized_update,direct_lns_l40_s0p5,lognormal_spectral,False,0.5,40,4,6398,89.9337188259475,85.22016236420177,0.9729357718504258,5.241144837864504,,False,0,0.6836757222190499,0.0478256060741791,31.36493250799425,3.5653840079794463
development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,1.0,40,2,6398,92.15362001420192,87.67586177264066,0.9752451297024735,4.859015023903768,,False,0,0.6577008150052279,0.04735759180038691,16.341855285373075,3.204016595145241
development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,1.0,40,3,6398,71.12992527977076,67.62975371645042,0.9744972390010898,4.9208143401716455,,False,0,0.6673991347197443,0.04698513727634631,16.341855285373075,3.204016595145241
development,normalized_update,direct_lns_l40_s1,lognormal_spectral,False,1.0,40,4,6398,89.9337188259475,86.39885578639883,0.9797257555049996,3.930520260581948,,False,0,0.6809798143804073,0.0470972021575971,16.341855285373075,3.204016595145241
development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,1.25,40,2,6398,92.15362001420192,88.37116601057872,0.979131380503872,4.104509408355615,,False,0,0.6575865317136049,0.04735326534136669,10.872285063417625,2.9440308921047103
development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,1.25,40,3,6398,71.12992527977076,68.18301680723879,0.978502403004133,4.142993910004949,,False,0,0.6685821041464806,0.0476658632978742,10.872285063417625,2.9440308921047103
development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,1.25,40,4,6398,89.9337188259475,86.96792205442472,0.9829750573266202,3.297758405012259,,False,0,0.6826750324107707,0.0470392585266332,10.872285063417625,2.9440308921047103
development,normalized_update,direct_lns_l40_s1p5,lognormal_spectral,False,1.5,40,2,6398,92.15362001420192,88.98467041005735,0.9825357457949389,3.438768443015262,,False,0,0.6588504004757851,0.04731300962157009,7.183782036030212,2.641596138899872
