method,calibration,update,subject,seed,epoch,beta_t,target_rho,ess_over_N,response_ratio,cosine_full_stop,cosine_full_vs_sw,cosine_stop_vs_sw,full_gradient_norm,stop_gradient_norm,sw_gradient_norm,bank_seed,bank_hash,diagnostic_ms
ebsw_full_b1,b1,raw_rooted,8,1788,0,1.0,,0.9998269204383631,0.022647334852364923,0.9999043225073209,0.9996191687039456,0.9999052320715387,0.004788112003264317,0.004704206350748623,0.0046612742745148475,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,69.22321603633463
ebsw_full_b1,b1,raw_rooted,8,1788,25,1.0,,0.9999999780846208,0.00018538897999556368,0.9999999854845659,0.999999941938383,0.9999999854846253,0.0027387827060574134,0.0027385826566682548,0.002738482025953907,2113,5df2e1802a297f5230b57ec5628c652c3a4d34270d9454b63beb6f4248ad2060,63.407134963199496
ebsw_full_b1,b1,raw_rooted,8,1788,50,1.0,,0.9999999798695288,0.00019810336112677698,0.9999999830159811,0.9999999320714388,0.9999999830197376,0.0027355756056685232,0.002735376948043929,0.002735275514089265,3063,0072e7e6e518d75fb9fe53f0bd6a9fb8f0b1cadbbe76e1f45b3a34e62c0632ed,47.38154192455113
ebsw_full_b1,b1,raw_rooted,8,1788,100,1.0,,0.9999999859039469,0.00014647245705069523,0.9999999908428169,0.9999999633721058,0.9999999908432361,0.002737989729890976,0.0027378363429164734,0.0027377581247986175,6838,e6855f361350fa477f6ac3b1e57e6a3fa84b70533c217669d08452241da95361,53.01864095963538
ebsw_full_b1,b1,raw_rooted,8,1788,200,1.0,,0.9999999885407014,0.00013028223879309718,0.9999999926826169,0.9999999707307397,0.9999999926827529,0.0027385363280327314,0.0027384039186953237,0.002738336279848766,21888,0464f2c2ee4e5555c04dbc1130dc2aff0e36ad7b218200ee1fab11a130ecfddc,56.54440703801811
ebsw_full_b1,b1,raw_rooted,8,1788,300,1.0,,0.9999999891161087,0.00013123604412180407,0.9999999924834777,0.9999999699348322,0.9999999924839384,0.0027294424872865656,0.0027293147871082024,0.002729250121121203,46938,4f466c72e19b902d2fe8eb21bd838b6a22278efdfefbeb662b9545d45653c740,45.05601688288152
ebsw_full_b1,b1,raw_rooted,8,1788,400,1.0,,0.9999999901138784,0.00011730338304138565,0.999999994061781,0.9999999762469282,0.9999999940616832,0.0027407182062219836,0.0027405992777863788,0.0027405392457158337,81988,1abdefbaee6ef8fed2ee44ec3938e77a7d8e930a7000037f5df5226ad7ba1e97,51.65334604680538
ebsw_full_b1,b1,raw_rooted,8,1788,500,1.0,,0.9999999907264148,0.00011576643156702448,0.9999999942231539,0.9999999768924761,0.9999999942230843,0.002710628251678848,0.002710511741366165,0.002710452524039264,127038,4b256f4b903147f9a73a25d128798c6b57eb09dcead0db5a72276572741e6836,54.95624500326812
