method,calibration,update,subject,seed,epoch,beta_t,LEW_before,LEW_after_full,LEW_after_stop,LEW_after_stop_normmatched,delta_LEW_full,delta_LEW_stop,delta_LEW_stop_normmatched,full_minus_stop_delta_LEW,full_minus_normmatched_delta_LEW,norm_ratio_full_over_stop,bank_seed,bank_hash,diagnostic_ms
ebsw_full_b1,b1,raw_rooted,3,6398,0,1.0,10.198606317621376,9.81951094163366,9.82540262716536,9.819767335984368,-0.3790953759877169,-0.3732036904560161,-0.37883898163700813,-0.00589168553170083,-0.00025639435070878847,1.0164196680023578,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,62.47875187546015
ebsw_full_b1,b1,raw_rooted,3,6398,25,1.0,7.714042288272418,7.706306064942903,7.706302935795582,7.7063031086212606,-0.007736223329514402,-0.007739352476835215,-0.007739179651157002,3.1291473208128195e-06,2.956321642599846e-06,1.000111400896061,6723,a6a2b278d97fda7809fb6952fddfd02497b0c4008e8dcc97c0efe98ec3380f2f,43.50531194359064
ebsw_full_b1,b1,raw_rooted,3,6398,50,1.0,7.489649101293741,7.484081567778243,7.484081461086066,7.484081691670643,-0.005567533515498546,-0.005567640207675417,-0.005567409623098207,1.0669217687109267e-07,-1.2389240033883198e-07,1.0000626606841743,7673,caa9b0e3db8eaa697f19673d40619f7bb8c14f888909b20ce6081e50649e8357,59.58447908051312
ebsw_full_b1,b1,raw_rooted,3,6398,100,1.0,7.209975236563014,7.214719174361945,7.2147189741297995,7.214719803506528,0.004743937798931341,0.004743737566785811,0.004744566943513995,2.002321455307765e-07,-6.291445826533959e-07,1.0000603213739383,11448,ce329fd37045ede4a896c6d61020267461f81847ac44dc26f0627205426cbfc9,44.074558187276125
ebsw_full_b1,b1,raw_rooted,3,6398,200,1.0,6.843738104061364,6.835789233292697,6.835789136622055,6.835789190350212,-0.007948870768666794,-0.007948967439308952,-0.007948913711151917,9.667064215790333e-08,4.294248512337617e-08,1.0000622528383012,26498,3d8f838d21d883eb538072f0bf843118586cb6e35b9b47e3532999009f5a7b04,52.202442893758416
ebsw_full_b1,b1,raw_rooted,3,6398,300,1.0,6.518043264678487,6.515179058831288,6.515179022888285,6.515179343049211,-0.0028642058471985976,-0.002864241790201838,-0.002863921629275623,3.594300324039068e-08,-2.8421792297450565e-07,1.0000539328740223,51548,c81d7780a5938294ea547be4da46f64a45fbda379c105e1edc8392e77976f631,49.71941886469722
ebsw_full_b1,b1,raw_rooted,3,6398,400,1.0,6.1676296464093445,6.1658896078164425,6.165890035431597,6.165890358904597,-0.00174003859290206,-0.001739610977747219,-0.0017392875047477219,-4.276151548410212e-07,-7.510881543382197e-07,1.0000463268765298,86598,5caab922f616e19cccc18c579f9477540094e71d80032f8b17323ed9b12a069d,44.43708690814674
ebsw_full_b1,b1,raw_rooted,3,6398,500,1.0,5.822148037073498,5.82026346983104,5.820263627951955,5.820263973355173,-0.001884567242458779,-0.0018844091215433068,-0.0018840637183252795,-1.5812091547218188e-07,-5.035241334994112e-07,1.00004610481473,131648,bf2ff73605a966b3451e54aea708f41710ee1033d75d14d9023e54dbd17958b3,47.173366881906986
