method,seed,control,learning_rate,target_step_norm,epoch,eval_independent_sw,train_power_loss,gradient_norm,update_norm,seconds_cum,diverged
sw,6398,lr_grid,0.01,,0,2.7664906210783244,7.6132430482085205,0.686692605761752,0.00686692605761752,0.001112647820264101,False
sw,6398,lr_grid,0.01,,10,2.758217235578437,8.187482600779253,0.7420851761533521,0.007420851761533521,0.010774372844025493,False
sw,6398,lr_grid,0.01,,20,2.749560836250123,7.184696832934453,0.654104972291376,0.00654104972291376,0.02032618992961943,False
sw,6398,lr_grid,0.01,,30,2.7413691363733683,7.202325582062031,0.6553099682845633,0.006553099682845633,0.029922235757112503,False
sw,6398,lr_grid,0.01,,40,2.732926939782009,7.713800656547795,0.70474838708639,0.0070474838708639,0.03947692387737334,False
sw,6398,lr_grid,0.01,,50,2.7243861547951633,6.534197176188818,0.603031285013318,0.0060303128501331795,0.04901328543201089,False
sw,6398,lr_grid,0.01,,60,2.7159186812372726,7.43722136953821,0.683039452455128,0.00683039452455128,0.05857851612381637,False
sw,6398,lr_grid,0.01,,70,2.707415643975461,7.194457347653984,0.6633917082304484,0.006633917082304484,0.06806593132205307,False
sw,6398,lr_grid,0.01,,80,2.6986858126723305,7.50012304483422,0.6950472128857756,0.006950472128857757,0.07767319236882031,False
sw,6398,lr_grid,0.01,,90,2.690281246248713,6.867040136794321,0.639870917005227,0.006398709170052271,0.08740698196925223,False
sw,6398,lr_grid,0.01,,100,2.682008898111385,,,,0.09592925710603595,False
sw,6398,lr_grid,0.03,,0,2.7664906210783244,7.6132430482085205,0.686692605761752,0.02060077817285256,0.001075961859896779,False
sw,6398,lr_grid,0.03,,10,2.741738586699832,8.090106198150641,0.7376398193241958,0.02212919457972587,0.010685923509299755,False
sw,6398,lr_grid,0.03,,20,2.7160002985065996,7.010626247635087,0.6460822772832745,0.01938246831849823,0.02016182104125619,False
sw,6398,lr_grid,0.03,,30,2.69179531190062,6.944376780164785,0.6433798321996371,0.019301394965989115,0.02969095786102116,False
sw,6398,lr_grid,0.03,,40,2.6670030768134247,7.346205144512367,0.6876273967051973,0.02062882190115592,0.039287094958126545,False
sw,6398,lr_grid,0.03,,50,2.6420793267679605,6.146317305467112,0.5847571757586298,0.017542715272758896,0.04884759383276105,False
sw,6398,lr_grid,0.03,,60,2.6175254744192697,6.908483922336061,0.6581236268231377,0.01974370880469413,0.0584425488486886,False
sw,6398,lr_grid,0.03,,70,2.5930246753113066,6.5993411390619166,0.6351431072424235,0.019054293217272703,0.06795514305122197,False
sw,6398,lr_grid,0.03,,80,2.5680329725672824,6.791557110229599,0.6611765239832946,0.01983529571949884,0.07747342344373465,False
sw,6398,lr_grid,0.03,,90,2.5441265770864594,6.141595013282978,0.604878614241764,0.01814635842725292,0.08700870652683079,False
sw,6398,lr_grid,0.03,,100,2.5207445827841517,,,,0.09546137554571033,False
sw,6398,lr_grid,0.1,,0,2.7664906210783244,7.6132430482085205,0.686692605761752,0.06866926057617521,0.001111611956730485,False
sw,6398,lr_grid,0.1,,10,2.684773004302732,7.757962929772662,0.722253392996873,0.07222533929968729,0.010694422060623765,False
sw,6398,lr_grid,0.1,,20,2.6016205113172663,6.433396281769399,0.618714577908668,0.0618714577908668,0.020257621770724654,False
sw,6398,lr_grid,0.1,,30,2.525117417790793,6.111625165767968,0.6032396695230813,0.060323966952308135,0.029752881731837988,False
sw,6398,lr_grid,0.1,,40,2.448427522103276,6.19157892142889,0.6308914607063253,0.06308914607063254,0.03953795973211527,False
sw,6398,lr_grid,0.1,,50,2.3730223257104153,4.961156838509519,0.5249597566307235,0.052495975663072354,0.049052172573283315,False
sw,6398,lr_grid,0.1,,60,2.3003664487403523,5.336867888707122,0.5777966458735315,0.05777966458735315,0.05857556941919029,False
sw,6398,lr_grid,0.1,,70,2.229464004507405,4.878527347571837,0.5453602298518191,0.05453602298518191,0.06807388365268707,False
sw,6398,lr_grid,0.1,,80,2.158767487212268,4.79955725612584,0.5549507795660787,0.05549507795660788,0.07753494218923151,False
sw,6398,lr_grid,0.1,,90,2.092654751772497,4.156265703944907,0.4967613282488589,0.04967613282488589,0.08693145029246807,False
sw,6398,lr_grid,0.1,,100,2.0294068692320604,,,,0.09539781813509762,False
sw,6398,normalized,,0.021952907087918014,0,2.7664906210783244,7.6132430482085205,0.686692605761752,0.021952907087918014,0.0011026100255548954,False
sw,6398,normalized,,0.021952907087918014,10,2.739234940520078,8.075353885034245,0.7369605970947055,0.021952907087918014,0.010805797763168812,False
sw,6398,normalized,,0.021952907087918014,20,2.71195310012099,6.98977151017438,0.6451106975805205,0.021952907087918014,0.02045137668028474,False
sw,6398,normalized,,0.021952907087918014,30,2.684650072747941,6.907586361881791,0.6416603720323596,0.02195290708791801,0.03004017099738121,False
sw,6398,normalized,,0.021952907087918014,40,2.6573109551586844,7.2929363580113735,0.685127022187784,0.021952907087918014,0.03974891803227365,False
sw,6398,normalized,,0.021952907087918014,50,2.6299699962001646,6.090189342891465,0.5820527526593485,0.021952907087918017,0.049356529489159584,False
sw,6398,normalized,,0.021952907087918014,60,2.6026505781882645,6.83024723389633,0.6543646128266072,0.021952907087918014,0.05892546731047332,False
sw,6398,normalized,,0.021952907087918014,70,2.575319469902472,6.5095428949668985,0.6307760324021348,0.021952907087918014,0.06854407233186066,False
sw,6398,normalized,,0.021952907087918014,80,2.5479721628209107,6.685896721717995,0.6559631307846377,0.021952907087918014,0.07813452975824475,False
sw,6398,normalized,,0.021952907087918014,90,2.520678620457425,6.028962353964671,0.5992595482805793,0.021952907087918014,0.08783331350423396,False
sw,6398,normalized,,0.021952907087918014,100,2.4934204332595513,,,,0.09632819751277566,False
ebsw_exp,6398,lr_grid,0.003,,0,2.7664906210783244,14.674564809827366,1.371249514619529,0.004113748543858587,0.0012359998654574156,False
ebsw_exp,6398,lr_grid,0.003,,10,2.7614008355875708,14.654398760514455,1.367559154032247,0.004102677462096741,0.011466128984466195,False
ebsw_exp,6398,lr_grid,0.003,,20,2.756338515736791,14.51791875906621,1.3601869461390146,0.004080560838417044,0.021779612405225635,False
ebsw_exp,6398,lr_grid,0.003,,30,2.7512816791218597,14.431403159562217,1.3581094426371711,0.004074328327911513,0.03191368957050145,False
ebsw_exp,6398,lr_grid,0.003,,40,2.7462334020505987,14.498318802704993,1.3609734455135867,0.004082920336540761,0.04210067563690245,False
ebsw_exp,6398,lr_grid,0.003,,50,2.7411911403569262,14.424939408365596,1.3528105655034877,0.0040584316965104625,0.052228894317522645,False
ebsw_exp,6398,lr_grid,0.003,,60,2.736153199277984,14.330479844399036,1.3471581127865457,0.004041474338359637,0.06241982546634972,False
ebsw_exp,6398,lr_grid,0.003,,70,2.731123841623943,14.291608037753683,1.3520685984084584,0.004056205795225375,0.07245949399657547,False
ebsw_exp,6398,lr_grid,0.003,,80,2.726109607352382,14.282113810688312,1.3479285637076643,0.004043785691122993,0.08250751416198909,False
ebsw_exp,6398,lr_grid,0.003,,90,2.7211084795470346,14.227378972453394,1.3484199935589096,0.004045259980676729,0.09267493896186352,False
ebsw_exp,6398,lr_grid,0.003,,100,2.716124659345044,,,,0.10167947434820235,False
ebsw_exp,6398,lr_grid,0.01,,0,2.7664906210783244,14.674564809827366,1.371249514619529,0.01371249514619529,0.0011388449929654598,False
ebsw_exp,6398,lr_grid,0.01,,10,2.7495587481472983,14.524233193271154,1.361645743894604,0.01361645743894604,0.011353901820257306,False
ebsw_exp,6398,lr_grid,0.01,,20,2.732793446584662,14.261286386538666,1.3482449740110616,0.013482449740110614,0.021598440827801824,False
ebsw_exp,6398,lr_grid,0.01,,30,2.716120148947077,14.049334136029724,1.3404729916920506,0.013404729916920507,0.03174963314086199,False
ebsw_exp,6398,lr_grid,0.01,,40,2.699548703408024,13.991450578756151,1.3382001020141645,0.013382001020141645,0.04216072685085237,False
ebsw_exp,6398,lr_grid,0.01,,50,2.683070801028343,13.798596437398604,1.3238048978208419,0.01323804897820842,0.05228475155308843,False
ebsw_exp,6398,lr_grid,0.01,,60,2.6666815881718016,13.58638450109517,1.3127342423936876,0.013127342423936875,0.06239853426814079,False
ebsw_exp,6398,lr_grid,0.01,,70,2.6503901624712336,13.426974710924348,1.3118087165625794,0.013118087165625793,0.07251095771789551,False
ebsw_exp,6398,lr_grid,0.01,,80,2.634226187569147,13.30101717877904,1.3020057867712131,0.013020057867712131,0.08259621798060834,False
ebsw_exp,6398,lr_grid,0.01,,90,2.618172882399636,13.129876316529511,1.2977103968172614,0.012977103968172614,0.09280297043733299,False
ebsw_exp,6398,lr_grid,0.01,,100,2.602249889622838,,,,0.10198547528125346,False
ebsw_exp,6398,lr_grid,0.03,,0,2.7664906210783244,14.674564809827366,1.371249514619529,0.04113748543858587,0.0011777079198509455,False
ebsw_exp,6398,lr_grid,0.03,,10,2.715985892398641,14.158207468059556,1.344879193024242,0.040346375790727265,0.011347760446369648,False
ebsw_exp,6398,lr_grid,0.03,,20,2.6666145457008255,13.551886842686713,1.3146642702503333,0.03943992810750999,0.021482249489054084,False
ebsw_exp,6398,lr_grid,0.03,,30,2.6181315633702216,13.010409290885539,1.2912665361754878,0.038737996085264625,0.03157856501638889,False
ebsw_exp,6398,lr_grid,0.03,,40,2.5705496487898554,12.634456700314555,1.2752727497835254,0.038258182493505766,0.04170149308629334,False
ebsw_exp,6398,lr_grid,0.03,,50,2.5238425466105014,12.150743251695461,1.244095422208115,0.03732286266624345,0.05168536491692066,False
ebsw_exp,6398,lr_grid,0.03,,60,2.477987491989266,11.660467792097112,1.2195868525572757,0.036587605576718266,0.06179547403007746,False
ebsw_exp,6398,lr_grid,0.03,,70,2.4329556838435855,11.226342683123871,1.2031434095539597,0.03609430228661879,0.07199188135564327,False
ebsw_exp,6398,lr_grid,0.03,,80,2.3889009568015847,10.84460030159572,1.1789876578845424,0.03536962973653627,0.08220984600484371,False
ebsw_exp,6398,lr_grid,0.03,,90,2.345673734093004,10.422516103638024,1.163810736469886,0.03491432209409657,0.09234891086816788,False
ebsw_exp,6398,lr_grid,0.03,,100,2.303361860667414,,,,0.1013808490242809,False
ebsw_exp,6398,normalized,,0.021952907087918014,0,2.7664906210783244,14.674564809827366,1.371249514619529,0.021952907087918014,0.0012009290512651205,False
ebsw_exp,6398,normalized,,0.021952907087918014,10,2.739257053944249,14.411447448609826,1.3564946870020123,0.021952907087918017,0.01140313851647079,False
ebsw_exp,6398,normalized,,0.021952907087918014,20,2.712011613554622,14.03662367463766,1.3376996813116275,0.02195290708791801,0.02181441430002451,False
ebsw_exp,6398,normalized,,0.021952907087918014,30,2.684779624713965,13.712906004515691,1.3247413636827596,0.021952907087918017,0.03203928121365607,False
ebsw_exp,6398,normalized,,0.021952907087918014,40,2.657558886204391,13.542723507676635,1.3177085859718298,0.021952907087918014,0.04229611833579838,False
ebsw_exp,6398,normalized,,0.021952907087918014,50,2.6303466496901193,13.241886206307505,1.297451576073688,0.021952907087918014,0.052578329807147384,False
ebsw_exp,6398,normalized,,0.021952907087918014,60,2.6031355710383886,12.922305565857663,1.281283814940362,0.021952907087918014,0.06267949286848307,False
ebsw_exp,6398,normalized,,0.021952907087918014,70,2.5759314126402946,12.652360540403096,1.2746196725141252,0.021952907087918017,0.07289829174987972,False
ebsw_exp,6398,normalized,,0.021952907087918014,80,2.5487305678171364,12.417987894623824,1.259214703047455,0.021952907087918014,0.0830957053694874,False
ebsw_exp,6398,normalized,,0.021952907087918014,90,2.521539186777256,12.13693001789525,1.2501973392140253,0.021952907087918017,0.09336409159004688,False
ebsw_exp,6398,normalized,,0.021952907087918014,100,2.494362893736743,,,,0.10247768997214735,False
evar,6398,lr_grid,0.01,,0,2.7664906210783244,12.41171777530451,1.1277804464573853,0.011277804464573854,0.002945538144558668,False
evar,6398,lr_grid,0.01,,10,2.7526897549245803,12.688485468327341,1.160237760615355,0.011602377606153551,0.03022348158992827,False
evar,6398,lr_grid,0.01,,20,2.738580638103099,11.970136350994192,1.0994862473893148,0.010994862473893148,0.05748581327497959,False
evar,6398,lr_grid,0.01,,30,2.7249513887587193,11.662525531060735,1.0749510205131148,0.010749510205131148,0.08473129267804325,False
evar,6398,lr_grid,0.01,,40,2.7111409645250477,11.870452439715105,1.1002816145596965,0.011002816145596965,0.1117432452738285,False
evar,6398,lr_grid,0.01,,50,2.6972988547348216,11.261887259318481,1.0549082640199712,0.01054908264019971,0.13894244912080467,False
evar,6398,lr_grid,0.01,,60,2.683598563570716,11.580381684384456,1.0849991022787846,0.010849991022787848,0.16585889388807118,False
evar,6398,lr_grid,0.01,,70,2.6699399578900653,11.557996860015994,1.0877611280653017,0.010877611280653015,0.19328504032455385,False
evar,6398,lr_grid,0.01,,80,2.6560329268427108,11.54710453034063,1.0927831611556598,0.0109278316115566,0.22081075771711767,False
evar,6398,lr_grid,0.01,,90,2.642490355886268,10.994909898789734,1.0463290278110262,0.010463290278110264,0.24751849402673542,False
evar,6398,lr_grid,0.01,,100,2.6291342861492786,,,,0.2733636179473251,False
evar,6398,lr_grid,0.03,,0,2.7664906210783244,12.41171777530451,1.1277804464573853,0.03383341339372156,0.0029395869933068752,False
evar,6398,lr_grid,0.03,,10,2.7252788854314383,12.434974685035922,1.1485432098491195,0.03445629629547359,0.029795631766319275,False
evar,6398,lr_grid,0.03,,20,2.683583462276292,11.48993823160279,1.077059115808752,0.032311773474262555,0.056904860539361835,False
evar,6398,lr_grid,0.03,,30,2.6437238006613253,10.972288079459638,1.0424412878757525,0.03127323863627258,0.08405799698084593,False
evar,6398,lr_grid,0.03,,40,2.6037510239601547,10.94111715443733,1.0560450073221526,0.03168135021966457,0.11159687279723585,False
evar,6398,lr_grid,0.03,,50,2.56410526153196,10.168041257026669,1.0020750975661474,0.03006225292698442,0.13836122187785804,False
evar,6398,lr_grid,0.03,,60,2.5252767551945645,10.243081780897661,1.0200125214488078,0.030600375643464232,0.16606197343207896,False
evar,6398,lr_grid,0.03,,70,2.486970954574395,10.014902988390295,1.0120816904979482,0.030362450714938448,0.1932689812965691,False
evar,6398,lr_grid,0.03,,80,2.448384422856087,9.79652444434981,1.0060240007552161,0.030180720022656482,0.2199494948145002,False
evar,6398,lr_grid,0.03,,90,2.411206232880634,9.138350552315586,0.9532812983392379,0.02859843895017714,0.24725308385677636,False
evar,6398,lr_grid,0.03,,100,2.374923915739643,,,,0.27176369656808674,False
evar,6398,lr_grid,0.1,,0,2.7664906210783244,12.41171777530451,1.1277804464573853,0.11277804464573854,0.0029690649826079607,False
evar,6398,lr_grid,0.1,,10,2.631318443100307,11.585252682605718,1.108395678021357,0.11083956780213572,0.03092478821054101,False
evar,6398,lr_grid,0.1,,20,2.499474849020612,9.953484072886479,1.001935600269721,0.1001935600269721,0.05754019087180495,False
evar,6398,lr_grid,0.1,,30,2.377971550477914,8.86021600496099,0.9360340436830558,0.09360340436830558,0.08556394232437015,False
evar,6398,lr_grid,0.1,,40,2.2604851287858376,8.222805228251264,0.9145710298604581,0.0914571029860458,0.11316158925183117,False
evar,6398,lr_grid,0.1,,50,2.148194314333522,7.10976063011563,0.8366470666258482,0.08366470666258484,0.14019624213688076,False
evar,6398,lr_grid,0.1,,60,2.0422294885937555,6.666298899157123,0.8213649938313643,0.08213649938313643,0.16712202224880457,False
evar,6398,lr_grid,0.1,,70,1.9414905377228362,6.065683181454495,0.785933964594808,0.07859339645948081,0.1946335614193231,False
evar,6398,lr_grid,0.1,,80,1.8437990959431918,5.512348511281054,0.7527166267484222,0.07527166267484221,0.22179799247533083,False
evar,6398,lr_grid,0.1,,90,1.753154145095907,4.787603964332419,0.6878350360491724,0.06878350360491724,0.24938021670095623,False
evar,6398,lr_grid,0.1,,100,1.6679400061674825,,,,0.27401448180899024,False
evar,6398,normalized,,0.021952907087918014,0,2.7664906210783244,12.41171777530451,1.1277804464573853,0.021952907087918014,0.0029859570786356926,False
evar,6398,normalized,,0.021952907087918014,10,2.7391755473935557,12.563186571873159,1.1544799187950905,0.021952907087918014,0.030370042426511645,False
evar,6398,normalized,,0.021952907087918014,20,2.711872734679823,11.735732918933023,1.0885942999765785,0.021952907087918017,0.05737887555733323,False
evar,6398,normalized,,0.021952907087918014,30,2.6845554798837736,11.316647788885705,1.0587883238405749,0.021952907087918014,0.08403748064301908,False
evar,6398,normalized,,0.021952907087918014,40,2.657232015112094,11.399235058596638,1.0780775462316834,0.021952907087918017,0.11089707468636334,False
evar,6398,normalized,,0.021952907087918014,50,2.629917425620377,10.701624090671586,1.0282018635704901,0.021952907087918014,0.13824320025742054,False
evar,6398,normalized,,0.021952907087918014,60,2.6026296069104626,10.886301281202794,1.0517610189670654,0.021952907087918014,0.16548915393650532,False
evar,6398,normalized,,0.021952907087918014,70,2.5753260531249844,10.746384234253876,1.0486493052189068,0.021952907087918017,0.1928266368340701,False
evar,6398,normalized,,0.021952907087918014,80,2.5480199994050965,10.618718620209494,1.0476728276300893,0.021952907087918017,0.2198073856998235,False
evar,6398,normalized,,0.021952907087918014,90,2.5207229974330727,9.996263850594836,0.997367414995063,0.021952907087918014,0.24762431369163096,False
evar,6398,normalized,,0.021952907087918014,100,2.493448041816912,,,,0.2720469874329865,False
cvar,6398,lr_grid,0.01,,0,2.7664906210783244,14.380181805798456,1.313741744591847,0.013137417445918469,0.0012010389473289251,False
cvar,6398,lr_grid,0.01,,10,2.7503176041048394,14.369365292428498,1.3193835193107057,0.013193835193107057,0.011463197879493237,False
cvar,6398,lr_grid,0.01,,20,2.734038752567131,13.999122225140328,1.2926712190803922,0.012926712190803923,0.021794622763991356,False
cvar,6398,lr_grid,0.01,,30,2.7180128821051213,13.588350303310346,1.2626375405315997,0.012626375405316,0.03193780779838562,False
cvar,6398,lr_grid,0.01,,40,2.7020247520150074,13.547475466436843,1.2650542704786671,0.01265054270478667,0.04293281608261168,False
cvar,6398,lr_grid,0.01,,50,2.6860333093563096,13.448278062741393,1.2670029320541127,0.012670029320541128,0.05303735681809485,False
cvar,6398,lr_grid,0.01,,60,2.6702552411006426,13.287236932721457,1.2560703797329753,0.012560703797329754,0.06318141845986247,False
cvar,6398,lr_grid,0.01,,70,2.654516348173298,13.234809007794244,1.2660321732835484,0.012660321732835484,0.07339757750742137,False
cvar,6398,lr_grid,0.01,,80,2.638718256522812,13.170378346928604,1.2611448805181646,0.01261144880518165,0.08362771640531719,False
