family,parameter,power_value,distance,entropy,ess,distance_to_max,kl_uniform,beta_star,status
evar,0.0,0.21964837022792652,0.46866658748829804,8.317766166719343,4096.0,0.8140208021303439,0.0,0.0,mean
evar,0.05,0.2979570347691881,0.5458544080331202,8.267766166774797,3628.7480743335122,0.7368329815855217,0.049999999944544626,1.1725633867385818,solved
evar,0.1,0.3344161221650796,0.5782872315424918,8.21776616681624,3170.3438026731496,0.7044001580761501,0.09999999990310293,1.5590437672310231,solved
evar,0.25,0.41312295931886145,0.6427464191412204,8.067766166701698,2089.9556800828477,0.6399409704774215,0.25000000001764455,2.221963778199929,solved
evar,0.5,0.5109838756416145,0.7148313616802319,7.817766166647254,1111.8661696843224,0.5678560279384101,0.5000000000720899,2.863592541977221,solved
evar,1.0,0.6633235644829318,0.8144467843161589,7.317766166721233,415.04742995674445,0.468240605302483,0.9999999999981073,3.6765235662524782,solved
evar,2.0,0.8989772789069331,0.9481441234891103,6.3177661666845735,105.94284988854285,0.33454326612953167,2.0000000000347695,4.809250810552891,solved
cvar,1.0,0.21964837022792652,0.46866658748829804,8.31776616671934,4096.0,0.8140208021303439,0.0,,exact_cap
cvar,0.5,0.3695134423895472,0.6078761735662512,7.624618986159403,2048.0,0.6748112160523907,0.6931471805599444,,exact_cap
cvar,0.2,0.5928647206218862,0.7699770909721186,6.7087211834630835,819.3600312561047,0.5127102986465233,1.6090449832562597,,exact_cap
cvar,0.1,0.7577113713189005,0.870466180456714,6.015929353447611,409.84014070744576,0.41222120916192795,2.301836813271732,,exact_cap
cvar,0.05,0.9104176086513931,0.9541580627188522,5.322905547662674,204.9601250977326,0.32852932689978975,2.9948606190566682,,exact_cap
cvar,0.02,1.101075344927045,1.0493213735205458,4.406679575844712,81.9936661844626,0.23336601609809615,3.911086590874631,,exact_cap
