method,calibration,update,subject,seed,epoch,beta_t,LEW_before,LEW_after_full,LEW_after_stop,LEW_after_stop_normmatched,delta_LEW_full,delta_LEW_stop,delta_LEW_stop_normmatched,full_minus_stop_delta_LEW,full_minus_normmatched_delta_LEW,norm_ratio_full_over_stop,bank_seed,bank_hash,diagnostic_ms
ebsw_full_ess050,ess050,raw_rooted,8,1788,0,27.694285456275704,10.270850778196136,9.989419589465173,9.75171011485226,9.359839079291294,-0.28143118873096284,-0.519140663343876,-0.9110116989048418,0.23770947461291314,0.629580510173879,3.0259454331783115,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,79.39845300279558
ebsw_full_ess050,ess050,raw_rooted,8,1788,25,207.85546632390168,7.927855224830919,7.892070871118143,7.745107650507159,7.76072001244964,-0.035784353712775996,-0.1827475743237601,-0.1671352123812797,0.1469632206109841,0.1313508586685037,2.419459578829039,2113,5df2e1802a297f5230b57ec5628c652c3a4d34270d9454b63beb6f4248ad2060,48.34810411557555
ebsw_full_ess050,ess050,raw_rooted,8,1788,50,279.22573554316216,7.769002316249278,7.723204148300272,7.621818966839605,7.654219769608234,-0.04579816794900626,-0.14718334940967281,-0.11478254664104348,0.10138518146066655,0.06898437869203722,2.180189714485634,3063,0072e7e6e518d75fb9fe53f0bd6a9fb8f0b1cadbbe76e1f45b3a34e62c0632ed,54.214941104874015
ebsw_full_ess050,ess050,raw_rooted,8,1788,100,67.95637389207805,8.10514902599934,8.335031012499202,7.848687702626187,8.036314387361902,0.22988198649986202,-0.25646132337315297,-0.06883463863743877,0.486343309873015,0.2987166251373008,2.9522292966240964,6838,e6855f361350fa477f6ac3b1e57e6a3fa84b70533c217669d08452241da95361,52.400771994143724
ebsw_full_ess050,ess050,raw_rooted,8,1788,200,205.0937342998645,7.7516888668372115,7.693673008754194,7.56922389813842,7.577262064409546,-0.058015858083017235,-0.1824649686987918,-0.17442680242766517,0.12444911061577457,0.11641094434464794,2.319848285567874,21888,0464f2c2ee4e5555c04dbc1130dc2aff0e36ad7b218200ee1fab11a130ecfddc,52.289106883108616
ebsw_full_ess050,ess050,raw_rooted,8,1788,300,237.71943170412584,7.626794113695179,7.477960963236802,7.4380907241481,7.405340547632078,-0.14883315045837708,-0.18870338954707933,-0.22145356606310074,0.03987023908870224,0.07262041560472365,2.0972546421013125,46938,4f466c72e19b902d2fe8eb21bd838b6a22278efdfefbeb662b9545d45653c740,65.8139600418508
ebsw_full_ess050,ess050,raw_rooted,8,1788,400,239.6311577600138,7.473476492051781,7.565000398818283,7.332685870234993,7.451256422083432,0.09152390676650146,-0.14079062181678825,-0.022220069968349243,0.23231452858328971,0.1137439767348507,2.4831243879482217,81988,1abdefbaee6ef8fed2ee44ec3938e77a7d8e930a7000037f5df5226ad7ba1e97,46.41545005142689
ebsw_full_ess050,ess050,raw_rooted,8,1788,500,165.03631747167503,7.539505377763524,7.670222869741093,7.367977276174115,7.503595685195642,0.13071749197756954,-0.17152810158940834,-0.03590969256788146,0.3022455935669779,0.166627184545451,2.6878453865613623,127038,4b256f4b903147f9a73a25d128798c6b57eb09dcead0db5a72276572741e6836,54.933812003582716
