method,calibration,update,subject,seed,epoch,beta_t,LEW_before,LEW_after_full,LEW_after_stop,LEW_after_stop_normmatched,delta_LEW_full,delta_LEW_stop,delta_LEW_stop_normmatched,full_minus_stop_delta_LEW,full_minus_normmatched_delta_LEW,norm_ratio_full_over_stop,bank_seed,bank_hash,diagnostic_ms
ebsw_full_b1,b1,raw_rooted,8,3654,0,1.0,10.270850778196136,9.83174157000675,9.840714605396666,9.83194939377293,-0.4391092081893859,-0.4301361727994699,-0.4389013844232057,-0.008973035389916006,-0.00020782376618022624,1.0219194402389986,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,67.55113694816828
ebsw_full_b1,b1,raw_rooted,8,3654,25,1.0,7.36648662055396,7.369008667087762,7.369003153392896,7.369003936759269,0.002522046533801614,0.0025165328389356034,0.002517316205308262,5.51369486601061e-06,4.730328493351976e-06,1.0000675978233968,3979,fdba3dea77616db68f5fb87618194a6815c80962b90d11ecedf2ea613074d925,47.84932709299028
ebsw_full_b1,b1,raw_rooted,8,3654,50,1.0,7.241219510842997,7.2273316376875165,7.227330910455777,7.227330652659823,-0.01388787315548079,-0.013888600387220507,-0.01388885818317398,7.272317397166717e-07,9.85027693189977e-07,1.0000572353579882,4929,e59f94a7c28ecd419d8ca1fe92dd44d1e53b364a17464497afcdfbe7f1a0bedc,65.10390900075436
ebsw_full_b1,b1,raw_rooted,8,3654,100,1.0,7.047577847682101,7.042404820409147,7.042404603935721,7.042404837126877,-0.005173027272953767,-0.005173243746379619,-0.005173010555224344,2.164734258514045e-07,-1.671772942302141e-08,1.0000564438819433,8704,f4c4dc29b6eb31643100f764877edc34e3fe7ecf93ca92b978637a1c968f4b4f,48.432819079607725
ebsw_full_b1,b1,raw_rooted,8,3654,200,1.0,6.728355590882586,6.727301613275262,6.7273010685068,6.727301513990909,-0.0010539776073237306,-0.0010545223757860711,-0.0010540768916769139,5.44768462340528e-07,9.92843531832932e-08,1.0000548167454588,23754,41efff7e05929b0e2c80f27f331db4e325200eb260538e8f1bf8b5c6ff972ee2,55.0649669021368
ebsw_full_b1,b1,raw_rooted,8,3654,300,1.0,6.466034263448396,6.457305443134663,6.457306034165149,6.457306065112148,-0.00872882031373301,-0.008728229283247124,-0.008728198336248383,-5.91030485885824e-07,-6.21977484627223e-07,1.0000479047076067,48804,ece8a4f6e77cbd2cfdea406e2cc9c11af0c5537e7e54f292c33f6f992ad96b0e,46.26358300447464
ebsw_full_b1,b1,raw_rooted,8,3654,400,1.0,6.2268843573035975,6.226292490559534,6.226292769719302,6.226293167880461,-0.0005918667440631964,-0.000591587584295894,-0.0005911894231367398,-2.791597673024171e-07,-6.773209264565594e-07,1.0000450748342533,83854,4747fe3273036772a7aca8b7bdd418899a1f1b61fbb1ab57c2e1ee1b33a02f95,48.41391718946397
ebsw_full_b1,b1,raw_rooted,8,3654,500,1.0,5.998353893395074,5.993313130827619,5.993314010703285,5.993314212260757,-0.005040762567455559,-0.0050398826917890105,-0.0050396811343169645,-8.798756665484575e-07,-1.0814331385944342e-06,1.0000470219481274,128904,2fddedf17b5e9b6b3f5d82b67ed56ded0aceb914c1b4c4de07d861d627a44c2b,51.47826415486634
