dataset,subject,seed,control,method,family,L,epoch,direction_seed,training_power_loss,rooted_distance,lew,gap_closure_pct,gradient_norm,update_norm,mean_h,std_h,max_h,entropy,kl_uniform,ess,beta_star,achieved_kl,active_tail_count,aggregation_seconds,optimization_seconds_cum,evaluation_seconds_cum,wall_seconds_cum,cumulative_ambient_projections,learning_rate,normalized_step_target,nan,diverged,status
Schirrmeister2017,14,3654,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,0,3654,,,490.24539687239565,0.0,,,,,,,,,,,,0.0,0.0,0.0454979760106653,0.0,0,10000.0,7.3473173386245945,False,False,initial
Schirrmeister2017,14,3654,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,1,3654,0.12344787646510881,0.35135149987599146,,,0.025896072881838147,258.9607288183815,0.028305740826005173,0.03125523993042364,0.12374193828650573,0.19169562772631943,3.4971838263876176,1.0999344050983095,485.67097951094354,,,0.0003663699608296156,0.0038734390400350094,0.0454979760106653,0.0038734390400350094,40,10000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,14,3654,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,2,3655,0.26288655153875456,0.5127246351978365,,,0.03456783937804735,345.67839378047347,0.0411017974734517,0.05467293973261619,0.26288655153875456,9.18164868999141e-18,3.6888794541139363,1.0,485.67097951094354,,,0.0003512999974191189,0.00808401103131473,0.0454979760106653,0.00808401103131473,80,10000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,14,3654,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,3,3657,0.2615896143108618,0.51145832118645,,,0.0344823038331004,344.823038331004,0.04017957964231436,0.04704822732355579,0.2615896143108618,2.1266937657799527e-28,3.6888794541139363,1.0,485.67097951094354,,,0.00032873800955712795,0.011408308986574411,0.0454979760106653,0.011408308986574411,120,10000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,14,3654,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,4,3660,0.2676553236933116,0.5173541569305417,,,0.034879941836353415,348.7994183635342,0.06132011106571561,0.06389860811805302,0.2676553236939082,3.012871185398674e-10,3.6888794538126493,1.0000000000230092,485.67097951094354,,,0.0003385921008884907,0.01474294695071876,0.0454979760106653,0.01474294695071876,160,10000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,14,3654,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,5,3664,0.27178634548084823,0.521331320256944,,,0.035148073010307916,351.48073010307917,0.050112533127678854,0.05218017713672687,0.27178634548084823,1.9545248597249904e-20,3.6888794541139363,1.0,485.67097951094354,,,0.0003183090593665838,0.018046305049210787,0.0454979760106653,0.018046305049210787,200,10000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,14,3654,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,6,3669,0.501139687336222,0.70791220312707,,,0.04772736277966435,477.2736277966435,0.11134021262686677,0.11775025836288726,0.501139687336222,6.2876476162917684e-30,3.6888794541139363,1.0,485.67097951094354,,,0.00031067803502082825,0.02125364006496966,0.0454979760106653,0.02125364006496966,240,10000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,14,3654,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,7,3675,0.651939129394202,0.8074274762442767,,,0.05443671962831042,544.3671962831042,0.13221012063074902,0.14136379785534917,0.651939129394202,6.768785246509665e-31,3.6888794541139363,1.0,485.67097951094354,,,0.00033034104853868484,0.024457080056890845,0.0454979760106653,0.024457080056890845,280,10000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,14,3654,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,8,3682,0.7335534948278248,0.8564773755493048,,,0.05774358451516156,577.4358451516156,0.142769569741967,0.14258037405327248,0.7335534948278248,7.833214677962808e-54,3.6888794541139363,1.0,485.67097951094354,,,0.00031592301093041897,0.027728677028790116,0.0454979760106653,0.027728677028790116,320,10000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,14,3654,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,9,3690,2.5761055569472804,1.6050250954260123,,,0.10821072804120972,1082.1072804120972,0.2207426580121375,0.44376079997829315,2.5761055569472804,-0.0,3.6888794541139363,1.0,485.67097951094354,,,0.0003129360266029835,0.03092156001366675,0.0454979760106653,0.03092156001366675,360,10000.0,7.3473173386245945,False,False,fixed_beta
