method,sampling,aggregation,update,subject,seed,sum_direction_sampling_ms,mean_direction_sampling_ms,sum_source_projection_ms,mean_source_projection_ms,sum_target_projection_ms,mean_target_projection_ms,sum_wasserstein_1d_ms,mean_wasserstein_1d_ms,sum_sorting_aggregation_ms,mean_sorting_aggregation_ms,sum_backward_ms,mean_backward_ms,sum_optimizer_update_ms,mean_optimizer_update_ms,sum_total_epoch_ms,mean_total_epoch_ms,sum_evaluation_ms,mean_evaluation_ms,one_time_bank_sampling_ms,one_time_target_projection_ms,cumulative_optimization_ms,cumulative_evaluation_ms
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,1788,0.0,0.0,122.6460572797805,0.24529211455956101,0.0,0.0,323.4809224959463,0.6469618449918926,76.07695134356618,0.15215390268713236,380.8091094251722,0.7616182188503444,98.49512460641563,0.19699024921283126,1001.5081651508808,2.0030163303017616,5561.455941293389,11.122911882586777,0.3911817912012338,0.2569521311670542,1002.1562990732492,5577.088507357985
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,1788,0.0,0.0,124.54089359380305,0.2490817871876061,0.0,0.0,338.19410973228514,0.6763882194645703,79.75529856048524,0.1595105971209705,393.462328473106,0.786924656946212,102.80006052926183,0.20560012105852365,1038.7526908889413,2.0775053817778826,5642.557200510055,11.28511440102011,0.3914348781108856,0.2569309435784817,1039.4010567106309,5654.935620492324
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,1788,0.0,0.0,124.2809051182121,0.2485618102364242,0.0,0.0,333.7684231810272,0.6675368463620543,77.71422620862722,0.15542845241725445,379.5538321137428,0.7591076642274857,99.77492038160563,0.19954984076321125,1015.092307003215,2.03018461400643,5542.531827930361,11.085063655860722,0.3882828168570995,0.263826223090291,1015.7444160431623,5555.214490974322
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,3654,0.0,0.0,123.38539981283247,0.24677079962566495,0.0,0.0,320.6866476684809,0.6413732953369617,74.527807533741,0.149055615067482,377.5208017323166,0.7550416034646332,97.62437315657735,0.1952487463131547,993.7450299039483,1.9874900598078966,5657.259647268802,11.314519294537604,0.5198100116103888,0.2773730084300041,994.5422129239888,5668.107258388773
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,3654,0.0,0.0,124.50364255346358,0.24900728510692716,0.0,0.0,339.5658025983721,0.6791316051967442,79.70969751477242,0.15941939502954483,385.55055670440197,0.7711011134088039,103.77510148100555,0.2075502029620111,1033.1048008520156,2.0662096017040312,5714.374051429331,11.428748102858663,0.5026040598750114,0.2798519562929868,1033.8872568681836,5729.16883835569
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,3654,0.0,0.0,121.36442377232015,0.2427288475446403,0.0,0.0,312.6499252393842,0.6252998504787683,73.25801160186529,0.14651602320373058,365.52452854812145,0.7310490570962429,94.22936663031578,0.18845873326063156,967.0262557920069,1.9340525115840137,5373.530556913465,10.74706111382693,0.3848851192742586,0.2544729504734278,967.6656138617544,5388.526933034882
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,6398,0.0,0.0,123.04860423319042,0.24609720846638083,0.0,0.0,317.2449432313442,0.6344898864626884,74.2966199759394,0.14859323995187879,375.836985418573,0.751673970837146,97.45870088227093,0.19491740176454186,987.885853741318,1.975771707482636,5639.151728246361,11.278303456492722,82.48506090603769,32.47642400674522,1102.847338654101,5652.25733933039
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,6398,0.0,0.0,122.8542395401746,0.2457084790803492,0.0,0.0,328.8174378685653,0.6576348757371306,77.14349660091102,0.15428699320182204,372.6708113681525,0.745341622736305,99.78428645990789,0.19956857291981578,1001.2702718377113,2.0025405436754227,5525.15281480737,11.05030562961474,0.6779409013688564,0.2866010181605816,1002.2348137572408,5538.353812880814
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,6398,0.0,0.0,123.54929954744875,0.2470985990948975,0.0,0.0,317.00964039191604,0.6340192807838321,73.88110482133925,0.1477622096426785,385.4850069619715,0.770970013923943,96.44941613078117,0.19289883226156235,996.3744678534567,1.9927489357069135,5393.448813352734,10.786897626705468,0.2537770196795463,0.271880067884922,996.9001249410212,5412.607671227306
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,1788,0.0,0.0,121.66696949861944,0.24333393899723887,0.0,0.0,311.5278519690037,0.6230557039380074,72.16754858382046,0.14433509716764092,363.2318221498281,0.7264636442996562,32.17500005848703,0.06435000011697406,900.7691922597587,1.8015383845195174,5324.97239834629,10.64994479669258,0.3911817912012338,0.2569521311670542,901.417326182127,5336.397499311715
