method,sampling,aggregation,update,subject,seed,threshold_relative_lew,required_reduction_pct,reached,first_reach_epoch,first_reach_optimization_ms,first_reach_total_projection_count
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,1788,0.95,5.000000000000004,True,1.0,2.3326703812927008,500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,1788,0.9,9.999999999999998,True,4.0,7.540419464930892,2000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,1788,0.8,19.999999999999996,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,1788,0.7,30.000000000000004,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,1788,0.6,40.0,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,1788,0.95,5.000000000000004,True,1.0,2.471833024173975,500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,1788,0.9,9.999999999999998,True,2.0,4.602358909323812,1000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,1788,0.8,19.999999999999996,True,18.0,34.937507240101695,9000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,1788,0.7,30.000000000000004,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,1788,0.6,40.0,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,1788,0.95,5.000000000000004,True,1.0,2.7894158847630024,500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,1788,0.9,9.999999999999998,True,2.0,4.554400919005275,1000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,1788,0.8,19.999999999999996,True,7.0,13.757206965237856,3500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,1788,0.7,30.000000000000004,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,1788,0.6,40.0,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,3654,0.95,5.000000000000004,True,1.0,2.426988212391734,500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,3654,0.9,9.999999999999998,True,4.0,8.498793002218008,2000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,3654,0.8,19.999999999999996,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,3654,0.7,30.000000000000004,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,3654,0.6,40.0,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,3654,0.95,5.000000000000004,True,1.0,2.741306321695447,500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,3654,0.9,9.999999999999998,True,2.0,4.564047325402498,1000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,3654,0.8,19.999999999999996,True,12.0,25.488903047516946,6000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,3654,0.7,30.000000000000004,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,3654,0.6,40.0,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,3654,0.95,5.000000000000004,True,1.0,2.1617491729557514,500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,3654,0.9,9.999999999999998,True,1.0,2.1617491729557514,500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,3654,0.8,19.999999999999996,True,6.0,11.790938209742308,3000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,3654,0.7,30.000000000000004,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,3654,0.6,40.0,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,6398,0.95,5.000000000000004,True,1.0,116.77211476489902,500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,6398,0.9,9.999999999999998,True,4.0,121.98804807849228,2000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,6398,0.8,19.999999999999996,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,6398,0.7,30.000000000000004,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,6398,0.6,40.0,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,6398,0.95,5.000000000000004,True,1.0,2.5847929064184427,500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,6398,0.9,9.999999999999998,True,2.0,4.109863890334964,1000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,6398,0.8,19.999999999999996,True,19.0,33.69416273199022,9500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,6398,0.7,30.000000000000004,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,6398,0.6,40.0,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,6398,0.95,5.000000000000004,True,1.0,2.2408110089600086,500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,6398,0.9,9.999999999999998,True,2.0,4.245735006406903,1000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,6398,0.8,19.999999999999996,True,6.0,11.349350214004517,3000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,6398,0.7,30.000000000000004,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,6398,0.6,40.0,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,1788,0.95,5.000000000000004,True,1.0,2.225237665697932,500.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,1788,0.9,9.999999999999998,True,3.0,5.955359665676951,1500.0
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,1788,0.8,19.999999999999996,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,1788,0.7,30.000000000000004,False,,,
fixed_spectral_raw_rooted_s1,fixed,spectral,raw_rooted,1,1788,0.6,40.0,False,,,
