phase,control,subject,seed,fixed_method,comparator,comparator_epoch500_lew,fixed_reached,fixed_first_reach_epoch,fixed_first_reach_wall_ms,comparator_epoch500_wall_ms,wall_advantage
development,normalized_update,2,6398,fixed_lns_k40_s0p5,resampled_spdsw_k40,71.20571211762888,False,,,1644.2368486896155,False
development,normalized_update,2,6398,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,72.54584651045192,False,,,1552.1995688322932,False
development,normalized_update,2,3654,fixed_lns_k40_s0p5,resampled_spdsw_k40,71.1513560829044,False,,,1643.939838279039,False
development,normalized_update,2,3654,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,72.4011260929444,False,,,1558.4929392207414,False
development,normalized_update,2,1788,fixed_lns_k40_s0p5,resampled_spdsw_k40,71.11363934125029,False,,,1638.398211682215,False
development,normalized_update,2,1788,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,72.44512584856308,False,,,1542.8433048073202,False
development,normalized_update,3,6398,fixed_lns_k40_s0p5,resampled_spdsw_k40,56.79686027282575,False,,,1584.48371081613,False
development,normalized_update,3,6398,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,57.70322223052673,False,,,1625.5615742411464,False
development,normalized_update,3,3654,fixed_lns_k40_s0p5,resampled_spdsw_k40,56.83513585202909,False,,,1580.8585297781974,False
development,normalized_update,3,3654,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,57.707428991980194,False,,,1623.820454580709,False
development,normalized_update,3,1788,fixed_lns_k40_s0p5,resampled_spdsw_k40,56.87527817004639,False,,,1580.7983053382486,False
development,normalized_update,3,1788,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,57.7434062899109,False,,,1623.6455964390188,False
development,normalized_update,4,6398,fixed_lns_k40_s0p5,resampled_spdsw_k40,74.50080874043431,False,,,1590.6898628454655,False
development,normalized_update,4,6398,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,75.78018204806583,False,,,1632.2966397274286,False
development,normalized_update,4,3654,fixed_lns_k40_s0p5,resampled_spdsw_k40,74.3301766258019,False,,,1592.9767310153693,False
development,normalized_update,4,3654,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,75.76481707782396,False,,,1631.309362128377,False
development,normalized_update,4,1788,fixed_lns_k40_s0p5,resampled_spdsw_k40,74.44955004143573,False,,,1586.0195353161544,False
development,normalized_update,4,1788,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,75.88925576287956,False,,,1628.0385123100132,False
development,raw_sgd_lr3000,2,6398,fixed_lns_k40_s0p5,resampled_spdsw_k40,79.75892235911779,False,,,1569.3092767614871,False
development,raw_sgd_lr3000,2,6398,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,77.27398208704943,False,,,1546.1421275977043,False
development,raw_sgd_lr3000,2,3654,fixed_lns_k40_s0p5,resampled_spdsw_k40,79.62170933723544,False,,,1572.0142170321196,False
development,raw_sgd_lr3000,2,3654,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,77.08371864022074,False,,,1490.7391327433288,False
development,raw_sgd_lr3000,2,1788,fixed_lns_k40_s0p5,resampled_spdsw_k40,79.56946501411507,False,,,1571.9183248002082,False
development,raw_sgd_lr3000,2,1788,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,77.04444683901741,False,,,1493.7371334526688,False
development,raw_sgd_lr3000,3,6398,fixed_lns_k40_s0p5,resampled_spdsw_k40,62.76207321179317,False,,,1500.8248637896031,False
development,raw_sgd_lr3000,3,6398,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,60.90383594236117,False,,,1550.307173514739,False
development,raw_sgd_lr3000,3,3654,fixed_lns_k40_s0p5,resampled_spdsw_k40,62.79731990667886,False,,,1503.4985807724297,False
development,raw_sgd_lr3000,3,3654,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,60.94957014243252,False,,,1552.3457387462258,False
development,raw_sgd_lr3000,3,1788,fixed_lns_k40_s0p5,resampled_spdsw_k40,62.80882921768669,False,,,1509.6269471105188,False
development,raw_sgd_lr3000,3,1788,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,60.92415624806432,False,,,1567.2572317998856,False
development,raw_sgd_lr3000,4,6398,fixed_lns_k40_s0p5,resampled_spdsw_k40,81.04158723227172,False,,,1559.014232363552,False
development,raw_sgd_lr3000,4,6398,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,79.08173402003675,False,,,1571.3061927817762,False
development,raw_sgd_lr3000,4,3654,fixed_lns_k40_s0p5,resampled_spdsw_k40,81.08697111171035,False,,,1511.7571665905416,False
development,raw_sgd_lr3000,4,3654,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,79.16361059940672,False,,,1562.267673900351,False
development,raw_sgd_lr3000,4,1788,fixed_lns_k40_s0p5,resampled_spdsw_k40,81.14013022044446,False,,,1524.729096563533,False
development,raw_sgd_lr3000,4,1788,fixed_lns_k40_s0p5,resampled_lns_k40_s0p5,79.20775814194975,False,,,1575.3990686498582,False
