dataset,phase,control,method,sampling,aggregation,reference,k,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,sorting_aggregation_ms,backward_ms,optimizer_update_ms,total_optimization_epoch_ms,one_time_fixed_bank_sampling_ms,one_time_fixed_target_projection_ms
Schirrmeister2017,development,normalized_update,fixed_lns_k40_s0p5,fixed,spectral,False,40,0.0,0.8654238084434636,0.0,0.4963505044579506,0.12027794707359533,0.9304279263855683,0.4040950297171043,2.8165752160776822,9.11918212659657,5.353101580921147
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,fixed,uniform,False,40,0.0,0.864323421070973,0.0,0.5123498001032405,0.04746414472659424,0.9267297596153286,0.4049898281486498,2.7558569536647863,9.11918212659657,5.353101580921147
Schirrmeister2017,development,normalized_update,resampled_lns_k40_s0p5,resampled,spectral,False,40,0.187057482647813,0.8581006259967884,0.2040164998422066,0.49944676567489904,0.12255187881075669,0.9271713926249908,0.40570156602188945,3.204046211619344,0.0,0.0
Schirrmeister2017,development,normalized_update,resampled_spdsw_k40,resampled,uniform,False,40,0.1869834764446649,0.874307801377856,0.20652408054512406,0.5013308574755987,0.044629863411602,0.9885377180245187,0.4071087746673988,3.2094225719467633,0.0,0.0
Schirrmeister2017,development,normalized_update,resampled_spdsw_l500_reference,resampled,uniform,True,500,0.8060500469679633,5.95541713371252,1.261830122365306,0.5165846367470093,0.04540549166914485,6.332151243773599,0.4072084248893791,15.324647100124922,0.0,0.0
Schirrmeister2017,development,raw_sgd_lr3000,fixed_lns_k40_s0p5,fixed,spectral,False,40,0.0,0.8674622144964006,0.0,0.5171227560171651,0.12589465211042095,0.9375504738030335,0.230960597232398,2.678990693659418,9.201113341583145,5.3209315778480635
Schirrmeister2017,development,raw_sgd_lr3000,fixed_spdsw_k40,fixed,uniform,False,40,0.0,0.8655244029747943,0.0,0.5321909503804313,0.04979378548968165,0.9350078959121473,0.2310675341739422,2.613584568930997,9.201113341583145,5.3209315778480635
Schirrmeister2017,development,raw_sgd_lr3000,resampled_lns_k40_s0p5,resampled,spectral,False,40,0.19704369315877554,0.8606487885117531,0.20588406816952756,0.5268542054109275,0.1300199517152375,0.938978541125026,0.23157107928353873,3.091000327374786,0.0,0.0
Schirrmeister2017,development,raw_sgd_lr3000,resampled_spdsw_k40,resampled,uniform,False,40,0.19451092887255877,0.8762764176353812,0.20778645419826108,0.5232194171080159,0.04722078817172178,0.991049686084605,0.23164579810367686,3.0717094901742206,0.0,0.0
Schirrmeister2017,development,raw_sgd_lr3000,resampled_spdsw_l500_reference,resampled,uniform,True,500,0.8083301631009413,5.957170950714499,1.2632220595454176,0.5357594276881881,0.04729432431567042,6.353030698270434,0.2318010521638724,15.196608675799022,0.0,0.0
