dataset,phase,control,method,subject,seed,epoch,N_proj,rank_spearman_t_tm1,top5_overlap_t_tm1,top10_overlap_t_tm1,fraction_ever_top5,fraction_ever_top10,effective_N,weight_entropy,bank_hash
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,31,500,0.5875464461857848,0.8,1.0,0.066,0.12,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,32,500,0.6127452029808119,1.0,1.0,0.066,0.12,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,33,500,0.6458636074544298,1.0,0.9,0.066,0.12,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,34,500,0.6686065784263137,1.0,0.9,0.066,0.12,389.69177315660573,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,35,500,0.6955899823599294,1.0,0.9,0.066,0.12,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,36,500,0.7149931959727839,1.0,0.9,0.066,0.12,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,37,500,0.7381077844311377,1.0,0.9,0.066,0.12,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,38,500,0.7579812079248317,1.0,0.9,0.066,0.12,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,39,500,0.7759878079512318,1.0,0.9,0.066,0.12,389.69177315660573,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,40,500,0.7922238728954916,1.0,1.0,0.066,0.12,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,41,500,0.8095449341797367,1.0,1.0,0.066,0.12,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,42,500,0.8236995187980752,1.0,1.0,0.066,0.12,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,43,500,0.8381616886467546,1.0,1.0,0.066,0.12,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,44,500,0.8502260569042276,1.0,1.0,0.066,0.12,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,45,500,0.8637771831087324,1.0,0.9,0.066,0.122,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
BNCI2014_001,bnci_factorial,normalized_update,fixed_spectral_N500_s0p5,3,1788,46,500,0.8746550826203304,1.0,1.0,0.066,0.122,389.6917731566058,6.0897145670217245,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737
