method,calibration,update,subject,seed,epoch,beta_t,effective_coeff_sum,effective_coeff_l1,negative_coeff_fraction,negative_coeff_mass,positive_coeff_mass,min_effective_coeff,max_effective_coeff,bank_seed,bank_hash
ebsw_full_ess075,ess075,normalized,8,6398,0,21.24979047897209,0.9999999999999999,0.9999999999999999,0.0,-0.0,0.9999999999999999,0.0008906405510687031,0.04452285623234438,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a
ebsw_full_ess075,ess075,normalized,8,6398,25,2706.0602680114016,0.9999999999999999,0.9999999999999999,0.0,-0.0,0.9999999999999999,8.42448504036957e-06,0.023433384985586996,6723,a6a2b278d97fda7809fb6952fddfd02497b0c4008e8dcc97c0efe98ec3380f2f
ebsw_full_ess075,ess075,normalized,8,6398,50,2602.3585131441905,1.0,1.0,0.0,-0.0,1.0,0.0002264672642322918,0.040504863466377536,7673,caa9b0e3db8eaa697f19673d40619f7bb8c14f888909b20ce6081e50649e8357
ebsw_full_ess075,ess075,normalized,8,6398,100,2616.767763479761,0.9999999999999999,0.9999999999999999,0.0,-0.0,0.9999999999999999,0.0002742715685801796,0.07016214282734103,11448,ce329fd37045ede4a896c6d61020267461f81847ac44dc26f0627205426cbfc9
ebsw_full_ess075,ess075,normalized,8,6398,200,2909.6144943831805,1.0,1.0,0.0,-0.0,1.0,0.00012788700383211069,0.05782791281800121,26498,3d8f838d21d883eb538072f0bf843118586cb6e35b9b47e3532999009f5a7b04
ebsw_full_ess075,ess075,normalized,8,6398,300,3743.02157403233,1.0,1.0,0.0,-0.0,1.0,2.3035097262226307e-05,0.030364736548186458,51548,c81d7780a5938294ea547be4da46f64a45fbda379c105e1edc8392e77976f631
ebsw_full_ess075,ess075,normalized,8,6398,400,2478.051537623136,1.0,1.0,0.0,-0.0,1.0,0.00042253486305462605,0.08053959626405065,86598,5caab922f616e19cccc18c579f9477540094e71d80032f8b17323ed9b12a069d
ebsw_full_ess075,ess075,normalized,8,6398,500,3711.634555967795,1.0000000000000002,1.0000000000000002,0.0,-0.0,1.0000000000000002,4.2484946094661315e-05,0.037359668278866186,131648,bf2ff73605a966b3451e54aea708f41710ee1033d75d14d9023e54dbd17958b3
