method,calibration,update,subject,seed,epoch,beta_t,effective_coeff_sum,effective_coeff_l1,negative_coeff_fraction,negative_coeff_mass,positive_coeff_mass,min_effective_coeff,max_effective_coeff,bank_seed,bank_hash
ebsw_full_ess075,ess075,raw_rooted,1,6398,0,52.91820524301536,1.0,1.0,0.0,-0.0,1.0,0.0008905454594866614,0.06493854597879554,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a
ebsw_full_ess075,ess075,raw_rooted,1,6398,25,612.8641336845092,1.0,1.0,0.0,-0.0,1.0,0.000654014123827094,0.050701004724871726,6723,a6a2b278d97fda7809fb6952fddfd02497b0c4008e8dcc97c0efe98ec3380f2f
ebsw_full_ess075,ess075,raw_rooted,1,6398,50,822.3884056849498,1.0,1.0,0.0,-0.0,1.0,0.0004967327667206176,0.035527818212067054,7673,caa9b0e3db8eaa697f19673d40619f7bb8c14f888909b20ce6081e50649e8357
ebsw_full_ess075,ess075,raw_rooted,1,6398,100,374.26886898368565,0.9999999999999999,0.9999999999999999,0.0,-0.0,0.9999999999999999,0.0007506647070314338,0.03896643681569038,11448,ce329fd37045ede4a896c6d61020267461f81847ac44dc26f0627205426cbfc9
ebsw_full_ess075,ess075,raw_rooted,1,6398,200,466.87379564651326,0.9999999999999999,0.9999999999999999,0.0,-0.0,0.9999999999999999,0.0007209689905254827,0.04866498849524194,26498,3d8f838d21d883eb538072f0bf843118586cb6e35b9b47e3532999009f5a7b04
ebsw_full_ess075,ess075,raw_rooted,1,6398,300,702.9925671897996,1.0,1.0,0.0,-0.0,1.0,0.0006354962086215355,0.03559728866174235,51548,c81d7780a5938294ea547be4da46f64a45fbda379c105e1edc8392e77976f631
ebsw_full_ess075,ess075,raw_rooted,1,6398,400,695.9175363785503,1.0,1.0,0.0,-0.0,1.0,0.0007766816481667316,0.051022285558955535,86598,5caab922f616e19cccc18c579f9477540094e71d80032f8b17323ed9b12a069d
ebsw_full_ess075,ess075,raw_rooted,1,6398,500,341.82668300055684,0.9999999999999999,0.9999999999999999,0.0,-0.0,0.9999999999999999,0.0009364321925132106,0.07817751220239036,131648,bf2ff73605a966b3451e54aea708f41710ee1033d75d14d9023e54dbd17958b3
