dataset,phase,control,method,family,hierarchical,subject,seed,epoch,k,L,sigma,training_power_loss,rooted_distance,lew,gap_closure_pct,gradient_norm,update_norm,mean_h,std_h,max_h,min_h,spectral_entropy,spectral_ess,spectral_max_weight,spectral_top10_weight,gram_condition,aggregation_seconds,optimization_seconds_cum,evaluation_seconds_cum,cumulative_ambient_projections,learning_rate,normalized_step_target,bank_seed,mix_seed,nan,diverged,status
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,4,6398,0,40,40,1.25,,,89.9337188259475,0.0,,,,,,,,,,,,,0.0,0.03782829688861966,0,,3.866127438301626,6398,,False,False,initial
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,4,6398,1,40,40,1.25,0.003334524517045495,0.057745341951065586,,,0.0014046964761450119,3.8661274383016266,0.0014193109814417356,0.0013035161274719208,0.005742648258194132,5.716431582728133e-05,2.9440308921047103,10.872285063417621,0.23886323519652986,0.7175268696871737,,0.0005171999800950289,0.007128071039915085,0.03782829688861966,40,,3.866127438301626,6398,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,4,6398,2,40,40,1.25,0.005175683577656397,0.07194222388595169,,,0.0016855350172210355,3.8661274383016266,0.0023635324007533856,0.002144043979166022,0.00773325374731748,0.00013319241804742163,2.9440308921047103,10.872285063417623,0.23886323519652986,0.7175268696871737,,0.00048568309284746647,0.013921461068093777,0.03782829688861966,80,,3.866127438301626,6399,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,4,6398,3,40,40,1.25,0.003563060759194177,0.05969137927032828,,,0.0014250108931313757,3.8661274383016266,0.0017638853775148074,0.0012869716305963987,0.005649544514580856,6.325704444515382e-05,2.9440308921047103,10.872285063417623,0.23886323519652986,0.7175268696871737,,0.00047330697998404503,0.02086116303689778,0.03782829688861966,120,,3.866127438301626,6400,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,4,6398,4,40,40,1.25,0.0034881743420595974,0.059060768214268915,,,0.0014122434036707432,3.866127438301626,0.0015383807490760557,0.0013953101345176636,0.005642703860088476,9.210356542617494e-05,2.9440308921047103,10.872285063417621,0.23886323519652986,0.7175268696871737,,0.0004617339000105858,0.027603999944403768,0.03782829688861966,160,,3.866127438301626,6401,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,4,6398,5,40,40,1.25,0.0037955261384872143,0.06160784153407108,,,0.0016289003521302878,3.8661274383016266,0.0014016931814957137,0.001531282777123635,0.00850225033492712,4.312766517710645e-05,2.9440308921047103,10.872285063417621,0.23886323519652986,0.7175268696871737,,0.0004710420034825802,0.034418526804074645,0.03782829688861966,200,,3.866127438301626,6402,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,4,6398,6,40,40,1.25,0.0033694055830488247,0.058046581148667356,,,0.0014822024554552147,3.8661274383016266,0.001232640981687197,0.0014011185318278528,0.006399484332516095,7.077894199981111e-05,2.9440308921047103,10.872285063417623,0.23886323519652986,0.7175268696871737,,0.0004634670913219452,0.04115039971657097,0.03782829688861966,240,,3.866127438301626,6403,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,4,6398,7,40,40,1.25,0.0050204970366462855,0.07085546582054404,,,0.0017825113737525106,3.8661274383016266,0.0018159454785517518,0.0021398363401497764,0.009159301333284483,8.061422278405265e-05,2.9440308921047103,10.872285063417623,0.23886323519652986,0.7175268696871737,,0.0004784390330314636,0.04787733987905085,0.03782829688861966,280,,3.866127438301626,6404,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,4,6398,8,40,40,1.25,0.005350949568268072,0.07315018501868653,,,0.0018081338729951564,3.8661274383016266,0.0021059157488267405,0.002229223112400415,0.009087516721992976,0.00021792266448405364,2.9440308921047107,10.872285063417625,0.23886323519652986,0.7175268696871737,,0.00046665314584970474,0.054616613779217005,0.03782829688861966,320,,3.866127438301626,6405,,False,False,ok
Schirrmeister2017,development,normalized_update,direct_lns_l40_s1p25,lognormal_spectral,False,4,6398,9,40,40,1.25,0.002935589267217503,0.054181078498102116,,,0.001409165000780137,3.866127438301626,0.001185066763125435,0.0011259629120146438,0.006276867541731506,4.24756881134235e-05,2.9440308921047103,10.872285063417623,0.23886323519652986,0.7175268696871737,,0.0004707758780568838,0.061500436859205365,0.03782829688861966,360,,3.866127438301626,6406,,False,False,ok
